gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Adipose-Gall Bladder)	pct_gene_expr	max_pct_tx_expr
GAREM1	7.292108492613911e-6	0	2	2	0.9942848103750241	1	0.75
TNNT2	0.010811771037255901	0.0011035078142319988	3	1	0.9868807408520011	0.75	0.75
TSPYL5	1.203328945745863e-5	1.1071399167154215e-7	4	2	-0.9417534780323444	1	0.75
BAG5	8.855753898513991e-6	2.8449192041456196e-6	3	2	0.9225237916508088	1	0.75
ENTPD1	1.3356634188768993e-5	1.4109395509458006e-5	4	2	-0.9008978272552517	1	1
ZC3H12C	3.778994903622792e-5	7.495684647528798e-5	4	2	0.8807378666160846	1	0.75
LOC113254393	0.001865311798509022	1	3	0	-0.8725298172041818	1	0.5
LOC113251731	0.024124056424055133	1	5	0	0.8682265545716612	1	0.75
CENPP	0.012842399977091752	1	3	0	0.8583744932154876	1	0.5
TIMD4	0.002258343837056627	1	4	0	-0.8572383593025165	1	1
TLR6	2.3865040424120027e-4	2.9493484946879014e-5	5	1	-0.8567813183153605	1	0.75
GFPT2	2.9418748029026845e-56	2.6151267940401504e-8	7	1	0.850338826842994	1	1
PCGF6	0.02044942798066572	0.0848412658028248	3	0	0.8491692870170281	1	0.75
TUBE1	0.004059501697266869	0.7606995067534686	3	0	0.8446260448588024	1	0.75
ABCC4	0.0010832076228287843	6.471518075531397e-4	4	1	0.8422322844860849	1	1
POLDIP3_LOC113241692	0.006754346845777633	0	2	2	0.8306116717301809	0.75	0.75
LOC113270472	1.329168599418759e-4	9.417696610477482e-5	3	2	0.8287017220082876	1	0.75
SOCS2	0.006659143039231347	0	2	2	0.8100551996319144	1	0.75
GLE1	7.247908838637024e-4	1.2959452864442838e-5	3	2	0.8085867652749873	1	1
ROR2	0.0025705339566916585	0.001433838356065503	3	1	0.8073219415674795	1	0.75
LOC113247261	0.005430970018164725	1	7	0	0.8041786524924299	1	0.5
LOC113246184	0.022310115266870247	0.498543090919221	3	0	0.7997468236947298	1	1
HYAL1	0.004625408595194598	0.002627871676013979	3	1	-0.7858067044612931	1	0.75
LAMC2	0.005243486201374455	0.009885102861294395	4	1	-0.7825886400905007	1	0.75
NEK6	0.0011194881039950557	8.293935581829431e-4	4	2	-0.7806300493556205	1	1
COL4A3	0.014478820604002053	0.01079726448062071	5	1	0.7804829134044229	1	0.75
CCDC18	2.0309801122295228e-4	1	6	0	0.7798064192629746	1	0.5
KIAA1324	0.0037046632911602317	1	4	0	-0.76656908977667	1	1
ZCCHC10	2.0309801122295228e-4	0.10098430174784971	3	0	0.7601423184279661	1	1
LOC113261605	0.022108823471038652	0.014744418417984505	3	1	-0.7561415526866354	1	0.75
AP4S1	0.013279700065488398	1	5	0	0.7557486328276147	1	0.75
FLRT3	0.044412427794358375	0.012890615567738888	3	1	0.7553713864959427	1	0.75
LOC113244012	0.04534217370680019	0.3845200933135979	3	0	-0.7539857415901835	1	0.75
LOC113252533	0.014929825278337463	1	3	0	-0.7524928670183859	1	0.75
CABYR	0.023386734830599942	0.017131104007910066	4	1	0.7518506625171388	1	1
PIK3R4	0.0021586797298418885	0.5578956322515171	5	0	-0.7502701411938298	1	1
FAM81A	9.814646122554622e-5	3.7682650858404844e-4	5	2	-0.7500899376662445	1	1
STARD3	4.820030376798304e-4	5.484428955094548e-4	5	1	0.7444692113639313	1	1
ZNF236	2.0282578582531854e-20	1	5	0	-0.7376109389523147	1	1
EML4	0.03450278581815327	0	2	2	0.7353248248622519	1	1
NPAS1	0.03566196124702807	0	2	2	0.7326456121909184	1	0.75
ADAM22	0.02904101131929407	0.0548419257721698	3	0	0.724430905723775	1	0.75
TWISTNB	0.02831250301375603	0	2	2	0.7210169735118523	1	0.75
