gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Adipose-Kidney_cortex)	pct_gene_expr	max_pct_tx_expr
TET1	4.176206108169093e-4	0	2	2	0.9955826102202108	1	1
MFAP5	0.0029683238866494354	0.33426415162297823	3	0	0.9364050591722604	1	1
KLF15	7.152845560396854e-7	2.3795785402401734e-9	7	2	0.9273943829529163	1	0.75
SLC25A34	1.664770097201299e-4	5.838061463623566e-4	3	1	-0.8966792286874425	1	1
ZNF365	5.183273606622215e-6	1	5	0	-0.8901099407123323	1	0.75
VEPH1	6.399952723035353e-20	4.4595797350472676e-20	6	2	0.8891300189432025	1	1
SLC10A3	5.370896743398375e-5	0.5501125406508653	3	0	-0.8883995993113046	1	0.75
SGF29	6.81131742994086e-23	2.3235052509473986e-4	4	1	-0.8858754437859655	1	1
ARID3A	2.90503559780487e-4	0.11382063208387858	3	0	-0.8787497217960483	1	1
ATP2A3	7.465302876745035e-4	4.3940011421910173e-4	3	2	-0.8735909925671774	1	1
LRSAM1	0.0035164706869761715	1	5	0	-0.8645403782720773	1	0.5
MGLL	2.3702318483839562e-5	5.189065073665123e-6	4	2	-0.8625548656212757	1	1
ACVRL1	2.2926540885606537e-7	3.467296978221407e-9	3	2	-0.8503208050029752	1	1
DHRS1	2.413854912268481e-6	1	8	0	-0.8369381005224423	1	1
LRRC8A	2.886448230632696e-5	5.21836568696012e-7	4	1	-0.8353588435391862	1	0.75
LOC113245454	0.022760972607480553	0.24833256248267876	3	0	0.8350065511986899	1	0.75
MARK1	7.139088587190059e-4	1.5797233838945457e-4	3	2	-0.8336303152834034	1	1
ENO3	2.811149967656748e-10	0.009648671946761807	5	2	-0.831193076400842	1	1
B3GNTL1	0.0038064527911064656	0.0019619365668168895	5	1	-0.8257307836097183	1	1
ZC3H12C	0.045788599734547575	0.015241371002681105	4	1	0.8241173930924207	1	0.75
LOC113270472	3.4982959005209395e-4	2.8578671779876867e-4	3	1	0.8234368065122543	1	0.75
BAG5	0.0037774371066730296	0.0034157540059011173	3	1	0.8158422254002977	1	0.75
NMNAT1_LOC113270532	0.021164915339594116	0.00503967689214637	3	1	-0.8132125285871179	1	0.75
RAB36	0.00318780769257367	0.006941729734467341	3	1	0.8101351956280567	1	1
