gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Adipose-Lung)	pct_gene_expr	max_pct_tx_expr
TNNT2	0.03805281883474229	0.007379208872007848	3	1	0.9850456542698434	0.8333333333333334	0.8333333333333334
FTCD	0.046155706826584424	1	3	0	-0.8968247445586037	1	0.6666666666666666
CCNJ	0.017724934349797498	0.0015117319388692088	5	1	0.8670076486840232	1	1
RAP1GAP2	0.0012425942792477686	0	2	2	-0.8621704977263779	1	0.8333333333333334
LOC113270472	1.301037808390406e-8	1.3402530423880377e-8	3	3	0.8611588213488444	1	0.8333333333333334
KRT80	0.013559718699153069	6.411835920306274e-4	5	1	0.858323888992227	1	0.8333333333333334
FAM124A	0.0014153880239169737	0.03677889223272159	4	1	-0.8552397589131291	1	0.6666666666666666
MYOM3	0.004762359571757092	0.0011081709785331721	5	1	0.8522229517878892	1	0.6666666666666666
KIAA1324	0.002507810686507684	0.24653108786340144	4	0	-0.8402715653770099	1	1
VEPH1	6.3825401011919725e-15	5.5275027427195964e-18	6	2	0.8036988791223085	1	1
LRRC4C	0.011576423584569428	0.002031248483045866	3	2	0.7995609233009054	1	0.8333333333333334
GPR19	0.02108658163892224	0.010132260619866846	3	1	0.7806116044383298	1	0.6666666666666666
LOC113264719	0.015101557950935528	1	5	0	-0.7657387626439367	0.8333333333333334	0.6666666666666666
PLXNA3	0.005291153591550893	0.012583814487357563	4	1	0.7613717895623214	1	0.6666666666666666
CIDEC	2.3366191018475576e-8	0.0020772562792267294	6	1	0.7610859136332508	1	0.8333333333333334
LOC113252468_IL34	0.03275220047173858	0.014796877274358538	3	1	-0.7552657888612224	0.8333333333333334	0.5
CUNH8orf58	0.018000590153785464	0.03718026121472519	6	1	0.7485020013100939	0.8333333333333334	0.6666666666666666
LOC113250726	0.045109396741125414	0.6542632206851013	3	0	-0.7480504271744818	1	0.6666666666666666
FHL1	1.3647838596849179e-17	2.47514238072987e-14	7	2	-0.7464905437039348	1	1
CRNKL1_LOC113258304	0.01963367860015943	0	2	2	-0.7460674862215443	1	0.8333333333333334
LOC113258762	0.04514667252112675	0.294308045412397	3	0	0.7458653816797179	0.8333333333333334	0.8333333333333334
ZBTB11	0.0034347387099244267	0.0030894031744012483	3	1	-0.7384451137264088	1	0.8333333333333334
BBOF1	0.010482592916878478	6.245820571756084e-4	4	2	0.7346806854126413	1	0.8333333333333334
ZNF182	0.037266382919381245	0	2	2	-0.7331484913970628	1	0.8333333333333334
ICOSLG	0.02047146791821982	0	2	2	0.723746813734546	1	0.8333333333333334
TET1	0.03883131485720067	0	2	2	0.7171916228642279	1	0.8333333333333334
LAMC2	7.886313186713786e-5	3.1629481776953e-5	4	2	-0.7156860882867606	1	1
LIG1	0.01811390793027108	0.0015953201734023308	3	1	0.7150340967091722	1	0.8333333333333334
ZHX3	3.296925625470462e-7	5.1712688083551e-8	3	2	-0.7143289831072361	1	1
CACNA1A	0.015331478672256506	0.12768137913626398	3	0	-0.6960579201265681	1	0.6666666666666666
DOCK5	7.590588369433306e-4	0.018196820354830577	3	1	0.6931456777474718	1	1
ENTPD1	3.4598966326568357e-6	2.224937004857769e-6	4	2	-0.6832118171745161	1	1
STARD8	1.8771270995262578e-4	7.004514574448414e-6	3	2	0.6815368198587205	1	1
TMEM30B	0.02991677547721169	0.05126100460502267	3	0	0.672727731761742	1	0.8333333333333334
TMEM268	2.5351316322132758e-6	1.6874711779609785e-6	4	2	0.6673788958622029	1	1
SLC43A3	3.844805791407767e-7	5.796083136089088e-6	5	2	-0.6663987953896275	1	0.8333333333333334
HAVCR1	0.01902060977417573	0.07431528838930786	4	0	-0.6569146633566172	1	1
TMEM106C	4.859360343319986e-7	5.700645029297058e-6	5	1	0.6550148185540756	1	1
LOC113246330	0.03568375222578811	0	2	2	0.6461082330259412	1	0.8333333333333334
NTRK2	0.0400841989792794	0	2	2	0.6418895479661574	0.8333333333333334	0.8333333333333334
LEP	5.3639265408845e-4	0.02142602838792623	5	1	0.6411125985871109	1	1
DCLRE1C	9.773217338302108e-7	1	5	0	-0.6328222094524045	1	1
SLC9A6	0.02898140822762859	0.07289120033196754	5	0	-0.6322011497243556	1	1
IRF4	0.003940783257767721	0.5371877354783848	3	0	0.6280009140948166	1	1
CORO6	0.02510130835052181	0.09136439204509413	3	0	0.622385328040755	1	1
ZNF865	0.027674465167606317	0	2	2	-0.6214503986840447	1	1
SAMD4B	0.0024707798238977315	0	2	2	0.6205702475354242	1	1
PAQR3	0.045109396741125414	0.04715285577996431	3	1	-0.6200484351769453	1	0.8333333333333334
CD44	6.96322446081218e-38	5.664591205209914e-28	8	2	0.6189085986506282	1	1
LOC113265213	0.046155706826584424	1	3	0	-0.6162659133220786	0.8333333333333334	0.6666666666666666
POU2F1	9.854614423516865e-4	0	2	2	0.6155985046454135	1	1
LIPE	4.3826144479660825e-10	6.508061182817727e-8	5	1	-0.6126742261619283	1	1
FLRT3	0.00887312189552901	0.00190777125718644	3	1	0.6104917185317678	1	1
