gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Adipose-Muscle)	pct_gene_expr	max_pct_tx_expr
LOC113248423	0.00787637422881651	0	2	2	0.9999999950871928	0.5	0.5
WDR7	8.64704930106467e-6	0	2	2	-0.989780927795083	1	0.75
DTX4	0.013637918628926203	0.09350139774829407	3	0	0.9158218577770662	1	1
LOC113248583	8.266197040543848e-4	0.28071823076874036	3	0	-0.915537675044963	1	0.75
TBC1D4	1.691591606571097e-11	0.002630147068358819	4	1	0.9085082416211364	1	0.75
LMOD3	8.543357677322738e-5	4.435694483617525e-4	3	1	-0.8968947308067072	1	1
MYL3	7.342469078069041e-6	1	6	0	-0.8965004364279776	1	1
MEGF10	3.236195640395822e-6	5.602549771968767e-7	4	1	0.8890478523209491	1	0.75
EML4	0.0037667826740122898	9.02669586061338e-4	3	2	-0.8842872296896551	1	1
LOC113248512	0.007093737371337574	1	4	0	-0.8774016710553232	0.75	0.75
RTN2	3.782297519403363e-12	9.063152209245568e-13	4	1	0.8737354715862792	1	1
ANKRD39	3.6007293025513554e-58	9.781915431565579e-39	7	1	0.8732696004091256	1	1
NDRG2	4.111745517871286e-46	5.841518904161915e-40	5	3	0.8695684501731158	1	1
FRAS1	0.0014526392697734516	6.260046676015635e-4	4	1	-0.8679699103735167	1	1
HSPA12A	1.959747554528459e-5	0.6547056093868571	3	0	-0.8678798935890266	1	1
PPP3CA	8.760537126624777e-5	0	2	2	-0.8673414870169837	1	0.75
TNNI1	0.015937284720912593	1	4	0	-0.8673350129292599	1	0.75
PHETA2	0.012276208668324996	0.12328625275768683	4	0	0.8617363470248756	1	1
RAI1	3.971043335520032e-5	0	2	2	-0.8596251131800322	1	1
MYOZ1	3.1054680562572123e-07	0.0018177768108297151	6	1	-0.8579304881163194	1	1
LOC113246184	0.003887378746909018	1	3	0	-0.8538752631345966	1	1
CNNM4	4.21948731848116e-4	1	4	0	-0.8502698902892308	1	0.75
SYNPO	3.178725062168064e-5	2.3270553411824316e-6	4	2	-0.846345483091012	1	0.75
LOC113245454	0.01656543403494057	0.16880739132247502	3	0	0.8450987370682996	1	0.75
MB	0.0014973087659938612	0.056268791518106626	4	0	-0.8438231647141737	1	1
ARHGEF37	0.04956140558224831	1	5	0	0.8429789875097888	1	0.5
DLG4	0.0042867082317126146	1	4	0	-0.8409366019651316	1	0.75
U2AF1L4	0.030028065485359082	0.2999956139452812	3	0	0.8330374913743542	1	0.75
LRRFIP1	2.9606800828332442e-9	2.5392048116709294e-9	6	1	-0.831766184958709	1	1
RTN4	1.937849197061776e-11	3.702120290124315e-12	6	2	-0.8267563259915561	1	1
RIMKLB	0.0016193448353322103	1	3	0	-0.8233406382694244	1	0.75
TRIM2	0.02179729091470511	0.11500815666895398	3	0	0.8142653186340759	1	0.75
FHL1	4.511442749452469e-67	1.2706236964159246e-7	8	2	-0.8134549611697556	1	1
NFATC2	0.005063234953267314	0.005798925926270482	4	1	-0.8064642840745376	1	1
DVL2	0.036331533840859256	0.014089155110531269	3	1	-0.8035844012268517	1	1
SOCS2	0.01003390569300465	0	2	2	0.8024043463156387	1	1
IKBKE	0.019987928033858963	0.00877808097617215	6	1	-0.7996068054481746	1	0.75
MSI2	1.3552406099067834e-5	1.8280100279516743e-6	3	2	0.7988943208204771	1	1
ST3GAL2	0.004380887439284563	0.018356263886075034	3	2	0.7903475438535468	1	0.75
EVI5L	0.011855505491120792	0.02272230497953882	4	1	-0.7884549858278757	1	1
CTTN	4.1782911446794176e-8	0.007415890745265974	6	1	-0.7850886410755892	1	1
F13A1	0.009390588156629066	0	2	2	0.7844052046751607	1	0.75
PLXNB2	7.155465020117713e-5	5.883140145924589e-4	9	1	-0.7813861323771982	1	1
NMNAT1_LOC113270532	0.011548879079012591	0.0012663057548381218	3	2	-0.778550978174009	1	0.75
LIPN	9.295918832384174e-8	1.949065052494251e-6	8	1	-0.7766860779661616	1	0.75
ITGB1BP2	0.010043073304300421	0.11921802359315747	4	0	-0.7662419429354598	1	0.75
DENND1A	0.039299170320959254	0.04406472382544767	4	1	-0.7653603341428492	1	1
KLHL22	3.498082055428836e-9	6.757808086294762e-8	5	1	-0.7649450532177814	1	1
SYT7	0.021148979344333806	0	2	2	-0.7616344800017367	1	0.75
ANKRD1	0.01880483657880254	0	2	2	0.7557222200510139	1	1
FLNC	2.0885605881190247e-4	0.041536290310256845	5	1	0.7550897275833599	1	1
IVD	0.0034292059592851767	0.013264228530982747	4	1	-0.7544655412361781	1	1
METTL3	2.5665431743421063e-4	1	9	0	-0.749893381979911	1	0.5
UNKL	0.0016193448353322103	1	4	0	-0.7481454819169155	1	0.75
LOC113250506	0.0026255009505377395	9.87405491419373e-4	7	1	0.7477349299396768	1	0.75
OTUD6B	1.690210609818152e-4	7.149113154160329e-5	6	1	-0.7448819360633145	1	1
DPF2	0.009397521622811518	0.004338680792323423	3	1	-0.7447006039973065	1	1
CUNH10orf88	0.04098905046513112	0.0635467986302643	3	0	0.742897905196612	1	0.75
LOC113249819	3.2578932553170137e-7	0	2	2	0.7407796127185846	1	1
ATP5MC1	3.481606755380337e-16	0	2	2	0.7344968621682042	1	1
TMEM106C	0.0018762860612574045	1.9694031842701267e-4	3	2	-0.7325929910739107	1	1
HMGN3	3.971043335520032e-5	6.976777605324996e-7	6	1	-0.7325532419718535	1	1
MAPRE3	7.223004214463588e-5	1.377973198070513e-5	7	1	-0.7285353336535051	1	1
AADACL2	0.03788827018512917	0.023164419674544013	4	1	-0.7263418811057109	1	1
MEIS1	0.039600101525494084	0.03544868047608708	5	1	-0.7246796534306041	1	1
SEMA4D	5.27936655856516e-4	5.130930537409197e-5	3	2	-0.7229475328928525	1	1
QKI	2.9673391540291996e-31	2.4565845080763066e-29	5	2	0.711397620767929	1	1
MROH1	0.001233611455078541	0.01806407711671251	7	1	-0.7112015751362657	1	1
DCTN2	1.5318083719738908e-12	0	2	2	0.7099525756259518	1	1
FGFR1	0.0015656716593370722	0.004307511930388326	6	1	-0.7062682222865295	1	1
ATP9B	0.012865447461086763	0.005579767493594579	7	1	-0.7043440281807667	1	1
LOC113249271	1.6753778129627943e-9	5.090834719547608e-4	5	1	-0.7015939027477491	1	1
SLC9A6	0.01244273927672486	0.04383599005886469	5	1	-0.7005197204386455	1	1
BNC2	0.012356725500081607	0.29222748115983277	5	0	-0.7000220614038002	1	0.75
MTMR1	0.01852292426870548	0.0017412050590528115	4	1	-0.6993321214639783	1	1
PFN2	1.6819396659931683e-4	1.2195207304420496e-5	3	2	0.6967604781710225	1	1
IMPDH2	1.2171364393744246e-15	0	2	2	0.6952951497218509	1	1
ACSL5	8.653796679773874e-5	1	5	0	-0.6937619696312565	1	0.75
SLC45A3	0.01474768100749306	0.0485665608738461	6	1	0.6926869306701249	1	0.75
PKM	0.015228492916790948	0.0015289493126720074	3	2	-0.6921598162510234	1	1
IFFO1	0.008595983256618228	0.7228016268756139	7	0	-0.6918912202460258	1	0.75
CBLB	1.838115414300316e-5	7.330231154015367e-4	7	1	-0.6913590231147414	1	0.75
CAPN15	0.013899964329728407	0.010804961695118747	4	1	-0.6903341066584736	1	0.75
PLXNC1	0.04258755826693096	0.05701322591406375	4	0	0.6889626600192758	1	1
CCDC117	5.133588899417629e-4	0	2	2	0.6888111099421775	1	1
STXBP1	0.016039205650735237	0.00679891883116616	7	1	-0.6865435351368645	1	0.75
LRRC2	2.1446276999070842e-10	1	10	0	0.6860543478475145	1	1
CNTN4	0.00988339871776887	0.010328272397836133	3	1	-0.682861698254447	1	0.75
PQLC2	0.012692593773622623	0.01891699361303343	3	1	0.6752987564998634	1	1
ACTA1	0.001434490698782538	5.654944258486097e-4	4	1	-0.6678630125019878	1	0.75
ARMH3	0.002805339654784467	1	5	0	0.6653442836417534	1	1
NCAPG2	0.012550545356589022	0.007912784783477874	6	1	-0.6594974403600439	1	0.75
ESR1	0.0015060129213748951	1.5119351661027405e-4	6	1	-0.6564173153401938	1	1
RNF115	2.8967678749726997e-4	7.863709489638231e-5	3	2	-0.6548737543678684	1	1
SLC25A30	3.2987921226831533e-6	3.988317994393625e-5	7	1	0.6544575931895122	1	1
TMEM245	0.002888017116157661	0	2	2	0.6468981075177191	1	1
POLR3GL	2.8682462568029905e-4	0.004166675018040744	4	1	-0.6389788900821511	1	1
ARHGEF6	0.023379211882041825	0.02189878222342889	5	1	-0.6389198860401063	1	0.75
