gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Adipose-Skin)	pct_gene_expr	max_pct_tx_expr
TET1	2.8977476314858824e-4	0	2	2	0.991125291803971	1	1
LOC113245842_TMEM41B	0.032886156235055024	0	2	2	-0.9692683610541752	0.75	0.75
FGFBP1	0.0425649028610503	1	5	0	-0.9140857159575607	1	0.5
GPR19	0.032886156235055024	0.6903165031484173	3	0	0.863940280380371	1	0.75
RASSF7	0.03820959661671772	0.013235584107698026	3	1	-0.8632930780549081	1	1
LOC113270472	9.78811185676652e-4	9.724141121754242e-4	3	1	0.8209419559513801	1	0.75
CCNJ	0.012745243272910493	0.007495967107894805	3	1	0.8083002961432194	1	0.75
CEP170B	3.5721971587606777e-4	0	2	2	0.7999703121679733	1	1
CUNH10orf88	0.03820959661671772	0.027500794620313126	3	1	0.7879589733865374	1	0.75
KRT80	4.2410553381819774e-5	5.095189365235811e-7	4	1	0.7777946291085897	1	1
ARHGEF37	1.9269393500634407e-4	6.335387085429632e-5	6	1	0.7722033318999924	1	1
IRF8	0.03986187714232301	0.19244630044538263	3	0	0.7714654031399473	1	0.75
SNCAIP	2.9981217111488143e-4	0.08745896028597518	5	0	0.7600746102577864	1	0.75
PQLC2	2.7165351695750985e-4	0.008901214274331574	3	1	0.7387156198036214	1	1
MDM1	0.01121384875127988	0.681584464562517	5	0	-0.7314198892733365	1	0.75
LOC113249678	0.01377175219565578	0.009798034701489107	5	1	0.7092974370949655	1	0.75
LAMC2	1.9191641687267842e-5	3.6016558024824284e-7	4	1	-0.7058028609857024	1	1
LOC113255096	0.024909805125707587	1	4	0	-0.676962503666572	1	1
CEP162	0.04123308749476244	0.6409740360030622	5	0	-0.6641872622983611	1	1
CPVL	0.048106101836179485	0.18674776376924898	4	0	-0.65965545376077	1	1
RAB40C	0.020444981217342333	0.027002877596412497	3	1	0.6567989967653094	1	1
HSPA12A	0.0014419111414562193	0.4262437022881365	5	0	-0.6565059324359984	1	1
BCO1	0.031831593271516016	1	5	0	0.647429026822692	1	1
CCDC50	2.062607343851548e-9	0	2	2	0.6412912510273168	1	1
CNTROB	0.0056247146197784025	0.3601588985327057	3	0	0.640629239620075	1	1
FAM118A	0.02550330363973161	0.0876178542185877	3	0	0.6370493768592712	1	1
TMEM106C	0.007599793184264598	0.00784588986767087	4	1	0.623555734303375	1	1
GK	0.021876170849899734	0.08256934481549878	5	0	-0.621048364980016	1	0.75
ALDH16A1	0.02419587467845577	0.3031589741576347	4	0	-0.6158467546735538	1	1
LOC113268943	0.012914161126183479	0.06409355840925558	3	0	0.6118037785049557	1	1
FOXP4	0.04733369453386836	0.21849597715523483	4	0	0.6017389740026653	1	1
ASL	0.02969471288500793	0.07548678846695575	8	0	0.6005209840045116	1	1
P4HA2	0.044534396757131736	0.270638526454036	9	0	-0.5924677071774931	1	1
NHEJ1	0.0010490964332083592	1	7	0	-0.5887000572036362	1	1
SH3PXD2A	0.011970130361255823	0	2	2	0.5858013186749775	1	1
RBBP8	1.1595220730176328e-5	0.011681022263448573	5	1	-0.579913471944084	1	1
ZNF436	4.686371619043143e-10	1.2327708020148766e-8	4	2	-0.5763337925241792	1	1
CTBP1	0.008810098368271516	0.00246115197507964	3	1	0.574552502851815	1	1
EXTL3_LOC113269942	0.01821620725240579	0.33780735462142913	7	0	0.5691735800245665	1	1
TNFAIP8	5.526604096781404e-4	0.05647430054768332	6	0	0.5670149922772244	1	1
CLASP1	0.005336368367821138	1	10	0	0.5667767405380129	1	1
UEVLD	0.012676928916703693	0.008205604437894962	5	1	-0.5649643031465407	1	1
LAMA3	0.0056247146197784025	1	6	0	-0.5617782371249092	1	1
SLC43A3	0.020444981217342333	0.06652314418980626	7	0	-0.5613965424751556	1	1
RNF44	2.0636125257512944e-4	0.0010091824912815378	3	1	0.5586033415177774	1	1
RAPGEF5	1.1595220730176328e-5	6.653709772351906e-6	4	2	0.5561844930707845	1	1
CIDEC	1.5877083975903282e-5	3.657450936114035e-4	5	2	0.5541670839968627	1	1
SLC19A1	7.20683443613799e-4	0.004983915524405515	9	1	-0.5527137050094196	1	1
EPB41L5	0.0026488832183776674	1	7	0	-0.5526116009464366	1	1
TACC2	6.399579913822703e-17	6.920774896205001e-11	11	2	0.5489190593497231	1	1
TLE2	0.005423043926073774	1	6	0	0.5439232531782695	1	1
SEMA6A	0.005423043926073774	0.04696726949016027	4	1	-0.5421370579902609	1	1
STIM1	5.002513513057011e-6	1.641756992013406e-5	5	2	0.5311018220951511	1	1
FUBP3	1.9507380304106586e-4	5.34930303529412e-6	5	2	0.525342146157395	1	1
CD44	1.101383663867035e-23	1.0246192311750606e-11	5	2	0.512155129610279	1	1
POLR3F	0.04482567865582725	0.3157817791899902	5	0	0.5072003030471108	1	1
PTGS1	0.0024706431932481035	0.02050118165899044	4	1	-0.50254406253480155	1	1
ULK2	1.1205483546738939e-6	3.91647832296308e-5	4	1	0.4978732637929637	1	1
SLK	7.214497596797158e-13	4.235574850188463e-12	3	2	0.49622903105274374	1	1
ADAM19	0.042732203753475535	1	4	0	-0.4932597075882394	1	1
EBF2	0.04112173632881624	0.04110689939441208	3	1	0.49306403790627706	1	1
BAG5	0.012676928916703693	0.002815756446920476	3	1	0.492856948291299	1	1
WRAP73	0.0017605184682607012	0.02172469379496912	7	1	0.48580821581728917	1	1
RCAN1	0.028159494985346565	0	2	2	0.4853284281375666	1	1
OPLAH	8.392682270615296e-4	0.5668676492509102	5	0	-0.47840866295211293	1	0.75
OXCT1	0.001403783606088995	0.007713487912572541	8	2	-0.4754397360318363	1	1
TPM4	4.424696491428605e-15	0	2	2	0.4741809156804875	1	1
TPM1	6.049247421058819e-9	3.7054886440000714e-8	6	2	0.4721098949764123	1	1
LIMK2	1.9269393500634407e-4	1.1355245467902207e-4	4	2	-0.461556585507281	1	1
SEPT9	0.0037912561589371206	5.924885506105388e-4	7	2	0.45988808804020614	1	1
LRRCC1	0.0032989472899150564	4.5227836830427537e-5	5	1	-0.4596948065392076	1	1
RASGRP3	0.0060318684151849135	0.36400056240180356	6	0	-0.4574074010091952	1	1
PLXNB1	0.002676135817946982	0.5264355783590889	5	0	0.4573468451773956	1	1
PLEKHA1	0.018466633736114083	0.816913230899693	6	0	0.45725022526860304	1	1
KLHL22	0.0019191409284283478	3.4528251921088694e-4	5	1	-0.4555232944416405	1	1
LDAH	0.012676928916703693	0.15279486924237307	6	0	0.45481192686519745	1	1
DPAGT1	0.012972089465614869	1	8	0	0.4535845495016022	1	0.75
KRT10	5.124037456390276e-5	1.483081783156424e-4	3	1	0.4503870076241696	1	1
NEK4	0.044142935604827946	1	5	0	-0.44722098843697433	1	1
PFKFB3	0.0010490964332083592	0.020477075178257833	6	1	-0.44365546050985294	1	1
QRICH1	0.025779557206707427	0.02574924525012598	5	1	0.43939142376149465	1	1
ACSL1	4.0292699230800415e-9	0.00863593755368001	14	1	-0.43790038535833337	1	0.75
ADGRL2	1.124028497732469e-4	0.04868189202381208	8	1	0.4355300979485032	1	1
GOLGA2	5.944353789110041e-4	2.5324465018285234e-5	3	1	-0.4342301666336733	1	1
SPAG1	8.171195753395202e-4	0.028499666237731647	5	1	-0.432442781056633	1	1
CASP8AP2	0.04931122466531476	0.7840033715194765	6	0	-0.4273143849124712	1	1
NSFL1C	0.04723749316614046	0.018925221915205473	3	1	-0.42013849224907357	1	1
SCD	4.8308850763574963e-4	0.11096979560100205	5	0	-0.4175135435348948	1	1
PKIG	0.02502129008040316	0.0032426024979292853	5	1	-0.4162343861189897	1	1
MTMR14	0.00794371932929757	1	7	0	0.4155224939295939	1	1
AGTPBP1	0.007599793184264598	0.8364119471879305	4	0	0.4139361664381657	1	1
SLC25A39	1.1595220730176328e-5	1	5	0	0.40943189574312777	1	1
LOC113253740	0.03591963414421298	0.014286693611952119	4	1	0.40782698984133414	1	1
SYNE1	1.8987564311942148e-4	6.693404455080441e-4	8	1	-0.4058053526407669	1	1
CTNNAL1	0.006632171041482588	0.23458460639348247	5	0	-0.3993418522378854	1	1
LOC113248512	0.038284314834536634	1	3	0	0.39928008142893295	1	1
UNKL	0.04296769443033572	1	7	0	-0.3969115992961695	1	1
CRNDE	0.048945417798737186	1	7	0	0.39255805534010085	1	0.75
FNIP1	0.002238684301399386	0.046153786593771215	4	1	0.3918346712877163	1	1
CLSTN1	7.188431290412993e-4	1	7	0	-0.3863523420407462	1	1
CTTN	0.04831739361541126	0.01092331265946454	5	1	-0.38109695672558	1	1
EMID1	0.02774630579226794	0.2066891384662927	8	0	-0.37554973062350716	1	1
LOC113244749	0.0283395759825801	0.05128027084785652	5	0	0.37554813155039335	1	1
XPO1	0.04733369453386836	0.23041617975787632	8	0	-0.3747779426210625	1	1
ARHGAP17	0.030719048895415872	1	9	0	0.374362073963217	1	1
CUNH17orf49	0.01570782786573612	0.02791300875031874	4	1	-0.3722090359833873	1	1
MED23	0.030719048895415872	0.0037598025493342734	3	1	0.3717968681208885	1	1
MADD	0.023055826859095168	1	12	0	0.3714008424355699	1	1
RGS3	0.04551927925579496	0.0012580617441227922	5	1	-0.36987194115898037	1	1
TMEM250	0.025779557206707427	0.016145849104245442	3	2	-0.3677985022839686	1	1
USO1	7.934196053615976e-5	0.005420380031416516	7	2	-0.3664438295042996	1	1
GMDS	0.03349211686404127	1	3	0	-0.3656300573227717	1	1
TIMP4	0.007599793184264598	0.06155235120221431	5	0	0.364942426101808	1	1
LOC113270362_NUMB	0.02502129008040316	0.03240783129457346	13	1	0.3634505890662977	1	1
ZNF746	0.04990033738775749	0.15692531846052415	4	0	-0.361892365383622	1	1
ACSL5	0.02131206402389797	0.15091450773236417	3	0	0.3607244684391928	1	1
PDE3A	0.029154441002286653	0.178407824279366	4	0	0.36048235012290303	1	1
NPR3	0.008782568857563795	0.004145956619609455	5	1	-0.35851423749867944	1	1
F8	0.025779557206707427	0.18590110185025768	6	0	-0.3554770985133012	1	1
LOC113261234	0.02949234322347614	1	4	0	0.3537119828876023	1	1
PARN	0.04931122466531476	1	9	0	0.3516660767632004	1	1
DNAJC4	0.04018273730894518	1	6	0	0.35137290438252383	1	1
PPARA	0.03891728967162668	0.049129763510784	5	1	0.3493549335202577	1	1
FAM234A	0.02149786773309601	1	10	0	-0.34650881884014456	1	1
PDGFC	0.03185982282126035	1	3	0	0.345655083155509	1	1
KCTD15	0.007753648999885186	0.3087204166503393	6	0	-0.34481024993439335	1	1
MAP2	2.7876786095227445e-4	1	5	0	0.33781279736045844	1	1
SLIT2	0.0024706431932481035	0.866564869238327	7	0	0.33593578919921857	1	1
PPP1R26	0.014792637635197068	1	5	0	-0.33148371244301816	1	1
NIN	0.03790469556709949	0.07511831762298048	5	0	0.3296569083913991	1	1
DTX2	0.021265918690833704	0.3881495719951297	8	0	0.32893200833890146	1	1
IMPDH1	0.04931122466531476	0.2776092242025893	8	0	-0.3278641973531057	1	1
UBA6	0.03820959661671772	0.03725337190195481	4	1	-0.32096288185475086	1	1
FAM120B	0.048106101836179485	0.14120919004060775	6	0	0.31972944576619733	1	1
SAXO2	0.03804882478757946	1	4	0	-0.31935370327552615	1	1
LOC113262286	0.014792637635197068	0.17230598846755218	12	0	0.3179451629513566	1	1
KIF13A	0.007599793184264598	0.030927599785616655	5	1	-0.31778641401357244	1	1
LOC113252908_LOC113252909	0.04931122466531476	0.641744358798917	3	0	0.31602571200631274	1	1
PHF6	0.025608777648821038	1	7	0	-0.3159136365791285	1	1
PLS3	8.479571016857132e-11	2.214761166981522e-13	3	2	-0.31545436023537876	1	1
DHX15	0.035361457153956076	0.008175393043143842	4	2	-0.3097402005803633	1	1
NIF3L1	0.042732203753475535	1	12	0	0.30894324663146344	1	1
AAK1	0.01377175219565578	0.6812317121261953	12	0	0.3061774770345145	1	0.75
PTCH1	0.011037939627776858	0.9740043703974868	5	0	-0.30549585035821636	1	1
RPS24	1.8757066408745388e-11	5.223889860739769e-10	3	2	0.3054411127840091	1	1
SMC5	0.013643858192351262	1	7	0	0.3047566436201966	1	1
UACA	3.3398924675238223e-4	0.16087172373142083	9	0	0.2993142741831682	1	1
ESYT2	3.1861463569982966e-12	5.861035543387626e-11	6	2	-0.2984013859147132	1	1
RPS6KA3	0.01377175219565578	1	7	0	-0.2958318410368339	1	1
MTUS1	4.8308850763574963e-4	3.3714767511167684e-4	9	1	-0.294373829068936	1	1
EIF4A2	0.018466633736114083	0.37620025951249547	6	0	-0.2905440440245865	1	1
ZBTB16	0.031831593271516016	0.004352236521901464	3	1	0.28939634663014957	1	1
