gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Adipose-Stomach)	pct_gene_expr	max_pct_tx_expr
LOC113262154_ASAH1	0.021304761049117642	0.02816959971110724	3	1	-0.9999999806660649	0.75	0.75
ENTPD1	2.0044828359909403e-5	6.13768021708047e-8	4	1	-0.9891141452829928	1	1
LOC113271173	4.251689957800961e-4	0	2	2	-0.9546273395238748	1	1
SLC6A4	0.025423990638609104	0.0028132346470198803	4	1	-0.9229253260970165	1	0.75
CD53	0.004267599730705539	1	5	0	0.9089194663064507	1	0.5
LOC113263275_MTHFD2L	0.031216454630687996	0.2221827387591693	3	0	-0.9082168938860956	1	0.75
PSTPIP1	0.02235407372747596	0.5835999251048164	3	0	0.895937683226609	1	0.75
GPR19	0.005697915319838675	1	4	0	0.8912591729692005	1	0.75
LOC113246184	0.007031617018680438	1	3	0	-0.8796150159277721	1	0.75
E2F3	0.016417172350304387	0.0035265161495655955	3	1	-0.8363017829986372	1	1
CNBD2	0.02374398555257443	1	5	0	0.8331178530080972	1	0.75
FAM111B	0.02615507765302818	0.1549360503811533	3	0	-0.8264329732651606	1	1
BBOF1	0.005180109556244575	0.089568547369543	3	0	0.8261633149224439	1	0.75
IVD	1.3689699399312117e-4	3.3982051626179244e-4	4	1	-0.8213507711269854	1	1
LIPN	0.04624800493629573	0.07761071615733776	8	0	-0.8102183000615047	0.75	0.5
LOC113270849	0.03569626672574033	0.05088653202290094	4	0	-0.7953012460480927	1	0.75
FAXC	0.006364344916580269	7.998687463960564e-4	3	1	-0.7911831659847993	1	0.75
ADORA1	0.012320071164847827	0.012410329388212314	3	1	-0.7900047304107249	1	0.75
CNNM4	0.0027041295847031618	0.016748285225190413	4	1	-0.7815251395944001	1	0.75
PPFIA3	0.04839017317120873	0.8638758436402696	4	0	0.7742182824000157	1	0.75
MYO19	0.037644941573176424	0.012225688210647056	7	1	0.7721661351499916	1	0.75
MAML2	0.04602468385944274	0	2	2	0.7575155873976062	1	0.75
LOC113248820	0.021951349884387954	0.06738270773571552	4	0	0.7541163028476855	1	1
FRAS1	0.02647601249478423	0.23736319994067354	4	0	-0.7493965330205034	1	1
MRLN	0.03324226296613194	1	10	0	-0.7440788006709779	1	0.75
HRH1	0.037644941573176424	0	2	2	-0.7427885575722114	1	1
PWWP2B	0.005873364363150848	1	5	0	-0.7314062795084731	1	1
IFFO1	0.02126147503347527	1	6	0	-0.7276448202090496	1	0.75
HEPACAM2	0.037644941573176424	1	5	0	0.7119537467687231	1	0.75
TPM4	4.165199269491074e-15	7.781526791944827e-19	3	2	0.6914789701950385	1	1
LOC113245463	0.03653422123252438	1	5	0	0.6905846504958614	0.75	0.75
POLL	4.251689957800961e-4	0.16028443208056706	6	0	-0.6814842608004873	1	0.75
CCDC136	0.022428636206928223	0.06619794821571513	3	0	-0.6783909265771031	1	1
FAM200A	0.02743266004441025	0.3330866216752844	4	0	0.6653533543237719	1	1
FRMD6	0.045528950554522656	0.49746660172282314	5	0	-0.6536067945245516	1	1
MYL9	4.251739151900954e-9	0	2	2	0.652804694646544	1	1
E2F5	0.029368849056254698	0	2	2	0.6464562834308819	1	1
UBXN8	0.019129030600345116	0.04684443151050768	4	1	-0.6381716468589327	1	1
ARAP3	0.028007427627088837	1	8	0	-0.6362832144099906	1	1
POU2F1	6.60087927903464e-4	7.497562540957904e-5	3	2	0.6339137002805993	1	1
RCAN1	0.0018640554347105253	0	2	2	0.6339108913085709	1	1
POLG	2.220580585849565e-4	1	5	0	-0.62955883465477	1	1
LOC113243636	0.00459192721371712	1	9	0	-0.6277803045765874	1	0.75
BANP	0.02182663961480877	0.027507623947197496	8	1	0.6262975503641895	1	1
TSPYL5	0.007811366234483659	0.017589321035181283	4	1	-0.623873033073178	1	1
MRPS23	0.0038615655445992016	0.23179310721745783	3	0	-0.6206746563290713	1	1
LOC113249382	0.0012712418645690574	0.02235284057500634	3	1	0.6155688012167349	1	1
CRYZL1	0.039114016610719365	0.21474117738285856	3	0	0.6145747920978797	1	1
LRSAM1	0.021553273454177308	0.800671735311177	6	0	0.6135373073925718	1	0.75
CEP85L	0.02182663961480877	0	2	2	0.6101052569718808	1	1
AP4B1	0.0017644000964059567	1	7	0	0.5981595689087845	1	0.75
SDR39U1	0.03441828102272361	0.25537493982049414	6	0	0.5947467620056762	1	1
LOC113268656	0.023276061729311518	0.5211549150298175	5	0	-0.5931399781136175	1	1
DCST1	0.02607728232554135	1	5	0	-0.5894783852742594	1	0.75
TSEN34	0.018457384108016214	0.20359983551352395	3	0	0.585332812362344	1	1
MOB3B	0.031216454630687996	0.002740281509734832	4	1	0.5827238707867706	1	1
DVL1	0.042486033642619644	0.05217971727896186	5	0	0.5822913388127626	1	1
HMBS	0.0017644000964059567	0.00499588588772053	7	1	-0.5782258506622661	1	1
ERAP2	0.0410807395804073	0.007074265752295819	4	1	-0.5747957427774661	1	1
