gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Adipose-Ventricle)	pct_gene_expr	max_pct_tx_expr
PTPRR	0.0034564539979258795	4.907423503428337e-4	3	1	-0.9998518467247349	1	0.8333333333333334
TNNT2	0.001003650160394	6.2294488807048e-5	3	1	0.9916337550094974	0.8333333333333334	0.8333333333333334
WDR7	2.6913127302064107e-7	0	2	2	-0.962029027879256	1	0.8333333333333334
HHATL	0.006728796496177154	0.07190049947106168	3	0	-0.9296826127882984	1	0.8333333333333334
DAPK1	0.0016706283400021353	1.606744270654436e-4	4	1	-0.9280629270033581	1	1
CNNM4	3.557934417846799e-5	1	4	0	-0.9240526272548151	1	0.6666666666666666
DTX4	0.04960669778497757	0.2934604635536979	3	0	0.9046241024542995	0.8333333333333334	0.5
HMGN3	6.780696156997514e-12	3.4462244394312765e-12	5	1	-0.8966831822583898	1	0.8333333333333334
KCNIP3	0.002932062621207922	4.2448499279314195e-4	3	2	-0.8957850546273682	1	0.8333333333333334
MB	4.7444063570710634e-5	0.0064756865187171695	4	2	-0.8946935716128251	1	1
LOC113245842_TMEM41B	0.001564457795194193	1.7565633913312992e-4	3	1	0.8945256445015235	1	0.6666666666666666
SH3BGRL2	3.295442340405513e-4	8.521922142555912e-4	3	1	0.8854671140031126	1	0.8333333333333334
ABCC4	8.329237194694191e-4	0.0011916996693750704	3	1	0.881596262193954	1	0.8333333333333334
ANKRD39	1.9896302001811916e-104	1.405386705667124e-72	7	1	0.8794781543930197	1	1
ANKRD1	3.142047256885485e-5	0	2	2	0.8793764363388066	1	1
ARID3A	3.512208248728989e-4	0.20498313228529214	3	0	-0.8777239938333032	1	1
MYL3	2.9929214682502157e-5	0.4688525184054031	6	0	-0.8764380180282914	1	0.6666666666666666
STK32C	6.514770870251828e-4	0.05439054235974535	4	0	-0.8721160378419237	1	0.6666666666666666
PDLIM5	2.739989934693867e-24	3.113136246343876e-21	7	1	-0.8697634420447384	1	1
PSTPIP1	0.02017856432760826	1	3	0	0.8665312159694079	1	0.5
BAG5	5.7935791252379325e-5	8.282309220173971e-5	3	2	0.8605613450514872	1	1
FLNC	5.873051435554522e-16	6.0153346557588955e-9	7	1	0.8578871658719815	1	1
ZNF275	0.00528085718780126	0.0013476613829357333	4	1	0.8533147356503726	1	0.8333333333333334
MTFP1	0.010221015057018577	0.27350985849650117	3	0	-0.8499539791919453	1	1
PIP5K1C	6.917034921560582e-4	4.2251021714296677e-4	3	2	-0.8448393113196561	1	0.8333333333333334
MEF2D	0.0024080821383729474	0.0029514055957052406	4	1	-0.8388003981442406	1	1
PPP1R12B	3.383896620411953e-52	1.227049826487106e-50	4	2	-0.8357905967570639	1	1
PLCG2	0.011670416893396594	0	2	2	0.8350017019513065	1	0.6666666666666666
NMNAT1_LOC113270532	2.633526556755575e-4	2.096660399189818e-4	4	2	0.8338546714634074	1	0.8333333333333334
LOC113246184	5.534081675471722e-4	1	3	0	-0.8329944544361176	1	0.6666666666666666
TAOK3	0.020142151295650466	0	2	2	-0.8294632636251029	1	1
ATP7B	9.8128488350824e-4	0.0010489836970142353	3	1	-0.8251882546184202	1	0.8333333333333334
LOC113248649	9.791118874015832e-4	9.496324423852404e-4	3	1	-0.8242619752364377	1	1
MANSC1	0.0167045067582676	0	2	2	0.822516362784184	1	0.6666666666666666
SAG	0.04360855672312857	1	5	0	-0.8184362082371749	1	0.6666666666666666
SAMD4B	0.005313316382520292	0	2	2	0.8080282032997357	1	0.8333333333333334
TBC1D4	6.996743481080726e-5	7.155584723987896e-5	5	1	0.8030724176339691	1	1
FRAS1	2.633526556755575e-4	8.22454159250635e-5	4	1	-0.800618011639219	1	1
NDRG3	5.7935791252379325e-5	1.4596731682443638e-6	8	1	-0.79912898281119	1	1
MEGF10	0.014756142016289532	0.012381402612523327	4	1	0.7908515379800551	1	0.5
LMOD3	0.01316542861872801	0.03852790664481846	3	1	-0.7876010179990534	1	0.8333333333333334
CEP85L	3.258240572738009e-4	0	2	2	0.7820750583255687	1	1
SOCS7	0.00727087668214782	0.003478793532115116	3	1	-0.7792609078124	1	1
PPP1R3A	1.3774089275934771e-5	1.0873860883246052e-5	6	1	0.77717140609467	1	1
SLC19A1	8.304444677082253e-5	0.27925778531076817	8	0	-0.7705492593750687	1	0.6666666666666666
NHLRC3	8.504385629777137e-4	0.0013574437991934179	3	1	-0.768917259301398	1	0.8333333333333334
SMTN	4.1600537165556644e-8	1.086837071402183e-8	7	2	-0.7659191661093384	1	1
DOCK5	0.009998868184098422	0	2	2	0.7658525864183844	1	1
PFN2	2.9039488865158208e-8	0	2	2	0.7618286416893392	1	1
OPLAH	1.4356437525564215e-4	3.5220963401592063e-4	5	1	-0.7571413779824537	1	0.8333333333333334
PRKACB	1.6847401016463506e-22	1.4299995273020652e-23	3	3	-0.7556495699150534	1	1
FADS2	7.74317512532126e-4	5.254631760534188e-5	4	1	-0.7514886904049942	1	0.8333333333333334
LOC113249819	1.3277660607653846e-5	0	2	2	0.746282912203158	1	1
UBASH3B	0.018038850308862254	0.4976006218475493	3	0	-0.7447547225696047	1	0.8333333333333334
IFFO1	0.001642083802066757	0.6194106710867731	7	0	-0.7407074756323265	1	0.6666666666666666
BORCS8	0.02448874315619299	0.025989015349965765	8	1	-0.7405988919881774	1	0.8333333333333334
SLC16A3	0.04422867942352691	0.034072264356403016	4	1	-0.740577539988046	0.8333333333333334	0.6666666666666666
NEBL	4.347046166696733e-12	6.903910162745593e-14	4	2	-0.7400047952420107	1	1
ATP5MC1	1.482693898676472e-35	0	2	2	0.7375661153426367	1	1
IVD	2.966728341103082e-5	0.001919122820302422	4	1	-0.7346486839311507	1	1
LOC113243838	4.714711597974938e-4	1	4	0	-0.7346233775031881	1	0.8333333333333334
CACNA2D3	0.0066056577501764704	0.0012173106407925558	4	1	0.7340940027070468	1	1
EVI5L	0.03148278831662247	0.014802150854831537	4	1	-0.7340934084247928	1	1
TTC7B	7.17874269405138e-5	6.05921978790305e-6	4	2	-0.7335091458307488	1	1
SYNPO	1.477347400004578e-8	2.260751977983303e-6	7	1	-0.7331385945772185	1	1
EVC2	0.01675122502592079	0.1949648944482419	5	0	-0.732709285763147	1	0.8333333333333334
VPS39	0.01040070615328326	1	9	0	-0.7302302337546595	1	1
HMCES	0.03209113303947427	0.028111801136928585	3	1	-0.7219839573204911	1	0.8333333333333334
RBM20	0.02227406057650396	0.028849870417171374	5	1	0.7184716169759775	1	0.8333333333333334
PCDH7	2.794314551368054e-21	2.8866470599686495e-24	3	2	0.715237344707212	1	1
MED22	4.060734509850532e-4	0.0013663486068634636	5	1	-0.714849253448867	1	0.8333333333333334
TPM4	6.916759731136646e-7	9.919338182447705e-7	4	3	0.7140785412782843	1	1
CRNKL1_LOC113258304	0.03795692087991203	0	2	2	0.7140226752891236	1	0.8333333333333334
PRIMPOL	0.0018013215126976053	0.007705838655887272	5	1	-0.7139426129052131	1	0.8333333333333334
RNF115	3.0309509299312017e-9	6.086589695093458e-8	3	2	0.7137629985181018	1	1
CRCP	0.0023571395368514273	0.04386532516546307	9	1	-0.7136021119118514	1	1
ZBTB17	0.007446675879216586	0.0029002605047642425	4	1	-0.7103503169106269	1	0.8333333333333334
TMEM245	5.670129998830048e-6	6.745566070795791e-8	3	2	0.7095068910630262	1	1
RALGPS2	0.005467501456163775	0.008008000253705566	3	2	0.7060942873895187	1	1
novelGene_OGFOD2_AS	0.0019171320770677081	0.0033931914004381282	3	1	0.7050828469485976	1	1
ASB8	1.1044490306326518e-7	8.359239607603772e-7	5	2	-0.7035014823023711	1	1
MSI2	0.0010275866230857792	7.72920867084561e-5	3	2	0.7032476771043545	1	1
KIF1B	3.1671724333890077e-8	3.977338772844197e-6	4	2	0.7015423519799099	1	1
DMGDH	0.02431653779400367	1	6	0	0.698101052912574	1	0.5
PKM	9.979415718977306e-20	4.0181291282280987e-22	4	2	0.6962015345297534	1	1
MED26	0.04337735039045039	0	2	2	0.6956664903152906	1	0.8333333333333334
UEVLD	0.002053114747193164	0.0023487874409281297	6	1	-0.6912524149313448	1	1
CERS5	0.0016706283400021353	1	6	0	-0.6911456469430818	1	0.6666666666666666
ATF3	0.03113919964950348	0	2	2	0.6903944759062867	1	0.8333333333333334
CIDEA	0.016334640323697643	1	8	0	0.6899937336016598	0.8333333333333334	0.5
LOC113247918	0.0021016325254447636	3.365248774141385e-4	8	1	-0.6883567603394527	1	1
MAP3K8	0.018899418077528537	0.2621361424337373	5	0	-0.6868475179186051	1	0.6666666666666666
KDM4A	0.004007269230665901	0.27525101490106507	7	0	-0.6865691915331311	1	1
PRRG3	0.026185197341329673	0.2222154616893011	3	0	0.6856932222309106	1	0.8333333333333334
ITGB1BP2	0.0016135938075765891	0.3852350564134911	4	0	-0.6846898470331311	1	1
POMT2	0.04729126412671355	0.02172582055545095	3	1	-0.6835698651732149	1	1
EIF4A2	4.060783249387468e-26	2.8137330639956057e-29	5	2	-0.678968735812469	1	1
ART3	0.04399973655920235	0.5338147135518151	3	0	-0.677991313126561	1	1
PLXNA3	0.04580976230719747	0.258797092041268	4	0	0.6774322705522611	1	0.6666666666666666
MYL2	1.87947129358028e-7	7.617541433483006e-8	5	1	0.6768532246140131	1	1
LOC113249370	0.012041368801382053	0.08236347441417764	4	0	-0.6756424016763017	1	0.8333333333333334
GFPT1	4.9036088262583845e-12	1.3115536513142582e-11	3	3	-0.6742640362906203	1	1
HIP1R	0.032893444242395875	0.03236192967122296	4	1	-0.6723662875106581	1	1
FGD4	1.7252725268483078e-5	3.6312889043314183e-7	6	1	-0.6715256666859847	1	0.8333333333333334
MORN4	1.085908508312394e-17	5.342271125717229e-14	6	3	-0.6703111561515498	1	1
QKI	3.474724766103324e-13	4.401382800489187e-12	5	2	0.6665607383809579	1	1
SH3D19	1.127663324864967e-5	2.4361691247283452e-5	6	1	-0.6662231486691486	1	1
HSPA12A	0.00788123699068483	0.8507326975285778	3	0	-0.666144017861905	1	0.8333333333333334
MFN2	4.106025621138162e-21	4.748039673646349e-9	8	3	0.6647084091515878	1	1
AKAP7	0.0031810446289094363	5.754218171195652e-4	6	1	-0.6631897969450332	1	1
LOC113245463	0.011006137227316385	0.6562240343108888	4	0	0.6604670155982703	1	1
PRR5L	0.038164598278418005	0.901586529220348	4	0	-0.6587219547198048	1	0.6666666666666666
PRELID2	0.001332496493224043	0.009215958182795109	6	1	-0.6587134545897858	1	1
SYNC	9.8128488350824e-4	0.0014405116457759193	5	1	0.6546590071719524	1	1
AP4S1	7.307740686088503e-4	0.07223580051779982	5	0	0.6537048102740836	1	0.8333333333333334
IFT20	3.262196502929247e-4	2.551460524487709e-4	3	1	-0.6513234642007004	1	1
