gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Kidney_cortex-Atrium)	pct_gene_expr	max_pct_tx_expr
CSRP3	2.0435362382785412e-4	0.04805947409668705	3	1	-0.9390339607446402	1	1
SMPX	0.00662059753065325	0.5159532721949985	4	0	-0.9379664501787461	0.8333333333333334	0.8333333333333334
ATP5F1C	2.661316318784511e-135	3.741481250033846e-30	3	2	-0.9275744581991223	1	1
TPM4	8.262982597476995e-39	1.046992064143662e-37	4	3	0.9195375966977329	1	1
PDLIM5	4.314228221096706e-18	1	5	0	-0.9194009379483995	1	1
MGST1	1.8606826792339956e-15	5.158685125105981e-6	3	2	0.9186041972384479	1	1
CSGALNACT1	8.468117023841786e-5	5.156150920224057e-6	3	2	0.9024454052211971	1	0.8333333333333334
KIAA1614	5.374575462381014e-7	2.6822661753381914e-6	6	1	-0.8981957310210739	1	1
HMGCS2	0.005934582406958331	0.002819227935038146	3	1	0.8903939491827091	1	0.8333333333333334
TTC7B	7.116017820125488e-10	1.609753271034005e-4	3	1	-0.8761098277840728	1	0.8333333333333334
FLNC	3.0021344343836285e-21	6.604406280386574e-20	7	2	0.871297262631027	1	1
HHATL	0.029274050176360842	0.046026566114193486	4	1	-0.870442141215487	1	0.8333333333333334
EPAS1	5.0071250218784215e-10	0	2	2	0.8646774081191996	1	1
LOC113247381	3.1790764048362402e-15	6.880965717769735e-17	3	2	0.8605392089350582	1	0.8333333333333334
HRC	3.49831985097689e-22	1.6684878301582203e-21	7	1	0.8536653113134999	1	1
STX10	8.226747626371271e-4	0.001551311556621826	5	1	-0.8416268529051882	1	0.8333333333333334
MYO5C	2.026118464820304e-4	3.004981482673089e-4	4	1	-0.8406311594371061	1	0.8333333333333334
EVI5L	4.309433045953353e-4	5.541093617430471e-4	3	1	-0.8395344753772728	1	0.8333333333333334
POLH	0.011112068317511496	1	4	0	0.8382733094672795	1	0.8333333333333334
HMGN3	1.1187821027431404e-9	1.3547082750542757e-11	5	2	-0.8351986909352941	1	0.8333333333333334
STEAP4	0.04309838330801471	1	4	0	-0.8305898102707258	1	0.5
CNTFR	0.002307980183374751	3.847679196193179e-4	5	1	0.8273939318874504	1	0.8333333333333334
LOC113270472	6.226212799255189e-7	4.302058728903499e-8	3	2	-0.8272787455505091	1	0.8333333333333334
FSIP1	0.011012974858632243	1	5	0	-0.8234673453978106	1	0.8333333333333334
CCDC136	1.376586326480871e-4	0.3390986092011582	4	0	0.8226133515326853	1	0.8333333333333334
CACNA2D3	8.387630989623718e-8	2.5465002252750387e-8	3	2	-0.8162158188187216	1	0.8333333333333334
NEBL	4.9134463767261406e-23	1.618010688708495e-22	4	3	-0.8144606929417301	1	1
