gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Kidney_cortex-Gall Bladder)	pct_gene_expr	max_pct_tx_expr
PCBP4_ABHD14B	1.3357921592838207e-4	0	2	2	0.9999970268989299	0.5	0.5
TSPYL5	3.852331556504941e-4	0.024028922999116867	4	1	-0.9874476497070965	1	0.75
GAREM1	2.4108582713988875e-5	0	2	2	0.9827953196172425	1	0.75
PCGF6	0.010966322399132979	0.028549489559615573	3	1	0.9441230769416536	1	0.75
SERPINF2	0.020731152657018113	0.07637618706236385	3	0	0.9138369856252325	1	1
CHST3	1.7393015071779061e-9	3.215317907771171e-11	4	1	0.8941866921120989	1	1
SLC10A3	4.3857647111070436e-4	0.8288598012154116	3	0	0.8819521042583447	1	0.75
ZNF365	0.0016930206399479915	1	5	0	0.8710507797324739	1	0.75
MFSD6	1.5731463661719996e-4	9.331169833748003e-6	3	2	0.8708589249788223	1	1
HMCES	0.009497808790190642	0.05082317015862282	3	0	0.8698254212679213	1	0.75
BHMT	1.0380866009495496e-9	8.034086761898711e-6	4	2	0.853433313774127	1	1
LOC113249553	0.033311366312730344	0.14932902221394978	3	0	0.8489449021719941	1	0.75
USP39	8.023613285722841e-4	2.48110062300356e-4	4	1	0.8433713459865283	1	1
ANPEP	2.1989400859425143e-11	1.819645234179811e-14	3	3	0.8368445088643921	1	1
TMEM184B	0.02761940690826217	0.0050293473799062315	3	1	0.8360202968863877	1	1
MAD2L1BP	5.020318378989187e-4	0.2606805349506131	5	0	0.8355239571719623	1	1
LOC113248300	0.01757240366707413	0.00399873831556559	3	1	-0.8300735277307267	1	1
CDK14_CLDN12	0.03026374313645457	1	3	0	0.8290850977056171	0.75	0.5
ZNF484	3.250320484580427e-5	2.8982331027267126e-5	4	1	-0.8248023257422016	1	1
TCEANC2	0.028660907960971132	0.019931922540996187	4	1	0.8218685740508881	1	0.75
ZNF395	0.015564260047980902	0.002837103394435563	3	1	0.8172122559343645	1	0.75
ABHD11	6.466307378901479e-4	3.0516121571466887e-4	3	1	-0.8135413291142695	1	0.75
SCML2	0.040349478928587534	0.23806565853396633	3	0	0.8082571421518847	1	1
GLE1	7.102012672612755e-6	1.135116356656891e-6	3	2	0.8059979085322224	1	1
SLC26A4	0.0037337171554917945	0.004184514048877621	3	2	0.8030709152406369	1	1
DAPK2	2.454318720941329e-4	1	6	0	0.8017586132657135	1	1
ROS1	0.0019198269739414038	2.869462274642894e-4	3	2	0.7998566026708066	1	1
SEMA4F	0.017261040681553184	0.005389164562785501	4	1	0.7913189586276727	1	1
SESN3	0.011589431095663329	0	2	2	-0.790737876218684	1	1
SPSB1	0.028123204378425016	0	2	2	0.7841733888782156	1	1
LOC113246566	0.012385291867724064	0	2	2	-0.784131980903454	1	0.75
HIVEP2	3.865303417531278e-4	0.1430229002802787	4	0	0.782494857214687	1	0.75
ZNF667	8.023613285722841e-4	1	4	0	0.7807909238435737	1	0.75
JAKMIP3	0.028269540333384007	0.013625295192005123	5	1	0.7792288617931488	1	0.75
FAHD1	0.024775312866612907	0.0016838748686426595	3	1	0.7774603300216933	1	0.75
LOC113254331_RNPC3	0.0018809469578793818	0.45829840477145145	4	0	0.7773021563049087	1	0.75
DHRS1	1.5763645842327642e-4	3.769084589537621e-7	9	1	0.7766608090679946	1	1
UNC5B	0.013801935909758393	0.007541982713862442	3	1	-0.7758803719995744	1	1
CDK19	0.013386074761397004	0	2	2	-0.7757190340873775	1	1
TUBE1	0.019331275097048035	1	3	0	0.7754902079588084	1	0.75
CTBP2	0.0018809469578793818	0.005649524357283177	6	1	0.7753767772640346	1	0.75
PHC1	1.994684941992268e-4	0.006769498377289992	5	1	-0.7752289213345677	1	1
TET1	0.028214722770283085	0	2	2	-0.7743664334962401	1	0.75
NOTCH4	0.021555074001593368	0	2	2	-0.767787154460336	1	1
BBS10	0.00846465498488304	0.0115728312954064	3	1	0.7662826859076293	1	0.75
CRTC1	0.021555074001593368	0.0946623155136152	4	0	-0.7659655796948426	1	1
LOC113248522	0.025704121094046285	0	2	2	0.7618030290121934	1	0.75
RUNDC3B	0.03328788589987353	0.024128752704674017	4	1	-0.7613074339988387	1	0.75
GFPT2	1.0705323584078707e-13	0.8574347741526801	7	0	0.7603814147634341	1	1
COMMD8	0.0025004531537304612	0.055776394988991465	4	0	0.7598600219135004	1	1
IARS	3.397568272977704e-5	2.6306658930224467e-6	7	1	0.7593800395393538	1	1
PBLD	8.818185657312661e-4	0.0012983091982170531	5	1	-0.7572807039614226	1	1
LOC113242943	0.022252293658242252	0	2	2	0.7567989053571414	1	0.75
novelGene_FRMD4A_AS	0.033669338291355856	0.015050789036049622	3	2	-0.7511747789805957	1	0.75
GATAD1	0.01162085491195585	0.0027478332454346373	4	1	0.7508524826222598	1	0.75
NDUFA9	0.022276063760025073	0.01655286645003285	4	1	0.7441253047259949	1	0.75
MAP2K7	0.006899891495152155	7.002111834617795e-4	3	2	0.7369279205461261	1	1
SGSM3	0.02644431230385562	0	2	2	0.7366027156534468	1	0.75
CARNS1	0.007945025860314878	0.045459320307679775	4	1	-0.736532498729832	1	0.75
TRAF5	0.02577749886989912	0.049822515320366814	3	1	0.7340041812415228	1	0.75
PEAR1	8.740936742050948e-4	0.011656429936421533	6	1	0.7332584251513125	1	0.75
NARF	0.033879258380295915	0.0270570420856126	5	1	0.7329435294569637	1	1
CARM1	0.019099386523735096	0.008955227119766575	3	1	0.730512985218452	1	1
KIAA1549	0.022276063760025073	0.0026439099589790943	3	2	-0.7271978933172085	1	1
SEL1L3	0.027760931624526187	0.002917807445432092	3	1	0.7271887552152859	1	0.75
CSGALNACT1	2.4108582713988875e-5	7.329802622599069e-7	3	2	0.7261344222196159	1	1
ZNF865	0.04253832059812134	0	2	2	-0.7220958836434457	1	0.75
FAM219A	0.006324277685323746	1	4	0	-0.7217637970486749	1	0.75
FAM173B	0.02965126408605093	0.5845537665207433	3	0	0.7173038524133164	1	1
NPC1	1.3357921592838207e-4	6.034617613750863e-5	4	2	0.7170331147932459	1	1
MINDY4	0.041334436505867746	0.022403825817661576	6	1	0.7160392765083516	1	0.75
FAXC	0.028868400642034008	0.012980859160102864	3	1	0.7152565868322092	1	0.75
ZNF143	0.01737197672719985	1	3	0	-0.7136022953273679	1	1
BCKDHB	0.03797781890819817	6.422150502428124e-4	10	1	0.7124389185958137	1	0.75
STK32C	0.017834356756950984	1	3	0	0.7081788006220878	1	0.75
DNASE1L1	0.003107314116305423	0.4643078589022639	7	0	0.7069613643487949	1	1
TSC22D2	0.001573359111585094	7.60356265818115e-5	3	2	0.7065020662084924	1	1
TNIK	0.03651048571084895	0.058753642813018106	6	0	0.7063140769003414	1	1
ADSL	0.008458449561893112	1	5	0	0.7026988402271709	1	1
CCDC12	0.0016826949811107228	0.0067903591246002235	4	1	0.7024457505584547	1	1
PDHX	1.4194077516547544e-4	7.815830237690376e-8	10	1	0.7017346907194724	1	1
TFB2M	0.001331857919687414	0.0015771701471027262	6	1	0.6994333267477822	1	1
LRRC8A	4.711018018029978e-4	1.494459997464702e-4	4	1	0.6967909006447556	1	1
STAB1	0.010678978923457995	0.0031101356941971026	3	2	0.6956954892058453	1	1
PCK1	0.006702552820117749	1.3834279882663276e-4	9	1	0.6940484511828164	1	1
CRLF3	4.0091214021122724e-4	1	6	0	0.6915242189807101	1	0.75
ZCCHC10	8.740936742050948e-4	0.1723923443184133	4	0	0.691463938604156	1	1
SOD2	0.03822008782748683	0.032442510619154916	4	1	0.6912053896749787	1	1
CCDC43	0.00848986094180408	0.0038052803291965336	7	1	0.6867478664334956	1	1
AUH	5.516666204620388e-5	1.7657396371783665e-6	6	1	0.6864510800543029	1	1
SUPT6H	3.6449518723302243e-05	5.238030862113737e-7	8	1	0.6833263042161173	1	1
LOC113248437	0.01032382689489613	0.005662530728889111	5	1	0.6811493463492919	1	1
JCHAIN	0.004396221897292292	0.0023219562896760605	3	1	-0.6811179738182045	1	1
MAN1A1	4.3738238404455294e-4	2.8758814308056764e-5	3	2	0.6790883226711701	1	1
TPM4	3.3607427169789265e-4	7.914970714281141e-5	5	1	0.6789359657063146	1	1
PALM	0.012672625988930986	0.004865228522709772	4	2	0.676431241675566	1	0.75
PBX3	0.020858207067115317	0.012039286746470786	4	1	0.6756315815716429	1	1
CLASP1	0.0060819493326062	0.25654353926222134	7	0	0.6724766661075716	1	1
FHL2	0.020858207067115317	8.329873007117328e-4	4	2	0.6701717346437949	1	1
FARS2	0.004290399262327002	0.0052167113191346195	5	1	0.6695369969092941	1	0.75
ACSM3	0.001469949495956397	4.34902908497057e-5	3	2	0.669117770944298	1	1
STK39	0.012420536297663487	0.023230500499196935	4	1	-0.6689280885474358	1	1
LOC113250773	0.0032959370891230506	1	7	0	0.6666510367612137	1	0.75
FAM129A	0.0017375369125477613	0	2	2	-0.6660714445099467	1	1
TMEM65	0.0025794805299710496	0	2	2	-0.6646943352641158	1	1
