gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Kidney_cortex-Ventricle)	pct_gene_expr	max_pct_tx_expr
MAP2K7	3.6535684398864494e-5	0	2	2	0.9994955432107409	1	0.8333333333333334
MYL3	7.567890897673892e-5	0.21769799445384624	5	0	-0.9570458367818417	1	0.6666666666666666
HHATL	0.0022689777420447674	0.0014155234226999967	3	1	-0.9354899165724915	1	0.8333333333333334
SMPX	0.011839137383833444	1	4	0	-0.930273802257623	0.8333333333333334	0.8333333333333334
ELMO3	0.03089951659541292	1	9	0	-0.9093746415495347	1	0.8333333333333334
CNNM4	0.002480997212777366	0.0017722934671050017	3	1	-0.905198631866445	1	0.8333333333333334
KIAA1614	1.517736613207654e-6	4.631572415688239e-6	6	1	-0.8944260420263341	1	1
DAPK1	0.01893080980905433	0.0031674080829776725	3	2	-0.8899285286614552	1	1
HMGN3	2.4074487680323473e-11	1.6628232794481377e-11	5	2	-0.8875629362881843	1	0.8333333333333334
MGLL	4.759030093998929e-9	3.989384926672326e-9	3	2	0.886986203220531	1	1
HRC	8.299914335900062e-27	4.578934197838674e-25	6	1	0.8715927779593041	1	1
STK32C	0.004749230249306793	0.04236549457893136	4	1	-0.8667490019088065	1	0.6666666666666666
PDLIM5	2.1241685523793744e-8	1	5	0	-0.8611217696425658	1	1
LRRK1	3.012649536450275e-5	4.161691654052921e-4	4	2	0.8609286219055159	1	1
FLNC	1.3740153065576118e-13	5.869440794128415e-13	8	2	0.857950857348976	1	1
ARF3	3.7737805154403634e-14	7.442790264002589e-16	3	2	0.8550344104979185	1	1
MEF2D	0.004871359715570236	0.01139437818805228	4	1	-0.8521738563828578	1	0.6666666666666666
WDR7	9.822322852761686e-4	0	2	2	-0.8371359470086213	1	0.8333333333333334
ICK	0.028359359251731543	0.0033438721214534358	5	1	0.8358814773243272	1	1
TBC1D4	2.035922961607561e-10	8.87841782431235e-5	4	1	-0.8300552759526173	1	1
MYO7B	0.010582936729496952	0.40308689419313676	4	0	-0.8236458538375221	1	0.8333333333333334
ANKRD39	5.102175986660093e-31	3.275339213524808e-20	8	1	0.8230358233199885	1	1
NEBL	4.727136673382996e-24	3.906893944350835e-23	4	3	-0.8225885317570636	1	1
SLC2A3	0.0034102381685673366	0.1720016578710155	3	0	-0.8207246754315213	1	0.6666666666666666
CCDC113	0.036976909902541086	1	3	0	-0.8132854939641733	1	0.5
CCDC136	8.470365130396915e-4	0.26570848252086327	4	0	0.8072615603407957	1	0.8333333333333334
ARHGEF28	3.4648452149305677e-9	5.350206765836191e-10	3	2	-0.8054719665879267	1	1
LSM14B	0.006675046952286454	0.0017712521362135923	3	1	-0.7929423696901945	1	0.8333333333333334
NT5DC3	0.01074840731035504	0	2	2	-0.785913474870728	1	0.8333333333333334
IRGQ	0.002480997212777366	0	2	2	-0.7806316105066092	1	1
RAB36	0.04025019255707062	1	3	0	-0.7781124285342454	1	1
MYO5C	2.7577827636871347e-5	6.14183839314104e-5	4	1	-0.7763054594751378	1	0.8333333333333334
SYNPO	5.178691011124007e-4	6.957396327773356e-5	5	2	0.7726594283493198	1	1
SHANK2	0.033950635432982997	0.009380155746906935	5	1	-0.7655989437210287	1	1
TPM4	1.1518074663605211e-5	1.0719841758320048e-6	4	1	0.7620854081240983	1	1
PDP2	0.007466035945424179	0.001105298411801057	5	1	0.7568185064428781	1	1
KIF1B	2.908778967550109e-20	1.5881064997915492e-13	4	2	0.7561533745555806	1	1
TMEM114	0.046962031845167486	1	4	0	-0.7554709088755802	1	0.6666666666666666
MED23	3.0836204222665643e-4	1.6473531000975257e-4	3	2	-0.7543001099216179	1	0.8333333333333334
CCDC50	1.51378427774527e-6	0	2	2	-0.753018745829314	1	1
EVC2	0.036556479853320514	0.2826624024475845	6	0	-0.7518748361852786	1	0.8333333333333334
TRIM54	0.006972891000373868	8.730554525245332e-4	3	1	0.7511852721464983	1	0.8333333333333334
LRRC8A	0.01922894352056486	0.00121446655666802	4	1	0.7491201407931828	1	0.8333333333333334
TXNL1	3.783226781895118e-18	1.794412613909933e-16	5	1	0.7481252522442808	1	1
NDRG3	0.00670816112710852	9.878519062549837e-4	7	1	-0.7429492095852472	1	0.8333333333333334
OCLN	0.015060542660478293	0.003674916095134284	3	1	-0.7425477364704692	1	1
STX10	3.035802809195989e-4	0.002701433822587809	5	1	-0.7403460280635781	1	0.8333333333333334
PFDN4	0.04853955972544349	0	2	2	-0.7376839400678912	1	0.8333333333333334
PPP1R12B	2.892511835408945e-26	8.667986991475517e-26	4	2	-0.7372849155493107	1	1
FBXO31	2.389173766568082e-6	0	2	2	-0.7369029639163177	1	1
ZNF76	0.009559475970704667	0.02348372289261843	4	1	-0.7362933113648878	1	1
TMEM245	6.169941807179113e-5	8.154681607903784e-6	3	2	0.7291593377694703	1	1
KIAA1522	3.3358343696197385e-4	1	3	0	-0.7273709237031115	1	0.6666666666666666
RHOBTB1	3.526671703597696e-12	1.3425849885022973e-5	11	1	-0.726167782869432	1	0.8333333333333334
CACNA2D3	0.014219208005819902	0.002321310779173895	4	2	0.7198066450550421	1	0.8333333333333334
TNIK	3.859246932971322e-4	0.012654827799834224	4	1	0.7196945355913111	1	1
CCDC163	0.013420146728525094	0.0012390343510500167	6	1	0.7187735825492687	1	0.6666666666666666
PYGM	2.25277409675794e-5	9.955268563663e-4	7	1	0.7173023367499326	1	1
BCL6	6.7960729139119e-9	5.396542521949445e-7	5	1	-0.7151601688264553	1	1
USP28	2.332111352270166e-8	3.213967120598393e-4	7	1	0.7114342884739214	1	0.8333333333333334
GYS1	0.004534459446637165	0.255223258551949	8	0	-0.7081291802420427	1	1
SYNGR1	0.0010508949390461973	0	2	2	0.7081169212614197	1	1
LOC113243838	0.020025739147475415	0.6780053970407557	4	0	-0.7073569176924334	1	0.6666666666666666
TNRC6A	0.027430322598946205	0.021682590407685123	5	1	-0.7049160587677911	1	1
ABCC4	0.0020307753608924625	0.0034820444765642105	4	1	-0.704283770799457	1	1
PSAP	5.976499654481674e-21	2.108908435164429e-22	3	2	0.7034150450668446	1	1
MAP7	6.81747307954567e-5	1.9549630971266212e-4	4	1	-0.7007779804039225	1	1
TEX264	0.0036444548068991773	0.0036417591691253804	5	1	-0.6987372787444919	1	1
ALG13	0.0046713979819867305	0.0033937702430668643	4	1	-0.6977375117196443	1	1
LRRFIP1	5.0113847797668996e-21	1.4227294941809067e-16	7	3	-0.6942143383059445	1	1
NF2	4.252475698474137e-6	0.00626663598034771	7	1	0.69157550059421935	1	1
RNF114	0.002935109182588426	8.144242405095128e-4	4	2	0.6846167289603751	1	1
LARGE1	5.82220448085794e-6	1.6208071663045232e-4	5	1	0.6811114147395954	1	1
UBE4B	0.004582005864993277	0.020965751887986196	3	2	-0.6786218765170579	1	1
TLE3	0.039922108662614766	0.03027554465593349	5	1	-0.6782882072660603	1	0.8333333333333334
LOC113270541	0.02534975154917137	0.05687566768011452	6	0	-0.6780441535590551	1	0.8333333333333334
SKA1	2.1393683162987534e-7	1.8055866234911243e-7	3	2	-0.6769638217200495	1	1
PRIMPOL	0.015735913202135642	0.15913959004230768	6	0	-0.6748906343292675	1	0.8333333333333334
TOM1L2	0.010907922891139952	0.010210440754238704	5	1	0.6748633377311389	1	0.8333333333333334
LOC113244018	9.870725669969955e-10	2.685111001641453e-7	3	2	0.6742910356739917	1	1
L3MBTL3	0.015735913202135642	0.3381838376313236	5	0	0.6736496832965039	1	0.8333333333333334
UBN2	0.04718626449247399	0.04620048590624423	3	1	0.6729833514892104	1	1
ACVRL1	0.03390794707871157	0.006450207524898619	3	2	0.6720318892082388	1	1
MARVELD2	6.121442154162265e-6	0.06365485902182284	5	0	-0.671603508781804	1	1
FAIM	0.03930941458475438	0.10536047197157775	5	0	-0.6702222380128586	1	0.8333333333333334
CPT1A	0.01003458230062112	0.02119446342467118	4	1	0.6698475961385075	1	0.8333333333333334
GFPT1	1.2091812106988244e-10	8.542955440534275e-10	3	2	-0.6672414393601989	1	1
GK	0.0036718483279317396	1	7	0	-0.6658006698239458	1	0.6666666666666666
CCT8	2.1817187747474913e-19	7.320139065105418e-12	5	2	-0.6657284942219818	1	1
PIP4P1	0.04954992741656577	0.007645879896274147	3	1	0.6655151895010154	1	0.8333333333333334
ZNF235	0.04814497187601855	1	3	0	0.6616564123474749	1	1
CLASP1	7.788330009343318e-4	0.20743583898532156	10	0	0.6615787390645793	1	0.8333333333333334
MPZL2	7.54952166283684e-5	1	6	0	-0.6579391212700372	1	0.6666666666666666
QKI	2.0794300410458986e-10	7.260933850328765e-8	5	2	0.6522779866297554	1	1
PURA	2.1196103151421404e-29	8.162430575717288e-25	6	2	-0.6504163954458493	1	1
CMYA5	1.1838523327560363e-5	1.5605034019817637e-8	6	1	-0.6483618772452863	1	1
ALKBH3	0.04536998665579472	0.013403176605134522	6	1	-0.6419912243974925	1	0.8333333333333334
