gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Kidney_medulla-Gall Bladder)	pct_gene_expr	max_pct_tx_expr
IFT74	2.903201706944074e-4	1	3	0	0.9300286246672144	1	0.5
RFC4	0.02894357761860407	0.7905918550710141	3	0	0.917763126412863	1	0.75
SERPINF2	0.01727997671833154	0.05977214314089363	3	0	0.9147502143822016	1	1
GLE1	3.1164502647746276e-7	9.264491456690134e-9	3	2	0.9048943973728516	1	1
GAREM1	6.20928332170023e-4	0	2	2	0.8831588057374162	1	1
ALDH8A1	0.011390352286791262	0.1024699493348378	4	0	0.8779369967002082	0.75	0.75
USP39	7.749177102610302e-4	7.19021681705212e-5	4	1	0.8658878313874908	1	1
MTM1	4.019960378084058e-5	0.08023350691901802	4	0	0.8523597101702911	1	0.75
GATAD1	0.0011089559676248392	2.0667064981757984e-4	3	1	0.8383873194755846	1	0.75
ZCCHC10	3.216192284733959e-6	0.013364055774348349	3	1	0.8322120986260376	1	1
NR4A2	0.008103051054735407	0	2	2	-0.8159330236009038	1	0.75
AUP1_DQX1	0.012592108327090071	0.002492199388390474	3	2	0.8105157616424261	1	1
TRIM13	0.0039670258328202476	0.17700817522369036	3	0	0.8100412888120834	1	0.75
EIF2AK4	4.6562753943842826e-7	2.8506775524839083e-7	4	2	0.803201926751499	1	1
ROS1	0.0010878992196078684	0.00014438157270082523	3	2	0.7996554393954247	1	1
STYX	0.0021150607847766375	0.14953255545626304	6	0	0.7908806938861531	1	0.75
MXRA5	0.013399900957846534	0.27753625825777273	3	0	-0.7897428402677612	1	1
TMEM200B	4.829032203160167e-4	3.477324508148675e-4	3	1	0.7895389914561319	1	1
LRSAM1	0.017698654295325435	0.011067221283517914	4	1	0.7883624124363949	1	1
PBLD	7.816509529943355e-6	4.229136166530662e-6	5	1	-0.7872315602128701	1	1
ANPEP	2.5579899069673304e-5	1.4074823388927685e-07	3	2	0.7816867838930442	1	1
INPP5E	0.008798951572574378	0.0027373752087446156	3	2	0.7804693385995638	1	1
CAMKK1	0.04385538616719474	0.018526291232364038	4	1	0.7778488241596434	1	0.75
MOB2	1.007725763865921e-5	2.1700254890624467e-6	5	1	0.7770512943694965	1	1
TMEM63B	1.5656829749437304e-4	1	7	0	0.7763473061144235	1	1
PARP16	0.03916456771197329	0.01517006257820912	3	1	-0.7740124684748881	1	0.75
PVR	2.322648108983301e-4	0.00679879984712922	3	1	0.7722558926537938	1	1
KIAA1549	0.0020481060368032944	0	2	2	0.7701031651973175	1	1
BHMT	3.014720622733205e-9	9.29676740461119e-6	5	2	0.765897809996858	1	1
COL6A6	0.02869759190010108	0.30709368676351606	3	0	0.7643699432491754	1	0.75
MAD2L1BP	0.0013750768914489754	0.5190254408326733	5	0	0.7596437217615732	1	1
STARD3	0.007672312078548645	0.0011154131388173428	5	1	0.7591787440688802	1	1
SLC26A6	0.009377703790248566	1	6	0	0.7557312730916944	1	0.75
BAG5	2.949709460108884e-4	8.721853617640792e-6	3	2	0.753546317159221	1	1
WBP1L	0.004136115201788432	0.0037132144194311073	3	1	0.7529983669286922	1	1
DLC1	1.6470065915701865e-7	8.016183119641119e-8	7	2	0.7522742550362638	1	1
DDX20	0.02825438426091887	0.04579065931558054	4	1	0.7496835966972503	1	1
WDR55	0.0011032712706081358	0.0013082932426929659	3	1	0.7494517157518992	1	1
SNX22	0.009155670371023002	0.00618555263754942	3	1	0.7480883012429669	1	0.75
MFSD6	1.950682892573392e-4	3.309454292211911e-4	4	2	-0.7456475167297698	1	1
IRAK3	0.025887975441714627	0.029422398854340306	3	1	0.7444722171541054	1	0.75
LOC113247989	0.02389133186172475	1	7	0	0.7443958408452891	1	0.75
PMF1_BGLAP	0.031298530819105434	0	2	2	-0.7368169112878314	1	0.75
LOC113249640	0.01954671441645658	1	4	0	0.7366789534049236	0.75	0.75
RAB33B	0.023028690431547656	0.04394594749108265	4	1	0.7353991655374575	1	0.75
NT5DC3	0.03127762069895023	0	2	2	0.7327094417107967	1	0.75
ZNF48	0.039644662143666236	0	2	2	-0.7298834671505043	1	0.75
BAX	0.010164769839202583	0.005101528003707885	3	2	0.7296551532464931	1	1
VPS33B	4.214515392546287e-4	0.022894130831582378	8	1	0.7289725741602849	1	0.75
ZBTB11	6.186179648153716e-4	0.0010944953939693652	3	1	0.7282736061205789	1	1
PCK1	4.1773997166979723e-4	6.556309639156324e-6	9	1	0.7277714241312214	1	1
ARHGEF15	0.019788973008360283	0.24723680342228982	6	0	0.7271772320900083	1	0.75
SLC35D2	0.009886234567120681	1	4	0	0.7213926338174423	1	1
OTUD1	0.0032252586458989033	0	2	2	-0.7183209385102638	1	1
LOC113270150	0.04884340129895417	0.023415487230191906	4	1	0.7172142887862504	1	1
POLD1	0.014166616412171068	0.011405001390344286	6	1	0.7169126695996723	1	0.75
PTS	0.002773207917584898	0.00999520039921391	7	1	0.716030713651185	1	0.75
ENC1	0.01865411994557514	0.004118632492506647	3	2	0.7150900447088832	1	1
LOC113246636	0.04716888691212205	0.011641874763335183	3	1	0.7126712355199283	1	0.75
LOC113259427	0.013083671242671466	0.09462738344691465	5	0	0.7083093705062233	1	0.75
TFEC	0.027549778755425962	0.0058398538325604545	3	2	-0.706741403857869	1	1
FAM168B	8.775717133894638e-4	3.01892462865837e-4	3	2	-0.7028598984028244	1	1
GSE1	0.03465107980603313	0.07301766609168046	3	0	0.6998657490109151	1	1
MOCOS	0.03990175046124503	0.08781280877902317	3	0	0.699178853811952	1	0.75
RMC1	2.9820982999704214e-4	6.158570941076901e-4	7	1	0.6970717396660363	1	1
SYCP2L	0.014940081043813213	0.003624352863612423	3	2	-0.6968592918927583	1	1
GEM	0.0015885303802052233	5.665278758307975e-5	3	1	0.6936901938172964	1	1
LOC113248767	0.01614909993559613	0.1295317441942591	4	0	0.6915893944045997	1	1
DGKA	8.169366728621395e-5	4.27382672829843e-4	9	1	0.6895102929342806	1	1
CTPS1	0.013059632825685044	0.7333252428585612	3	0	0.6889494250730318	1	0.75
HSD17B14	1.675589829853774e-4	0.0021674543075680124	6	2	0.6879147879054851	1	1
LACTB2	0.0017945520750375845	0.3796126479137329	5	0	0.6869001883258367	1	1
FAXC	0.035440978473909694	0.014459954506914315	3	1	-0.6857524801993556	1	1
DUSP19	0.0027266281238809706	0.013716008366467749	3	1	-0.6843790773060402	1	1
LOC113258058	0.03970867588247145	0.2433613590353993	4	0	-0.6825089173407886	1	0.75
ABRAXAS2	0.00824630177760519	0.00195716532985832	4	1	0.68244889353795	1	1
CARNS1	0.034240935595430365	0.13352403321197798	3	0	0.6804288556365378	1	0.75
HDAC7	9.517554467578177e-4	1	6	0	0.6796408567339611	1	1
SOD2	0.024370725048340057	0.015045826754683056	4	1	0.6794168603731494	1	1
FN3KRP	0.02869759190010108	0.0034558493305747607	3	1	0.678333378623155	1	1
CCDC43	0.007181029817230495	0.004324374870707232	7	1	0.6774149579054185	1	1
BBS10	0.04851316108969666	0.014653318229123944	3	1	0.676751203202727	1	1
LOC113246783	0.0419973433255906	0.008955184684541574	3	1	0.6752801804007088	1	1
CC2D1A	0.045968295361411976	0.1002574749532436	4	0	-0.6751555094320579	1	0.75
MTCL1	0.039644662143666236	0	2	2	0.6751524116193147	1	0.75
DCDC2C	0.04684122266875703	0	2	2	-0.6748009164402126	1	1
BCKDHB	0.0019202477008999283	8.025221896143462e-4	11	1	0.6738562472141112	1	1
PDHX	5.116760883065307e-4	6.642690301378575e-8	10	1	0.670503650486618	1	1
EME2	0.02419213756587538	0.528952288129656	3	0	-0.6702338244437004	1	1
LOC113248155	0.01614909993559613	0.02565703889281556	3	1	0.6696686362422043	1	1
LOC113260951	0.03327383191093492	1	6	0	-0.6690011522088231	1	0.5
ACSM3	8.390315784534445e-4	2.207336867064029e-5	3	2	0.6681152712556958	1	1
TPM4	0.001212941360850474	1.3670015222845636e-5	5	1	0.6680445982466481	1	1
LOC113243743	5.460252851836759e-4	1	6	0	-0.6674127941828212	1	0.75
CALCOCO2	4.066606331303857e-18	3.5895927841121556e-20	4	3	0.6669621899487886	1	1
SLC2A3	4.184334404857255e-5	5.99787321976722e-5	4	1	0.6664949451769285	1	1
SUPT6H	3.762261660798503e-6	1.492078475512162e-7	8	2	0.6664272025423675	1	1
CLASP1	9.637844437957585e-5	0.018658319636442745	6	1	0.6657542821916501	1	1
CACNB3	0.007730507186627311	0.011178364358876246	5	1	0.6581975783267222	1	0.75
SIRPA	0.0010424288238593247	5.01689515942072e-4	4	2	0.6562684318504197	1	1
PCNX3	0.016752794303166573	0.016083408239494276	5	1	0.6562116808154179	1	1
AGK	0.005522059568724123	0.002264771902169721	5	2	0.6560742630055387	1	1
UVSSA	2.3695622037532717e-4	2.76178664195664e-4	7	1	0.6483534688287901	1	1
LOC113258537	0.003986664855187266	0.0027210293016934105	7	1	0.6464833945575745	1	1
TUBE1	0.022411484967898236	0.3904576098068557	3	0	0.645495780010881	1	1
PIGM	0.007866529785733191	0.5248879068039073	3	0	0.6448316623250243	1	1
COMMD8	0.0028336998885821444	0.008166357449370831	5	1	-0.6442710045444074	1	1
PLEKHA4	0.02529602583787155	0.7980733694983448	6	0	0.6434353404610818	1	1
AGBL4	0.006165909158693831	0	2	2	0.6418364777633019	1	1
POMT2	0.0048238553391419725	0.14485534853485355	3	0	-0.6405167058736084	1	1
KHK	0.038730240240424096	5.47307123669982e-4	7	1	0.6399297032430911	1	1
HSPB11	0.011665193217685131	8.59171749659483e-4	5	1	0.637573539161921	1	1
LOC113246872	1.4710151420927102e-4	0.0025573563772256056	9	1	-0.6349475300429052	1	1
MFSD14A	0.0015634198310380614	3.4731511668463434e-5	8	1	0.6334197135590226	1	1
MYRF	0.004999844129256339	8.864662063840981e-4	3	2	0.6333888181395051	1	1
