gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Kidney_medulla-Kidney_cortex)	pct_gene_expr	max_pct_tx_expr
LRRK1	0.013606963026679983	0.03546752366253231	4	2	0.8778632299947241	1	1
SLC10A3	0.043687438016010285	1	3	0	-0.8653480332422493	1	0.5
ACVRL1	0.013606963026679983	0.0029687206874824167	3	1	-0.8646932733488318	1	1
POLH	0.021811687527049945	0.04416409583974128	4	1	-0.8580837246315333	1	0.75
MYRIP	0.024288426991056912	0	2	2	-0.857612824674713	1	1
LSM14B	0.03723242896780167	0.04871264910047607	3	1	0.8003411430452966	1	0.75
TBKBP1	0.026642050160152187	1	4	0	-0.7843788471735363	1	0.75
HIVEP2	0.021811687527049945	0.0474595478341898	5	1	-0.7300947154183794	1	1
ZNF839	0.04868532699289721	1	4	0	0.7246940272821965	1	0.75
ULK3	0.03723242896780167	1	3	0	-0.7154454092372573	1	0.75
CROCC	0.002611407817815241	2.654722551256026e-4	3	1	-0.6795197235764787	1	1
LOC113252107	0.030430557881982925	0.05355453663619403	3	0	-0.6501751736083178	1	1
TMEM30A	9.218498489269067e-4	7.705071004413792e-4	4	2	0.6100317860414117	1	1
HAUS4	1.6792833282520275e-4	7.050248071813457e-4	6	1	0.5691130551210041	1	1
COPS7A	0.04217678712096396	0.1298574980297743	3	0	-0.5434440072943175	1	1
NEURL4	7.354661077077197e-4	1	3	0	-0.5332674276669681	1	1
ZMYM4	4.777831592671976e-5	7.16463285917689e-8	5	1	-0.46639388402481297	1	1
LOC113262222	0.04217678712096396	0.012428243342320526	4	1	-0.43276046604973545	1	1
EPHA7	0.026761136039214317	0.6743722172498404	5	0	0.4212311988127099	1	1
IL13RA1	5.713676623320678e-4	0.015908918057754864	3	1	-0.40930990006663964	1	1
DNAJC3	0.04868532699289721	1	4	0	0.40291050309523785	1	1
FAM156A	0.036607190298217296	1	13	0	0.37329450798880237	1	1
CFAP44	0.04868532699289721	0.4525727175028253	7	0	0.3730494917252271	1	1
CSAD	0.024288426991056912	1	11	0	-0.3684083816926278	1	1
CSTF1	0.013606963026679983	1	4	0	0.36223409274670726	1	1
LOC113261047	0.013606963026679983	0.04111641311464875	7	1	0.32885970369984135	1	1
TLE1	0.043687438016010285	1	5	0	-0.32746685658141833	1	1
ZNF283	0.013606963026679983	0.7421639905662849	7	0	0.3247745653448818	1	1
PTPN3	0.030430557881982925	1	9	0	-0.2639229092792954	1	1
POLR2B	0.04217678712096396	0.4829035477835334	7	0	-0.2583658137114743	1	1
C2CD5	0.030430557881982925	1	12	0	-0.25537018007801265	1	1
NID2	4.679964789819556e-5	1	7	0	-0.23870499817381588	1	1
LOC113246573	0.0055857753937449545	1	13	0	-0.23587232441523204	1	1
EPB41L5	0.013606963026679983	1	6	0	0.2264070289214714	1	1
TEX10	0.03723242896780167	1	8	0	0.21415690680229413	1	1
SARAF	0.013606963026679983	2.568306033917456e-4	5	1	-0.20987333210445086	1	1
LOC113246349	0.013606963026679983	0.006343810545409185	6	1	0.20523500971244094	1	1
LOC113258542	4.679964789819556e-5	0.004301258598758378	11	1	0.19151124029329122	1	1
PPP4R2	0.030430557881982925	0.0038378381987155667	4	1	-0.1739781598038797	1	1
GART	0.013606963026679983	0.21454936597108704	10	0	-0.16902952357551881	1	1
ALDH9A1	4.679964789819556e-5	1	4	0	-0.15887836811701936	1	1
PLXNB2	0.015476691026186295	1	8	0	0.10718441362799949	1	1
