gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Liver-Kidney_cortex)	pct_gene_expr	max_pct_tx_expr
TMEM184B	0.014432978506354735	0.0013608839388226043	3	1	-0.997520458732717	1	0.75
PTPRD	2.523404577740363e-7	1.0248607164281621e-10	6	2	0.9736708973021202	1	1
CLEC1B	8.286500760955813e-4	1	3	0	0.9408854085804548	1	0.5
HMCES	0.001731727432388559	0.14705317605754128	3	0	-0.9110806462626359	1	0.75
UBE2G2	0.001241492588905552	1.1084802208982573e-4	3	2	0.8934221288511094	1	1
LOC113250325	8.0377736648655875e-17	0	2	2	0.8861531304015873	1	1
SYNJ1	0.014995527706635035	0.01134759270721639	4	1	-0.8790941243260366	1	0.75
LACC1	3.9612416161334715e-5	3.013224563162933e-6	5	1	-0.8773534950608199	1	1
BDH1	7.683680237054684e-4	1.6726417857636277e-4	4	1	-0.862918649995992	1	0.75
CUNH1orf116	0.04526276376545733	0.491113634296409	3	0	-0.8342797840634659	1	0.75
SBF1	0.03547197130965457	0	2	2	-0.819696241029882	1	0.75
AFAP1	0.04760694693007804	1	3	0	-0.8167106892628174	1	0.75
SPARCL1	2.5116797058359055e-7	1	10	0	0.8157491354834626	1	0.75
MGLL	0.031399712130523144	0.01733237884340172	5	1	-0.8110972348340867	1	1
MMP12	0.006589170778099067	0	2	2	-0.8081361259185512	1	0.75
CNTFR	0.04429591321362208	0.14260501447752022	3	0	-0.8070023151260012	1	0.75
HNF4G	7.331307264235506e-4	0	2	2	-0.8048975373052357	1	1
CROCC	0.0060006337237133904	0.006311602334987394	3	1	0.7916846179465975	1	1
DAPK1	0.01113442804269266	8.985999158140474e-4	3	1	-0.7874029596334007	1	1
LAMA3	0.005940491970446406	6.01303875352097e-4	5	1	-0.7816336959247071	1	1
SULT1B1	0.027713628253814813	0	2	2	-0.7770582837624611	1	0.75
C6	3.068530490776518e-4	1.1174895120644614e-4	7	1	-0.7763341992403676	1	0.75
STAB1	0.023018918523703056	0.006342946298833664	3	1	0.7740091672208855	1	1
CARM1	0.03934006481380906	0.9893928992274308	3	0	-0.7714190785378172	1	1
KIAA1614	0.041933591568761974	0.09089693347735234	6	0	0.7674748977210318	1	1
ANO1	0.0017446044244912456	0	2	2	0.7644307465792322	1	1
IMMP2L	0.001229438326127093	0.0025627034275341183	5	1	0.7550767650690069	1	1
EXO5	0.03638188536585865	0.8438549249695584	4	0	0.7529754327870357	1	1
NOX4	0.007315691804609635	0.0014727762849527988	5	1	0.7515708605353071	1	1
FSIP1	0.03934006481380906	0.24676462118684386	4	0	0.746166430500901	1	1
OTC	1.641785472994851e-5	1.9660536098968344e-5	6	1	-0.7430788500854056	1	1
ANKRD6	0.00223505656908096	1	4	0	0.7411497150212907	1	0.75
AOC2	0.01774459580318776	0	2	2	0.737038196200072	1	1
TAT	4.742337780496867e-5	1	7	0	0.7306061633433183	1	0.75
SESN3	0.04078473014875765	0	2	2	0.7131909316799695	1	1
LMTK2	1.4151374407196448e-4	0	2	2	0.6962004350789772	1	1
MIGA1	0.03177967538055808	0.006912204958714659	3	1	0.6947323023137789	1	1
SERPINA3	0.014403163787132425	0.006614175538839994	3	1	0.6873524490434154	1	0.75
ENO3	0.021166063462439908	3.9573884605953577e-4	5	1	-0.6836202975793242	1	1
RCL1	1.1425260455636665e-14	1	9	0	0.6826633728070352	1	1
SPOPL	0.03934006481380906	0	2	2	-0.6788364087122685	1	1
LOC113252107	0.014547841034907185	0.020346360852699197	4	1	-0.6568888149661831	1	1
TDO2	0.001731727432388559	0.0032762575644435274	6	1	-0.6536795161445409	1	1
RBM42	0.041933591568761974	0.14985066849107498	3	0	0.6458409464668525	1	1
FGF1	0.030084501536014833	0.23609052841518902	10	0	0.6442714577659465	1	1
LOC113244749	0.027713628253814813	1	4	0	-0.639509677936096	1	0.75
FMO2	6.827360958358554e-7	0.0011066091853157462	6	1	0.6332982010690661	1	1
DAB2	4.195923325444256e-14	2.0081191638914922e-7	5	1	0.6318019551606671	1	1
ANKRD11	0.04078473014875765	0.09464667269779788	3	0	0.6266620244166539	1	1
ARSG	0.03640277098796365	1	4	0	-0.6232709148996353	1	0.75
MAN2C1	0.014995527706635035	1	10	0	-0.609021037225111	1	1
ZNF229	0.013972853424140048	1	4	0	0.608230800894804	1	1
DYRK1A	0.002344266672329169	0.9736476389687654	7	0	0.5978236526751777	1	1
CSF1R	0.0037686679126697335	0.15517076828873497	7	0	-0.5938480489172018	1	1
NPC1	0.018802479804193646	0.0796473834976084	4	0	-0.5923588850558736	1	1
UROC1	0.03084530654836158	0.12163804918017557	8	0	-0.5920702525748105	1	0.75
EP400	0.01660456016234385	0.012592083902631853	7	1	-0.575612386777351	1	1
TNKS1BP1	0.025558346472907757	0.0026863171059140468	3	1	0.5698421319792828	1	1
VEPH1	5.69721613962906e-6	0.0015996589366871216	6	2	0.5673681545383135	1	1
ABLIM1	0.022840436081670096	0.022609354264420466	5	1	-0.564674320068885	1	1
SLC27A5	0.008988947705621133	1	9	0	0.5610603237784537	1	1
CAPG	0.031928069895397204	0.01798638656455626	4	1	0.5595635975199718	1	1
SYNE3	0.007315691804609635	1	5	0	-0.559160012668554	1	0.75
LOC113248580	0.01001361665436432	0.10399145332322217	7	0	-0.5574007982856168	1	1
CUNH11orf54	6.257174596497122e-10	3.0092861410567785e-13	7	2	-0.5564232689650438	1	1
SLC39A8	0.00392374337429087	0.0232418767502772	4	2	0.5518496898761365	1	1
COL18A1	1.6571617320588457e-14	1.3773221541871667e-7	8	1	-0.5436129311224376	1	1
HSD11B1	3.667726328088397e-19	1.905808874131163e-8	5	1	0.5429308445716904	1	1
LOC113258946	0.03177967538055808	1	9	0	0.540785957437447	1	1
