gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Liver-Kidney_medulla)	pct_gene_expr	max_pct_tx_expr
PTPRD	4.17948443117923e-19	2.0163735881878596e-24	6	2	0.9861182818192554	1	1
PON1	2.1991838345651866e-13	3.316958538161917e-16	3	1	-0.9812649374609854	0.75	0.75
LOC113260144	3.619021090665655e-6	6.550835887459476e-8	3	2	-0.9460105649609584	1	1
MLLT3	0.013541687947648944	0.011839408436238074	3	1	-0.9249687387138116	1	0.75
FETUB	0.03833244739714551	0.785972650269489	3	0	0.9185331076033506	1	1
AKAP6	0.03234072533476192	0.015738829275333703	3	1	-0.9097744598021145	1	1
HSD17B13	1.7225478494033585e-5	0.03393720526066921	4	1	0.9085549490095536	1	1
OTC	4.614647272894605e-9	8.461414254024422e-10	5	1	-0.8635791237678582	1	1
PALM3	0.0025474719818639933	0.13574805014508295	3	0	0.8586331899625245	1	1
LRMP	0.009858379488951	1	3	0	-0.8572561012880922	1	0.75
R3HDM1	0.03245818183148719	0.01542664523265462	8	1	0.8377125857575037	1	1
HSPA12A	0.013773568732151964	0.0013447993173249019	5	1	0.8313040016892606	1	1
HNF4G	5.960790951742614e-4	0	2	2	-0.8214367044309446	1	1
PARP11	0.02986670631813518	0.1835959393907111	3	0	0.8209529799291493	1	0.75
PLEKHG2	0.016900130688616764	0.030739900579085853	3	1	-0.8124684022743156	1	0.75
CNTFR	0.036041344628234745	0.10386547684275588	3	0	-0.8087361159537854	1	1
LOC113242947	0.03137677815872089	0.041780132929004475	5	1	0.8014938004249842	1	1
LOC113247073	3.631565081832075e-7	6.412109230731409e-7	9	1	0.7879531247346824	1	1
WDR47	0.016900130688616764	0.07998462462084169	6	0	0.7832734362731082	1	1
ERN1	0.042168183539862916	0	2	2	-0.7819457069267114	1	1
ASAP2	0.0012222034111748854	5.802725218204472e-4	3	1	0.7796413803325508	1	1
LIPC	0.03137677815872089	1	3	0	-0.7762231667306206	1	0.75
ST6GAL1	3.69537947829824e-5	6.698243665849458e-5	5	1	0.7737919654519102	1	1
LOC113250325	0.008163218185918027	0.016819217535785778	3	1	0.7663840711793035	1	1
RFX5	0.04164480452738473	0.06360021889125844	3	0	-0.7639050744875184	1	0.75
MEN1	0.0021800932513598497	9.875530425573218e-4	3	1	0.7550284832439746	1	1
EXO5	0.030926351115785143	0.8401959076260189	4	0	0.7504380563262585	1	1
SERPINC1	3.217707551873556e-11	7.060507841756859e-9	3	1	0.7468066273164597	1	1
HPX	0.015214882038981711	0.08945710079147584	4	0	0.7424934996495418	1	1
ANKRD6	0.003012352455736377	1	6	0	0.7396891858512648	1	0.75
CPN1	0.0012768108540940808	1	5	0	-0.7322058048468746	0.75	0.75
EIF2AK2	0.030926351115785143	0.7298480562209898	4	0	0.7312940256913243	1	1
RAB27A	0.02027407508097804	0.20707901151061306	4	0	0.7302468409163685	1	0.75
ACTG2	0.027490693203600383	0	2	2	-0.7180858471710121	1	1
LOC113252104	0.03959171586938483	0.021926876120028534	7	1	-0.709857931243125	1	1
UBN1	0.0068329926163665684	0.10258843589960753	3	0	-0.7088646726323204	1	1
MPEG1	4.246457629094765e-4	0.15853260675652875	3	0	0.702288217536587	1	1
L3MBTL3	0.04215998995569448	0.11778639498253736	5	0	-0.6983243871300381	1	0.75
RCL1	3.381028662588981e-17	1	10	0	0.6873777965000533	1	1
AGK	0.027490693203600383	0.0057360293268070425	3	2	-0.6861071423610952	1	1
ADGRV1	4.246457629094765e-4	4.892876342296311e-5	4	2	0.6823700845345879	1	1
TAT	7.327856672406095e-4	1	7	0	0.6812659104812393	1	0.75
PRKCD	0.03833244739714551	1	3	0	0.6810631336641898	1	1
LOC113247244	0.02785871610651182	0.026726035662717293	4	1	-0.6772409008989079	1	1
LOC113248767	0.03245818183148719	1	4	0	-0.6732848122505478	1	1
