gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Liver-Lung)	pct_gene_expr	max_pct_tx_expr
PCK1	0.006100705801283622	0.34746549424654183	3	0	0.9853646326870171	0.6666666666666666	0.3333333333333333
PTPRD	2.8033231718717534e-7	1.7756881457823695e-10	6	2	0.9623666819608868	1	1
LOC113249444	3.124598254436428e-10	2.7805330599167445e-10	3	1	0.9406840938047218	1	0.8333333333333334
CLEC1B	1.2249790496224918e-6	1	3	0	0.9381447206576836	1	0.6666666666666666
ITIH1	0.005691095376551739	0.0384178064723845	3	1	0.9373656469782421	0.6666666666666666	0.6666666666666666
FETUB	9.621295151531216e-7	0.004711607027805471	3	2	0.9336718434989755	1	1
JAML	0.043888042429524717	0.001420100620272409	6	1	0.9234467634508362	1	0.8333333333333334
LOC113267312	1.5525800725879675e-21	0	2	2	-0.9025095825356145	1	1
LOC113249318	2.0283196050095039e-7	1.1115331958831124e-8	3	2	-0.8850899241142188	1	0.8333333333333334
R3HDM1	0.020329345858785694	1.4774618943582903e-4	10	1	0.8844538506574239	1	0.8333333333333334
AMBP	0.0035281107076979433	4.822508351602127e-4	4	2	0.872160550425371	1	0.8333333333333334
LOC113252104	3.321799412497756e-4	7.144307247423594e-6	7	1	-0.871579926437418	1	1
ZNF365	5.6969761330700335e-9	1	5	0	0.8674276781715623	1	0.8333333333333334
ST6GAL1	1.1028403525609547e-20	4.07954671347065e-20	6	2	0.8653865496422372	1	1
ACTG2	4.896438166665954e-20	0	2	2	-0.8448527400997299	1	1
LOC113249328	6.101165158702172e-17	2.347455644754555e-12	5	2	0.8378882934563596	1	1
FBXL12	0.002306049849361177	7.855249642034052e-4	3	1	0.8311199588054509	1	0.8333333333333334
SLC2A9	5.580822889114301e-21	1.7941112269017563e-20	8	3	0.8233829321834447	1	0.8333333333333334
KYNU	0.009970079100037386	0.0034279846978698195	4	1	0.8189548819334105	1	0.6666666666666666
SLC10A1	1.4110237505256327e-5	7.09079522855132e-4	4	1	0.8183385156715697	1	1
UBE2G2	0.001825872522578249	0	2	2	-0.8174828008505642	1	1
CDON	1.0112328798389939e-6	0.029813192324345504	4	1	-0.8157249073474817	1	1
ALDOB	6.922373765774629e-22	4.648896119486662e-18	6	2	-0.8139618451758412	1	1
MTTP	0.03925165313843132	1	3	0	0.8111407152288027	0.8333333333333334	0.6666666666666666
DCAF1	0.001205556620109272	0	2	2	-0.8084222832821865	1	0.8333333333333334
PHACTR1	5.725211512230614e-12	6.465019028708842e-14	6	2	0.8014971008667371	1	1
CD247	0.03119377006914151	0	2	2	0.8007042999741282	1	0.8333333333333334
LOC113247073	1.243608950720697e-10	5.930096554988681e-10	9	1	0.7990610566453045	1	0.8333333333333334
LOC113263281	0.018096474586759937	4.129743692228843e-4	9	1	-0.794851183727087	1	1
TMEM106C	8.656308413107476e-5	2.7742635615038137e-4	5	1	0.7940122044429819	1	1
SUV39H1	0.0021117547529994314	0.0017495600581824697	3	1	-0.7905900051792831	1	0.8333333333333334
AFM	1.3628017112623286e-7	0.004644306848875895	7	1	0.7886792562671873	1	0.8333333333333334
PLEKHA4	1.1921078332132255e-4	6.359983561210878e-5	4	1	0.7834628019814595	1	0.8333333333333334
LIG4	0.0076366793167905855	0	2	2	0.7828896279082306	1	0.8333333333333334
AOC2	5.484936858390115e-7	0	2	2	0.7828663368084111	1	1
ETV3	1.963279998949257e-4	1.9935606999319113e-4	3	2	0.7807683326447277	1	1
CCDC82	0.0010121083688960917	9.563515782361094e-4	6	1	0.7786809130272423	1	0.8333333333333334
CUNH18orf25	3.1298807092064055e-4	7.977125671515699e-5	5	1	0.775993078622197	1	1
PPP1R16A_GPT	0.01952844865999812	0.02107520604773508	3	1	-0.7725420518745348	1	0.8333333333333334
LOC113244531	0.013495821566588705	0.00411158950862278	4	1	0.7697251550662884	1	0.8333333333333334
E4F1	0.02513445092474117	0.002479995244144714	5	1	0.7663986692150737	1	0.8333333333333334
EXO5	0.0017267853044039547	9.528965345852064e-5	4	2	0.7624117804782083	1	1
FUK	5.632535839116452e-4	0.003586845120833045	4	2	0.7600623544086214	1	0.8333333333333334
LOC113267901	2.837976293343557e-4	0	2	2	0.754105017080702	1	1
LOC113268588	0.032784929049522384	0	2	2	-0.7521418073869	1	0.8333333333333334
RASAL3	0.04934857263070902	0.016927441224174954	3	1	-0.7486923484956257	1	0.8333333333333334
NLRC5	7.101173073459171e-4	0.0030748876707184214	4	2	0.7473552975598894	1	0.8333333333333334
