gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Lung-Atrium)	pct_gene_expr	max_pct_tx_expr
SMPX	2.2955226083486987e-9	6.058287220491558e-5	3	2	-0.9717158557513742	1	0.875
LAPTM5	5.67862062043779e-6	1	3	0	0.9633880091573809	1	0.5
PDLIM5	5.698868748956716e-45	4.337932482559775e-42	5	1	-0.9589898644636311	1	0.75
UNC45B	1.2023562548579794e-14	0	2	2	-0.954535833570324	1	1
TRERF1	6.2277078434617146e-6	2.2203493666519146e-7	3	1	-0.949274365215661	1	0.75
LOC113269381	6.592345225020001e-4	1	3	0	0.9440012370877093	1	0.5
EPAS1	1.1800571127453908e-48	0	2	2	0.9388259285634715	1	1
RASSF7	0.016421326391985652	0.0010679991385573592	4	1	-0.9146698646507377	1	0.875
SKA1	5.014096753797078e-12	0	2	2	0.9122607466902317	1	0.75
VWA7	0.0011653033262660362	0.09162412721273354	3	0	-0.9115311549370357	1	0.5
TPM4	8.202171291337645e-102	9.664127944353033e-89	4	2	0.9039429709838401	1	1
EVI5L	4.9210135396980654e-8	3.053559038354874e-8	3	1	-0.9036358111929963	1	0.75
FLNC	9.748310712778186e-70	1.1850982397553325e-57	4	2	0.8918361216342706	1	1
ELMO3	0.0021447989856907073	1	6	0	-0.8801880480145027	0.875	0.75
HHATL	2.0988538968275002e-5	0.001029513267347522	4	1	-0.8757906649417461	1	0.75
SLC6A4	0.01713028812399809	0.037298169506244844	3	1	0.8734069677118448	0.75	0.625
SMTN	1.5776815463091812e-37	3.0381853366699917e-31	6	2	-0.8704701905143493	1	1
TTC7B	8.849156615694382e-14	2.7439305170514e-12	3	1	-0.8679984450107127	1	0.875
SNX11	5.267861023862994e-5	0	2	2	0.8655835276348625	1	0.75
CPT1A	1.2995762225740641e-8	6.927143114303738e-11	5	2	-0.8654754926800217	1	0.75
ANKRD44	8.831891992405571e-16	1.845897265046271e-16	3	3	-0.8631689548320176	1	1
DPF2	1.6078871297006482e-12	1.9616165110996866e-9	4	1	-0.8557868649500229	1	0.75
LOC113270472	2.5955486063789526e-14	3.4953138634869447e-16	3	3	-0.8523638354959567	1	0.875
SPNS3	0.030756931648516145	0.25553594993590073	3	0	0.8446671919256739	0.875	0.5
HPSE	1.9870686041391594e-4	6.951822603301887e-5	4	1	-0.8392600048446525	1	0.5
LOC113249819	1.2922432307755215e-14	0	2	2	0.8372228263553461	1	1
ATP5F1C	3.30755652752804e-31	3.6405096281577466e-35	3	3	-0.8338515076667494	1	1
MTFP1	1.1641853816041305e-9	7.533907482152382e-9	3	2	-0.833245405445573	1	1
RNF128	8.982525730448644e-12	0	2	2	0.8303497490661368	1	1
NEBL	5.735861580088067e-69	5.80007996790549e-62	4	2	-0.8302550085106881	1	1
SELL	4.4566625249065024e-4	3.264923459161364e-5	3	2	-0.8300566445475935	1	0.625
SRL	2.623267823706103e-14	1.8025311759209074e-14	3	2	0.8291191034806165	0.875	0.875
