gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Lung-Gall Bladder)	pct_gene_expr	max_pct_tx_expr
POLDIP3_LOC113241692	5.584746966708128e-4	0	2	2	0.953925479933066	0.8333333333333334	0.8333333333333334
RGSL1	8.62130416387293e-4	0.042014571131424955	3	1	0.9392841321526467	1	0.6666666666666666
CD80	0.006332450881650197	0.019592159177368503	3	1	0.935336110116281	1	0.6666666666666666
GLE1	5.678861305002753e-7	1.9426339097428478e-7	3	3	0.8874847788667507	1	1
ZNF786	1.344392627594648e-4	0	2	2	0.8684233114508461	1	1
ZBTB11	1.239324288496862e-7	3.7155213924571663e-7	3	1	-0.8618266714458138	1	0.8333333333333334
TNFRSF25	0.025444730178017266	0	2	2	0.8390322079274436	1	0.8333333333333334
KLRD1	0.010586444843371588	0.0026783108576396235	4	1	-0.8368990609449803	1	0.8333333333333334
AUP1_DQX1	1.597715484390791e-4	1.6784302982444926e-5	3	2	0.8244004478310963	1	0.8333333333333334
CXXC4	0.01871159887172674	0	2	2	-0.8018534178149177	1	0.8333333333333334
SLC2A3	5.662717152625738e-9	6.604731190182877e-9	4	2	0.7919796378604194	1	1
MFSD6	9.860020043897709e-5	1.4365959076908822e-4	4	2	0.7839842421578305	1	1
CLEC12A	0.04416878260828447	0.010385510276678656	3	2	-0.7817662786263034	0.8333333333333334	0.8333333333333334
PCGF6	0.02024772709804555	0.1736059629312021	3	0	0.7776272552581379	1	0.6666666666666666
SNX11	0.005837216184250826	0	2	2	0.7725172251672981	1	0.8333333333333334
GFPT2	3.7473371442220514e-23	0.02962728837732741	7	1	0.7691521803916905	1	1
LOC113267312	4.638530557442212e-7	0	2	2	0.7616368878270448	1	1
RNF128	2.7098076702740964e-6	0	2	2	0.7614166118178923	1	1
POLD1	0.008544623448150969	0.004449201324017839	6	1	0.7551963450894973	1	0.8333333333333334
FAM81A	0.039798747417741066	0.07644426843774656	4	0	0.7485968373247684	1	1
LOC113252533	0.04846245788086602	1	4	0	-0.7477998926536987	1	0.8333333333333334
MAP3K13	3.245981030303646e-5	2.4040619387584612e-4	3	1	-0.7461134452252198	1	0.8333333333333334
NOM1	0.018438874201563888	0.008138588211856227	3	1	0.7432612652581677	1	0.8333333333333334
