gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Lung-Ventricle)	pct_gene_expr	max_pct_tx_expr
SMPX	5.3889819545132e-9	5.643609026052581e-5	3	2	-0.9670359886340253	1	0.875
LOC113269381	0.001589560833407873	0.8755781402164047	3	0	0.9547527159329912	0.75	0.5
PDLIM5	4.188204852113709e-33	5.044165176599789e-28	5	2	-0.9393494118712375	1	0.625
SKA1	8.847754175727069e-13	0	2	2	0.9247959996085559	1	0.75
MYOM2	4.783081164774149e-4	1.2421089727468675e-5	4	1	0.9233960681857927	0.75	0.75
ELMO3	7.830322688653922e-5	1	6	0	-0.9141645260102729	1	0.75
PPARD	6.693437482702651e-6	5.374315519940245e-7	4	1	-0.9064625900494904	1	0.875
ATP7B	3.2684047377261703e-7	2.723550946233993e-6	3	1	-0.9014110404373818	1	0.625
NBL1	2.005260381836571e-6	0	2	2	0.8974368943628699	1	0.875
FLNC	1.1993835278413508e-60	6.54902769720344e-51	5	2	0.8941715878995052	1	1
TAF5L	7.349553658585415e-5	1.8300724502426244e-5	3	1	-0.8837516155155997	1	0.875
UNC45B	3.203319466772222e-26	0	2	2	-0.8834581122029268	1	1
CNNM4	6.9183007735581605e-6	1.7693994372000877e-6	4	1	-0.8818813290129908	1	0.625
LOC113249819	7.365030752453135e-8	0	2	2	0.8792611825799187	1	0.75
VWA7	0.0013602858203441614	0.060068308304246476	3	0	-0.8763651147770758	1	0.625
SLAMF7	0.04611612192629855	0.11717199722842968	3	0	0.8728348780650701	0.875	0.5
MTFP1	8.299626205121704e-13	9.558134780021989e-13	3	2	-0.872410830170238	1	1
SOCS7	5.37073328689034e-7	3.176893448853443e-8	3	1	-0.8709632562993157	1	0.75
HMGN3	1.6005772803086498e-32	6.160740221657408e-33	4	3	-0.8639643940613049	1	1
MEF2D	3.1639181208610857e-7	2.3246671963312834e-6	4	2	-0.8598329350289557	1	0.75
IFT20	8.798632495479063e-19	4.6908616199990566e-20	3	1	-0.8590341742130966	1	1
FSTL5	4.0063322260603047e-10	7.857546965883458e-12	3	2	-0.8543455428088834	1	0.625
ARF3	7.684680837052838e-18	0	2	2	0.8532769905560869	1	1
NEBL	1.2553961781172587e-91	2.3683710639970935e-82	4	2	-0.8482991480996874	1	1
TTC7B	3.107875130607041e-19	4.7737458128834266e-17	3	1	-0.8441541845732156	1	1
ANKRD39	3.993803576788325e-71	1.592745653672995e-41	8	1	0.8434758258429833	1	1
SMTN	2.2615630039428645e-24	4.832843356295189e-23	6	3	-0.8360635426051771	1	1
ATP5F1C	3.386076101927691e-31	2.1098261365779644e-34	3	3	-0.8318318735167671	1	1
HSPB3	1.1050930693240235e-4	0	2	2	0.8307225804154194	1	0.625
LMOD3	5.7723832314454464e-09	7.077848314067758e-5	3	1	-0.8303731313958796	1	1
CAMKK1	1.526002779136048e-5	1	4	0	-0.8276685621475794	1	0.5
SRL	1.8524088606342347e-12	2.446803877201946e-13	4	2	0.8240723460850513	0.875	0.875
NCAM1	7.58379052761162e-21	3.271066737753587e-21	4	3	0.8225005506166368	1	1
SEMA4D	6.981523743149527e-10	0	2	2	-0.819238835196617	1	1
SELL	4.2999353335990396e-5	1.278886976234606e-5	3	1	-0.8161189433836336	1	0.625
PADI2	2.35912131993338e-4	6.714072824102414e-5	4	1	-0.807603590170536	1	0.625
MED23	7.38877363999271e-11	8.575994228778782e-11	3	3	-0.8072515600021654	1	0.875
PPP1R12B	1.4661726181732536e-65	2.3238157530121e-56	4	2	-0.8062783172606418	1	1
SLC6A4	0.006051450350575638	0.5803336571236754	4	0	0.804455451142643	1	0.75
HRC	2.318146612530446e-45	8.910860483275094e-30	6	3	0.7997396568899156	1	1
ACOT7	0.007663517028605737	0.001070939386452136	3	1	-0.7974880116580874	1	0.625
NDRG3	7.712336275704312e-6	5.3669926188999765e-8	6	2	-0.7969165654595113	1	1
MYOZ2	0.0035368527232361906	2.5332318014080897e-4	4	1	0.7965303163670665	0.875	0.875
CERS5	1.0760697838324383e-6	0.02708253916369984	5	1	-0.7910601591402474	1	0.75
EXOC7	5.01550153982339e-19	1.5996132959956504e-17	4	2	-0.788263569185562	1	1
NANP	0.0073590619979807944	0	2	2	0.7841773142962806	1	0.75
SLC16A3	0.03335097149882577	0.051603151178336124	3	0	0.7822751383768721	0.875	0.625
WDR7	5.2008884133652533e-17	0	2	2	-0.7799825565464568	1	1
SLCO5A1	0.002487807433005482	0	2	2	0.7797266487876697	0.875	0.625
PPP1R16A_GPT	2.642569785620981e-6	0	2	2	0.7757320506984087	1	0.875
HYLS1	3.591551310796183e-4	0.011815128068329156	3	1	-0.7746823686497225	1	0.625
ATP5MC1	7.935114136562279e-70	0	2	2	0.7734402288455622	1	1
FAM57A	1.9124884481571845e-4	0.024595218226233565	4	1	-0.7666470171276148	1	0.625
TMC7	0.013710312439514498	0	2	2	0.7638674969296853	1	0.625
RGSL1	0.015576412465424678	0	2	2	0.7627616742641219	1	0.625
MYO5C	1.8745380888359822e-14	1.6041313591631138e-12	4	1	-0.7625333967578399	1	1
LPXN	0.01566156676392051	0.04896201971747436	3	1	0.7578937110582625	0.875	0.625
AKAP7	8.369341732488512e-10	2.781816939092641e-10	5	2	-0.7567919962043542	1	1
TBC1D4	6.828349414509338e-11	4.51419768432321e-8	5	3	-0.7563135635183916	1	0.875
IFI6	0.017402249104070434	0	2	2	0.754704107034869	1	1
DUSP8	0.019925653235068407	0	2	2	-0.7525368666521157	1	1
DENND2D	0.020585202789436804	0.0034858772551680955	6	1	-0.7517504191401918	0.875	0.75
TPM4	1.4922972355548485e-14	1.541803219714795e-13	4	2	0.7515601774864306	1	1
ANKRD1	7.642769959011127e-6	0	2	2	0.7455933384868967	0.875	0.875
SHANK2	0.01772835297360694	0.0045069778500496935	4	1	-0.7435558189882142	1	0.75
EHMT2	0.006549688328840043	0.021106303528342373	6	1	-0.7427659333927347	1	0.625
PRKRA	2.2481326931026102e-5	1	6	0	-0.7422742219703401	1	0.625
PKM	5.7189945791010036e-36	1.756283040674929e-35	3	2	0.741420788615276	1	1
KIAA1324	4.2048870804369435e-6	2.0617562654197175e-6	4	2	0.7385714573143913	1	0.875
MPEG1	6.412345208063407e-5	0.059247661527746916	3	0	0.7369832877794265	0.875	0.875
LOC113247190	0.005405533205359626	0	2	2	0.7365783149573728	1	0.75
PSTPIP1	0.006763610619757401	1	3	0	-0.7363106679001779	1	0.625
MANSC1	0.028722258914535437	0	2	2	0.7352442110152664	1	0.625
MED22	1.2213536128411644e-7	1.0273951067954416e-6	5	2	-0.7351182263555704	1	0.875
