gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Muscle-Liver)	pct_gene_expr	max_pct_tx_expr
FAXC	8.376622630468607e-4	0	2	2	-0.981927217463372	1	1
LOC113243786	0.0011373638596206379	1	3	0	-0.9336396428077901	1	0.5
LOC113260144	0.01713106414747121	0.002627915231173956	3	1	0.9284494885398606	1	1
CPEB3	3.656862454137233e-5	1	4	0	0.9186327084498332	1	0.75
PHACTR1	2.1986767019524595e-4	0.01289145140760322	3	1	0.9034788288241342	1	0.75
OCLN	9.187083895180406e-4	0.001571504812588377	3	1	-0.9031681107735645	1	1
HDAC5	9.46793573147601e-5	0.02449998680596347	3	1	-0.8999142023562066	1	1
MYL3	0.04082616936733895	1	3	0	0.8998440828303715	1	0.75
KHK	9.499251563400095e-9	1	4	0	-0.8917335731123506	1	0.75
EML1	0.005313059407608968	8.171501214310735e-4	3	1	-0.8697338579534987	1	0.75
LOC113270472	5.366701033669593e-7	0.015880548109966527	4	2	0.8692269280235723	1	0.75
SYNPO	2.1986767019524595e-4	0	2	2	0.860986873449634	1	0.75
SEC22C	0.01746729013226962	0	2	2	0.8585268065864723	1	1
DOCK4	0.005253979173330227	0	2	2	0.8552847988350518	1	0.75
DPF2	0.021229448327614184	0.20482848526344807	3	0	0.8438295758264573	1	0.75
CNNM4	0.014540548245250806	0.02595484590253065	3	1	-0.843289972930159	1	0.75
PRKACB	0.04207151264826611	0.011730935307779156	3	1	0.841366673375393	1	0.75
LOC113246844	0.011346503632539197	0	2	2	0.8300589369290222	1	1
ZNF365	0.007830641952024297	1	3	0	-0.8296277200649992	1	0.75
DDR2	6.352084643380069e-4	0.926377511089713	3	0	-0.8259857158519611	1	0.75
MEGF10	0.004680002564673728	0.0020339658435957024	4	1	-0.8191668151401166	1	0.75
MON2	4.60299742832236e-5	6.318772842750587e-6	5	1	0.8131368904878206	1	1
ZCCHC9	0.005869746168095171	0.006812081804664008	3	1	0.7984854668321846	1	0.75
STX10	0.01796037623956074	1	5	0	0.7934927755811086	1	0.5
ADPRHL1	1.2570416686570584e-6	1	5	0	-0.7929461859199389	1	0.75
TNPO2	0.013915610751964848	0.0021559470169626956	3	1	0.7898325584518713	1	1
COLEC11	0.014192567317655853	0.2711799795327953	4	0	-0.7889019131881497	1	0.75
CNTN4	0.00471373425190113	1	3	0	-0.786751922876839	1	0.75
SUV39H1	0.014118126703905163	0.008977015667694589	3	1	0.7839825320571907	1	0.75
SGCD	0.004150044293383836	0.00590490299345037	4	1	0.7818971084853195	1	1
SBF1	0.010370050783403827	0.46313296542688737	3	0	-0.7791414099345255	1	0.75
PDE3A	0.001502763708415299	0.00034531373905581473	3	1	0.7779952900947749	1	1
ST3GAL2	2.5444540085264763e-4	5.713581978444939e-4	3	2	0.7773775010336087	1	1
JAK1_LOC113254576	0.012242211410789358	0.017184713561208858	3	1	-0.7613709103580578	1	1
C8A	2.2588829396709542e-7	0.17021673729279996	6	0	-0.7587688772806164	0.75	0.75
STAP2	0.017096840121108632	1	3	0	0.7571194957543436	1	0.75
EXO5	0.01514056950646433	0.18011688299785927	4	0	-0.7520316876924454	1	1
RHOT1	9.187083895180406e-4	0.6389040602051916	4	0	-0.7443146973837297	1	0.75
RAB40B	0.010621789916598547	1	6	0	-0.7371312068399293	1	0.5
LRRFIP1	3.5648938538641574e-5	2.5382777249132376e-4	5	1	0.7346493189766199	1	1
AGPAT2	0.03621575847790428	0.019593053475741418	3	2	0.7320942217010543	1	0.75
BCAS3	0.009953713297402748	0.012336478843363698	8	1	-0.729621966291038	1	0.75
ANKRD39	1.4009644405768813e-11	7.63123813183811e-6	9	1	-0.7292119446376478	1	1
KLF15	2.1986767019524595e-4	1.746003018807991e-5	3	1	0.726357459999055	1	1
SUMF1	0.0021351974904205762	0.0028505009947388544	4	1	-0.7123079825831853	1	1
RIN2	8.376622630468607e-4	0.030403749808059422	10	1	0.7060532618657851	1	1
SLC2A9	0.0049061708503497095	1	9	0	-0.7048185246466439	1	0.75
SERPINA3	0.04280059654345978	0.02950689270712748	3	1	-0.7046629184559738	1	0.75
PKM	0.03162192945593447	0.007088415652361969	4	1	0.7021717394851371	1	1
TOR1AIP1	0.003455938735868334	0.0013941288071687632	3	2	-0.6970167043694957	1	1
S1PR1	8.95838479181064e-4	2.0298497853118167e-4	3	1	-0.6967341917585842	1	1
DLG2	4.112634938366466e-6	1	5	0	-0.6953428073075794	1	0.75
PCSK6	0.004068588364172236	0	2	2	-0.6951179081048107	1	1
CCDC117	0.002250807810688499	0	2	2	-0.6937905692253941	1	1
