gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Muscle-Ventricle)	pct_gene_expr	max_pct_tx_expr
PIP5K1C	3.303453318185971e-5	0.0017712047226332921	4	1	-0.9239087675310665	1	0.6666666666666666
TRIM2	0.013714950775735167	0.2913870063346375	3	0	-0.9102539470302422	1	0.8333333333333334
PDLIM5	1.7615413648827709e-74	3.437373155151158e-73	4	3	-0.8910109037000538	1	1
PPP3CA	2.2267989090203852e-4	0	2	2	0.8697827180601823	1	0.8333333333333334
SEC22C	0.0017147185592255403	0	2	2	0.8537447490457604	1	1
DOCK4	0.030646582612066202	0.005181113525433859	3	1	0.8218988990142667	1	0.8333333333333334
TFAP4	0.028293525109807698	0.029185221722198427	3	1	0.7973004953298782	1	0.6666666666666666
ACSL5	0.03652227647225202	1	6	0	-0.7957956070687217	1	0.6666666666666666
TPM4	2.2920195705634564e-5	6.291583838482981e-4	4	1	0.7951298170865057	1	1
FXYD6	2.0669342320028e-7	4.405129531924691e-5	3	1	-0.7067301003273658	1	1
SH3KBP1	8.552224344002372e-6	4.19604019968895e-5	4	1	0.7064132370745574	1	0.8333333333333334
novelGene_LOC113263103_AS	0.021022538186645248	0.014842591999418633	5	1	-0.6988926009560639	1	0.6666666666666666
FILIP1L_LOC113250506	0.049829662592980196	0.04254849105324388	5	1	-0.6982050953795023	0.6666666666666666	0.6666666666666666
RTN4	6.903595297638107e-17	2.299262177813434e-18	4	3	0.6940316846232334	1	1
RTN2	0.018555865466019176	0.0023683471207106383	3	1	-0.6880326402103487	0.8333333333333334	0.8333333333333334
LOC113244055_RBM14	0.04645378536137066	0.6415384770363068	5	0	-0.6738885833630225	1	1
HDAC5	3.2609569376223124e-4	0.4766804645244022	4	0	-0.6612964105356574	1	0.8333333333333334
DIP2C	1.1142649763062796e-7	4.412053516405549e-4	4	3	0.6572968065841387	1	0.8333333333333334
CAPN3	0.03689204624171569	1	5	0	0.6546711672776654	0.8333333333333334	0.6666666666666666
SYNPO2L	7.254716253110875e-9	6.285527969740634e-9	6	1	-0.6524985766381638	1	1
LOC113245454	0.028176758519608144	0.68742144627411	3	0	-0.6520805917481605	1	1
MYBPC1	0.04125334852343916	0.011818060178289031	13	1	-0.6466868340626837	0.8333333333333334	0.8333333333333334
AKAP2	0.00963289050723175	0.005933756966299605	8	1	0.6453677583532877	1	1
ARF3	0.04125334852343916	0.005710337287139933	3	2	0.6416355905487543	1	1
PIH1D1	0.0033083314598648154	0.03341567869180177	6	1	-0.6322069187531841	1	0.8333333333333334
RASAL2	0.04455054540105307	0.05678205011160993	3	0	-0.62574177454872415	1	1
DBNDD2	2.3230623682297027e-7	0	2	2	-0.6101151449208865	1	1
LOC113271214	6.32613228607153e-5	6.347719714392348e-4	7	1	-0.6068004959002824	1	1
PPIP5K1	7.469653869982628e-4	0.001586437251854626	12	1	-0.6049432253716952	1	1
AKAP6	5.896490093125768e-10	2.677805602601996e-7	5	2	-0.6046027765913148	1	1
CPEB3	1.0429953919768047e-4	0.1307471623232722	5	0	0.6042766925653457	1	0.8333333333333334
VEPH1	0.0012051602743688278	0.024839809403770417	4	1	-0.6041224160578932	1	1
DDX50	0.006523858523116855	0.5070466855580663	5	0	0.6038179184594282	1	1
VMA21	4.2019019489946633e-4	2.2729828964702256e-4	3	2	-0.5967147499018772	1	1
SEC14L1	0.01214596450861626	0.0013438711595931323	3	2	0.5937707359861404	1	1
ARHGEF6	4.223252315235382e-4	0.02746686056006354	5	1	0.587655807392997	1	1
PIEZO1	0.04488207909747253	0.1530703435084606	5	0	0.5828152969477994	1	1
GTF2I	0.04125334852343916	0.34142967268488744	8	0	0.5579935500920388	1	1
ACSS2	7.613970049958328e-6	1.8063455680255725e-5	4	2	0.5457704927502641	1	1
ESYT2	1.602896789461383e-6	0.007784682314491737	5	1	-0.5426144677708439	1	1
CUNH11orf74	5.844784911600444e-4	4.401349951823134e-4	4	2	-0.5410176978845708	1	1
SLTM	0.003697829303770279	0.03850069070973735	5	1	-0.5376963555430164	1	1
AP1S2	1.0227250245200257e-15	1.4830685102918956e-15	4	2	0.53683168619134225	1	1
RBM20	0.0022661164177147715	4.97154677330983e-4	5	1	-0.5275546677821915	1	1
APP	2.9675448037388415e-8	0.1134460106289524	5	0	-0.5273978395795145	1	1
PDE4D	2.4194359920579587e-54	2.6159969742688037e-9	11	2	-0.5256070675679324	1	1
MORN4	5.898691439929608e-5	0.0017804405328710265	6	2	-0.5239109209252986	1	1
TNNT2	4.730627273912162e-5	9.591822529670237e-5	3	1	0.5235957461690305	1	1
LDB3	2.5723052081775626e-97	5.202824598962594e-45	5	3	0.5218947279870836	1	1
USPL1	0.012829254622811521	1	6	0	-0.5189383818954768	1	0.8333333333333334
FBXW7	0.018492057976368537	0.07513411356066299	3	0	-0.5180431668068439	1	1
DCAF6	8.879143296112177e-6	2.6675078724012164e-7	10	1	-0.5167621777347963	1	1
SVIL	1.5217725162844132e-16	6.084260269326067e-9	12	2	-0.5152188420201123	1	1
LOC113245319	1.56284755732836e-7	1	8	0	0.49724070381050123	1	1
PPP1R27	0.018555865466019176	0.7088994546908576	4	0	0.49422623361018503	1	0.5
CAMK2D	9.972042868802718e-7	1.6691219589020567e-6	5	2	0.4826501398207623	1	1
PABPC1	3.49335752345163e-4	1	8	0	-0.478076609451973	1	1
OTUD7B	0.02789314170077694	0	2	2	-0.4686859506259402	1	1
OAZ1	1.8322793943307425e-13	2.5442240009351443e-15	3	2	0.468505383836176	1	1
P2RY1	1.797544062316731e-4	0.007020190960102992	4	2	0.4673270976614759	1	1
F8	8.908778895188434e-4	0.05980146178025687	4	0	0.46129140360470533	1	1
MOGAT1	0.001712748297647633	0.0020180815852523263	3	1	-0.4611165820334269	1	1
TTN	7.582785912145645e-171	7.186173648963908e-55	6	2	0.46073900476810936	1	1
SGMS1	7.1232120918556995e-6	3.699830136799168e-7	7	1	-0.454631806383225	1	1
TSN	9.554642535874779e-5	3.0265613089362027e-4	3	2	0.453477714650048	1	1
MIB2	0.038791234378397474	0.9462382365820889	4	0	0.45123227231620355	1	1
RGL2	0.035890038337207934	1	10	0	-0.45114183059020163	1	0.8333333333333334
MRPL4	0.014520345558317098	0.011981015997241676	3	1	0.45045216073717376	1	1
KIDINS220	5.285555322871448e-8	3.759287889559147e-4	11	1	-0.45036880927889167	1	1
CLYBL	0.02121331964121331	1	4	0	0.43327795653833895	1	1
NSMAF	0.04645378536137066	0.7947985412766703	7	0	-0.4288648709777823	1	1
ABLIM1	1.56284755732836e-7	7.207405509909822e-9	5	2	0.4240272192692386	1	1
ITFG1	0.030069421731272417	0.005574022804750842	3	2	0.4223442848192172	1	1
MYLK3	4.2410002968051305e-9	2.0527136164037092e-11	4	2	0.42078261353228447	1	1
PHKB	0.005551927253340661	1	10	0	-0.41966167073564953	1	1
S1PR1	1.4809449497682847e-4	0.0012734041427835626	4	1	0.4195020228762937	1	1
ASCC2	0.04125334852343916	1	8	0	-0.41900482477265044	1	1
SLC7A2	4.730627273912162e-5	0.030288321147561057	6	2	-0.4177241647793206	1	1
GIGYF2	0.04565409965354002	1	9	0	-0.417331360830472	1	1
PDIK1L	0.008721574736381613	1	4	0	0.4153341188725241	1	1
C1R	0.020048830582197284	1	6	0	-0.41418561831633016	1	1
SLMAP	1.5305792599245702e-6	7.600268203910353e-7	9	1	-0.4120945385178888	1	1
RHOT1	3.007234803818683e-6	0.036039567565183256	3	1	0.41078047247489824	1	1
EIF2D	0.039759054240166396	0	2	2	0.40927533621764295	1	1
SYNPO2	6.551658188163135e-14	0.09303584065816158	13	0	-0.4090381438256773	1	1
TSC1	0.04331177881978001	1	7	0	-0.40677748112555767	1	1
OSTM1	0.02503971246370888	0.7280519810061433	7	0	0.4007462522250752	1	0.6666666666666666
RAB3GAP1	0.00506997424125779	0.41715657057480965	8	0	-0.39946664289584455	1	0.8333333333333334
LOC113254378	0.0033367651083705055	0.0632407136858267	8	0	0.39830941019472355	1	1
MORF4L2	0.013656151861317732	0	2	2	-0.3945782830871343	1	1
SLC25A30	6.7515594613314746e-6	5.598826675798775e-9	7	1	-0.38467133815409904	1	1
UBE3A	0.0011020405342801027	1.2141611278503904e-4	4	1	-0.3840935001714618	1	1
SQSTM1	3.2609569376223124e-4	0.006436930484831503	3	1	-0.3827021507010479	1	1
ASB3	0.023349066175088334	1	8	0	0.37864825460941715	1	1
TTPAL	0.0318529530179252	1	7	0	0.3770279624674783	1	1
MITF	0.022994208992208748	0.0019995133687832145	5	1	0.37667291506460837	1	1
GAA	0.04531137318412933	1	11	0	-0.37493970484669403	1	1
OSBPL9	0.04592150496259715	1	9	0	0.37215637920911926	1	1
KSR1	0.021103509940951167	1	8	0	-0.3694859656821813	1	0.6666666666666666
FAR1	7.411227967556303e-4	0.8607255632001302	9	0	-0.3661955382323932	1	1
OBSL1	0.004262901319741915	0.013058745438891952	6	2	-0.36217746523633276	1	1
ZBTB47	0.048136522943108544	0	2	2	0.35908871854114943	1	1
TMEM65	0.04150391804691838	0	2	2	0.3566726028992989	1	1
AMOTL1	3.5270512314053025e-4	1	8	0	-0.3559569476089597	1	1
SPTAN1	7.679992968409348e-4	1	10	0	0.35586146442554817	1	1
