gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Skin-Kidney_medulla)	pct_gene_expr	max_pct_tx_expr
HECW2	0.006166554321787495	8.48502181143394e-4	3	2	-0.8909401757013674	1	0.75
GSE1	1.2679081189939987e-4	1.1397686753844426e-5	3	2	-0.8800551148549974	1	1
LRMP	0.042925363461314744	1	4	0	-0.8474925377474647	1	0.75
TMEM108	0.032271280261576524	0	2	2	-0.8467098525226736	0.75	0.75
BHMT2	0.0020132830271121704	0.9291792673796351	5	0	-0.8441782547911273	1	0.75
TSPAN8	4.4357870645236885e-4	3.230846558615723e-5	3	2	0.8435181887379344	1	0.75
PDE10A	0.029489706436504552	0.5693172769673402	3	0	-0.8433561616223171	1	0.75
PIP5K1B	0.03126218994369075	0.32407872587627573	3	0	-0.8398326829849958	1	0.75
LRRC4C	0.03258928189041217	0.26858955351739744	3	0	0.835278647500092	1	1
LOC113246330	0.001174431473788961	0	2	2	0.8342945949979848	1	0.75
GPR19	0.034110292650964054	0.49668824262873557	3	0	-0.8220960185125615	1	0.75
SIM1	0.00562388148401713	2.479648366263657e-4	3	2	-0.8200938657786739	1	0.75
SLX4	0.003622909370954676	0.00290012724669518	4	1	0.8177358975404827	1	1
CCDC69	0.029850391407919535	0	2	2	-0.8156504332147645	1	0.75
MYRIP	0.013102700232366026	0	2	2	0.8138481283983916	1	1
PLEKHA4	2.8464649497159652e-5	0.004512140910700948	5	1	-0.8083862466764586	1	1
ATRIP_TREX1	0.0431821784942332	1	3	0	0.8025739506289856	1	0.75
PRLR	2.0527902351816713e-5	1.329590045328105e-7	3	2	-0.7997078291169005	1	1
OSR1	0.017231374200867712	0	2	2	-0.7953968037585373	1	1
PROSER3	0.0347473135914632	0.7945077483675108	4	0	0.7882054085659408	1	0.75
MDM1	0.002284526700753626	0.030134432898732903	4	1	0.7755365163867283	1	0.75
SLC2A3	0.007264301826755528	4.192850794601057e-4	3	1	0.7743930566906828	1	0.75
DFFB	0.02879900283245089	1	6	0	0.7722010573346487	1	0.75
CNTFR	0.042875002363654484	0.20347401078051078	4	0	-0.7705251111905146	1	1
FILIP1L_LOC113250506	0.042925363461314744	0.03319868584447748	4	1	-0.7685917322357556	0.75	0.75
BHMT	7.168598539959299e-4	0.014920340863585393	5	1	-0.7663463866673775	1	1
DLC1	1.1376275680004562e-5	0.2583507241012128	5	0	-0.7645800308335169	1	1
AGPAT4	0.02555367244866058	0	2	2	0.7626062867821443	1	0.75
FAXC	0.015316199837792418	0.024221089439653568	3	1	0.7615890979724584	1	1
TBC1D32	0.0063198503916325945	0.0023732402504921084	3	2	0.757798693859583	1	0.75
ERBB4	7.932694853371657e-4	0	2	2	-0.7576922519739256	1	1
TLK2	0.02279993895592311	0.0020109992941675617	3	1	-0.7545312613175432	1	1
TP53I11	0.006390501428142479	0.3129454154543643	4	0	-0.7538857767740429	1	0.75
GK	2.0757657688170317e-10	0.07538553514622422	6	0	0.7537141587672729	1	1
