gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Skin-Muscle)	pct_gene_expr	max_pct_tx_expr
LOC113245842_TMEM41B	2.914736992583785e-11	1.5881002464770108e-13	3	2	0.9996411444445382	0.5	0.5
UNC5B	0.026878298866244543	0.0016323744090725783	3	1	0.9982753851727276	1	0.75
TNNI1	0.002159859789329569	0.00565660032693164	3	1	-0.9361337584781269	1	1
COBL	3.408147880271901e-6	2.3347654825444316e-7	7	2	0.9325142192214056	1	0.75
LOC113257928_SLC2A3	0.03873558162383492	0	2	2	0.925653096577048	1	0.75
OCLN	5.838905070205583e-5	2.517947550690205e-6	3	2	-0.9209789408176257	1	1
MOGAT1	0.0472458052452877	0.011421332188670157	3	1	0.9198941560589856	1	1
BMPR1B	0.00617121681158877	1	3	0	-0.9060268604552376	1	0.5
ZBTB7B	1.6405026258577093e-6	0	2	2	0.9030281348910206	1	1
LMOD3	2.791156749726494e-6	0.00872040453613428	3	2	-0.8951631978466866	1	1
EVI5L	3.6295620616424324e-6	0.19059485822225022	4	0	-0.8911292014189502	1	0.75
MEGF10	9.297018349565193e-6	3.0237927404564755e-6	4	1	0.8783542302491731	1	0.75
LOC113248512	0.0240292047022768	0.3494255089097718	3	0	-0.8774016710553232	0.75	0.75
PPP3CA	3.886354972756047e-5	0	2	2	-0.8762158944713467	1	0.75
WDR54	0.03068040410584436	0.1660260215561863	3	0	0.8681315933544284	1	0.75
FRAS1	1.286251736485719e-4	1.0115327852515102e-4	4	1	-0.8680837455677195	1	1
SLC45A3	0.00125645759275288	1.1414555021685157e-4	6	1	0.8647936573026292	1	0.75
ACTA1	5.775103884782638e-5	0.001014029019505437	4	1	-0.8608775235502294	0.75	0.75
LRRFIP1	6.078527850183893e-17	4.858994303521324e-16	6	4	-0.8553966670333248	1	1
RTN2	4.1613380249502184e-10	3.9756421938310225e-10	4	1	0.8548761345689623	1	1
ANKRD39	9.821863751740787e-40	8.189188715547353e-32	7	2	0.8514910514983065	1	1
PKM	2.9174612362956242e-33	0	2	2	0.8509462717000771	1	1
MB	4.7024822073323105e-4	0.006515602127415064	3	1	-0.850644508959515	1	1
AMPD1	5.791839746751033e-6	3.063997918765501e-7	4	1	0.8499373913526923	1	1
RAI1	2.730379500614523e-5	0	2	2	-0.8461110031169993	1	1
ZNF786	0.0038513876926439513	0	2	2	0.8446777955654173	1	0.75
MYOZ1	5.6908660244900116e-8	0.012077321334192138	7	1	-0.8366327468753949	1	1
LOC113249819	1.0349688725209969e-5	0	2	2	0.8277164977206315	1	1
UNC13D	4.690134862327308e-4	0.007519844446080592	3	1	0.8198570328728144	1	1
FAXC	0.015595698161190297	0	2	2	0.8156523583307655	1	0.75
PDE4D	1.8737559077882603e-15	3.556983718996294e-16	6	2	0.8143822676682164	1	1
MYL3	0.0010384076310712815	1	5	0	-0.8121042994094965	1	0.75
PACRGL	0.009818237819824072	0.0036601450423615445	3	1	-0.8103378682826636	1	0.75
PHACTR1	0.014813389336119203	0.014382361533407596	5	1	-0.806330210291871	1	1
PARP16	0.016953742361571655	0.008538863237095684	3	1	-0.8045974704488367	1	0.75
SOCS2	0.01801730853491298	0	2	2	0.8025598974603427	1	1
IDH3B	4.961010453895386e-5	4.5388300513336776e-5	6	1	-0.7958251976946216	1	1
EXOC1	3.6214209388360055e-6	2.145617759341725e-4	6	1	-0.7935831654190942	1	0.75
LOC113270472	4.833863640210432e-4	4.4807810068362715e-4	4	1	-0.7884128163464836	1	0.75
SEC14L5	0.006629185648237905	0.001012738070672619	3	1	0.7873411073223411	1	1
PROSER3	0.024906096754297728	1	5	0	0.7863813004941947	1	0.5
ITGB1BP2	0.002971478840795639	0.3814757306986072	4	0	-0.7849764806231067	1	0.75
CPEB3	5.570004075872597e-5	1	4	0	-0.7817538741843607	1	1
PQLC1	0.002985921167429426	0.0010514569732422206	6	1	-0.7754515780465624	1	1
EIF4A2	2.2008101470280702e-17	4.546495899652427e-16	6	2	-0.7731740368053518	1	1
NFATC2	0.0024071849101966573	0.05171772286989285	4	0	-0.7676512479513046	1	1
ATG4C	0.029258771812917393	0.01832233126060361	5	1	-0.7652592938125667	1	0.75
WDR90	1.7951703173231788e-7	1	11	0	-0.7568934785849945	1	0.75
