gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Skin-Ventricle)	pct_gene_expr	max_pct_tx_expr
PDLIM5	5.192494859485859e-10	1	5	0	-0.9618359432565324	1	0.6666666666666666
ACTA1	6.705089715708513e-5	0.0028475378543937964	3	1	-0.9602068707253	0.8333333333333334	0.6666666666666666
TGM2	0.01067924394707521	0.017857041720176395	3	1	-0.9389848976285847	1	0.6666666666666666
SEC14L5	1.2010288592922084e-5	3.0848462577645283e-7	3	2	0.9212196828678734	1	0.8333333333333334
DAPK1	0.0012952536132177263	1.585091059603879e-4	3	1	-0.9192269029950664	1	1
ELMO3	0.0020550055986530906	1	7	0	-0.9135720054560338	1	0.8333333333333334
MB	1.5677095133164658e-6	1.1003245511119669e-4	3	1	-0.9096964811604996	1	1
COBL	8.675963474363524e-5	8.518342043344097e-6	6	2	0.9049239502849327	1	0.8333333333333334
ANKRD39	1.4962667081805163e-76	1.4489097568952325e-62	7	2	0.8698985893914782	1	1
LOC113249819	8.354825634931623e-6	0	2	2	0.8652007876162648	1	0.8333333333333334
MTFP1	0.0023935341824174302	0.007382061158714374	3	1	-0.8649438350086178	1	1
LOC113246330	0.0020407545979781116	0	2	2	0.8566746713447391	1	0.8333333333333334
MYL3	0.005180381069140035	0.3589806851744864	5	0	-0.8531972956061082	1	0.6666666666666666
UNC13D	9.428805798732472e-5	0	2	2	0.8531595075262237	1	1
SAG	0.0025293541567019137	1	5	0	-0.8521211392155229	1	0.6666666666666666
EVI5L	1.671186824754294e-4	0.10573596561032039	4	0	-0.8449835802422869	1	0.6666666666666666
SMTN	1.690984309886593e-6	2.087245378108388e-9	7	1	-0.8391237191640142	1	0.8333333333333334
RPS24	4.874372598914739e-54	4.654510320542382e-56	3	3	-0.833744140002479	1	1
LOC113252327	6.033916778592787e-4	1	6	0	-0.8336480834619163	1	0.6666666666666666
ATP8B4	0.04192081384310306	0.5294625803341162	3	0	-0.8323593332242755	1	0.6666666666666666
EIF4A2	8.398451424520982e-37	2.205486058398773e-38	6	2	-0.8305039412727246	1	1
ITGA11	0.0017272412094871878	0	2	2	0.829100172701955	1	0.6666666666666666
SKA1	4.4911407053322687e-5	3.547916733105364e-5	3	2	-0.8285847916366017	1	0.8333333333333334
TUBA8	6.589816624725052e-4	0.25167611423810665	4	0	-0.8266705504470736	1	0.8333333333333334
SAMD4B	0.0020105476978288348	0	2	2	0.826063763502199	1	0.8333333333333334
NMNAT1	0.00973961843167888	0.11889214759728385	3	0	-0.8190777443510268	1	0.6666666666666666
PSTPIP1	0.042671321592281236	0.06637009511178384	3	0	0.8188719504589628	1	0.6666666666666666
OSGIN2	0.0022069867801936976	0.002731266574327631	3	1	-0.8138664794498959	1	0.8333333333333334
RNF115	2.246452495302187e-10	1.1215825434248836e-8	3	3	0.8126433703575207	1	1
VPS52	3.01070157391252e-4	0.009443286004791746	6	1	-0.8112849716818081	1	0.8333333333333334
LOC113263775	0.028053021288799256	0.2832402305718581	4	0	-0.8096608122988899	1	0.6666666666666666
ADPRHL1	4.270846422016866e-11	4.857875909158417e-7	5	1	-0.8096551405842171	1	1
MED23	3.908685075888297e-7	8.364700002705646e-8	3	2	-0.8048905260493493	1	1
SNCAIP	1.4993479103733555e-4	1.5860109729795064e-4	4	1	-0.804335061682596	1	0.6666666666666666
ENGASE	0.02059165604064098	0.7749254502210736	3	0	0.80147341894609	1	0.8333333333333334
PIP5K1C	0.004836045503556356	0.0011822768106277296	4	2	-0.8002173572335981	1	0.8333333333333334
LOC113245463	0.014663725624850495	0.181855107070668	3	0	0.797856899087046	1	1
ZBTB7B	1.563626397105387e-4	0	2	2	0.7977871829099933	1	1
FRAS1	1.6280077898662662e-5	5.089563672177033e-6	4	2	-0.7969233716355878	1	1
