gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Spleen-Gall Bladder)	pct_gene_expr	max_pct_tx_expr
LOC113262154_ASAH1	0.008574838732628735	0.0016050074428229754	3	1	-0.9996071532901664	1	1
BAG5	1.65649472656091e-5	4.1225549022603753e-7	3	2	0.9534397947896501	1	0.75
LLGL2	2.189618122025829e-5	3.7875450453051516e-7	3	2	0.9362315387575194	1	1
SMAD9	7.859412371960892e-7	7.29536598552243e-9	4	2	0.9202814557134401	1	1
RFC4	0.04356711131581059	0.7933454175336568	3	0	0.8970128818536314	1	0.75
SLC35D2	0.005936433354275063	1	4	0	0.8879134565774143	1	0.75
TLR6	5.8212909554630246e-5	6.246943644723707e-6	5	1	-0.8667201942431715	1	0.75
KLRD1	0.003669340990542152	3.9952580120479665e-4	4	1	-0.8654482724239871	1	1
KCNA3	3.9794748655661954e-4	1.1294715043447244e-4	3	2	-0.843452562903779	1	1
ZBTB11	2.5882241610327675e-4	1.9298891263325838e-4	3	1	-0.8414558847781509	1	0.75
MYO5C	7.574118694872694e-6	2.9237405753128904e-7	3	2	0.8395314770547355	1	1
AUP1_DQX1	0.0029375921850731796	3.3266665673924357e-4	3	2	0.8345004756346158	1	1
MYO7B	0.003237991160810136	4.1981701339749433e-4	4	1	0.8288738081255894	1	1
SKA1	0.017697780772259794	0.018784140005414136	5	1	0.8253564667657729	1	0.75
TNFRSF25	0.016642655108655324	0	2	2	0.8210931427468532	1	1
ETV7	0.01235665050139503	0.05087981942310687	3	0	0.8185092119158671	1	0.75
ST6GAL2	0.038907226214859605	0.010232922055405628	4	1	0.8168119254572092	1	0.75
UBASH3B	4.586414620147284e-4	0	2	2	0.8139700542837386	1	1
MPIG6B	0.046983953793384395	1	3	0	-0.8095197653411619	0.75	0.5
FAM81A	0.002525239377376018	0.018424392309755226	4	1	-0.803394668023889	1	1
INPP5E	0.016640230444081628	0.0025634626027238286	3	2	0.8021558737792509	1	1
RBP5	0.02359201581640378	1	3	0	0.8005981299471758	1	0.75
LOC113267063_OASL	0.02796818152558886	0.14106877000870946	4	0	0.7968825369882407	0.75	0.75
CROCC	0.0063368192844872485	0.004783219111705515	3	2	0.7954318101590147	1	0.75
IFT74	0.0036692628799604625	1	3	0	-0.7867211020662754	1	0.75
SPSB1	0.0203385711645919	0	2	2	0.7784542684846093	1	1
CALCOCO2	4.386860002113754e-22	7.068793463411277e-23	4	3	0.7767408066486488	1	1
LOC113247977	0.0246294837308948	1	4	0	-0.768128650710577	1	0.75
MTM1	3.3818897147293865e-8	0.08197456206396679	5	0	0.7655743460889954	1	1
USP37	1.1251267990468847e-5	6.056092524148835e-7	5	1	0.7636963121915069	1	1
SHLD2	0.006023808732132916	1	7	0	0.7505943869362541	1	1
EIF2AK4	2.0101507398909537e-6	1.4188213033570152e-5	5	2	0.7491349482853972	1	1
AKT1S1	0.03870521014908489	0.3564459397110383	4	0	-0.7488593391581448	1	0.75
MED26	0.039604699612524386	0	2	2	0.7457756385418908	1	0.75
NOM1	0.027234841765810983	0.04089364522255533	3	1	0.7435087156597311	1	0.75
SLC2A3	9.288760003409978e-5	1.1098331056982807e-4	4	1	0.7382114532589301	1	1
DRC1	0.029726531657376213	0.016526491157454828	5	1	0.7354431285467229	1	1
LOC113254707	0.031168987576157704	0.005133826992079506	3	1	0.7304724516999448	1	1
COMMD8	2.6508859929215574e-4	0.010795019053615443	5	1	0.728114854566667	1	1
SLC12A4	1.7322086529597568e-4	1.4026536284781947e-5	11	1	0.7279788007484345	1	1
LOC113267312	8.99303800699763e-4	0	2	2	0.7233654743900334	1	1
PHF24	0.012784359725875317	0.008393570350110974	3	1	0.7228070441973582	1	1
BTLA	0.04356711131581059	0.18029670316418306	3	0	0.7207269174744974	1	1
LARS	9.592422239213052e-5	0.0023667326167559656	8	1	0.7190387707164345	1	1
DOK2	9.7815549940575e-4	0.01990873730725568	3	1	0.7173102274836987	1	1
ZCCHC10	6.15947426823164e-5	0.20476278781744822	3	0	0.7165438854380642	1	1
GFM1	2.4884493682532073e-4	2.3985821337809963e-4	5	2	-0.7122605258911114	1	1
ITGAM	8.039370422665126e-4	1.44293432868569e-4	5	1	-0.7113082874605544	1	1
THY1	7.920746546932896e-4	4.11913251255369e-4	3	2	0.7060606485835843	1	1
LOC113250459	0.04702436374120045	1	3	0	0.7016405708475945	1	0.75
NR4A2	0.021805678795419295	0	2	2	-0.6994464950756931	1	1
ELOVL1	0.018955210826335382	0.31969254274728093	6	0	0.6990798989823737	1	1
DECR1	0.04356711131581059	1	10	0	0.6990528427948985	1	0.75
COBL	0.01658180965663361	0.06730618494549176	7	0	0.6969208915936002	1	0.75
MFSD14A	0.0049737908554044665	6.952788179994001e-4	8	1	0.6957970506634762	1	1
UTP20	0.005581599049939514	0.009194408085988115	3	2	0.6949416610220134	1	1
TCF7	0.0222778783792269	1	5	0	0.6917995943848297	1	0.5
WBP1L	0.041337561264559584	0.007544127713640647	3	1	0.690438808200242	1	1
STAB2	0.009694382686806245	0.0033301675270600278	3	1	-0.6896427986528034	1	1
LOC113270192	0.04364521062188659	0.022365057514845833	3	1	0.6872916596161303	1	1
TFB2M	0.013384225854152268	0.03015970600828909	6	2	0.6867358666825095	1	1
MAD2L1BP	0.010427078746581376	1	5	0	0.6837607043930852	1	1
AGAP2	0.015579564481309567	0	2	2	0.6836324265075272	1	1
FAM200A	0.019680265773927546	0.025011904875698484	4	1	-0.6813088758338334	1	1
PLD3	6.6760716280344425e-18	1.1752041040899825e-19	4	2	0.6779114029054059	1	1
GSN	4.965168753524833e-18	6.109282869505021e-22	3	3	0.6721576644595747	1	1
SYNPO	0.006510173645397473	0.004670058986017534	4	2	0.6711187876791336	1	1
EVL	3.7664530336443464e-9	2.021757823774702e-6	3	1	0.6666851342324606	1	1
TDRD7	0.004649083534044348	0.2674622666951568	9	0	0.666417464042647	1	0.75
MFSD6	0.024666008729587602	0.0224110210199111	4	1	-0.6658472248983129	1	1
HSPB11	3.0219459799977593e-4	1.6852829140435633e-4	5	1	0.6636357192586907	1	1
SUV39H1	0.03804914899008776	0.04808831276785018	3	1	-0.6628081362504967	1	0.75
STK39	6.147050375994057e-4	6.983221250750559e-4	3	1	-0.6623760168091553	1	1
ADAMTS10	0.018600885083505107	0.007645748824061619	4	2	0.6577155996018506	1	1
FAM168B	0.0049737908554044665	0.005104179082986265	3	1	-0.6548368535012363	1	1
CRAMP1	0.0222348469818328	0	2	2	-0.6415302526471945	1	1
DOHH	0.024666008729587602	0.12851897554494632	3	0	0.639968796175544	1	1
ARHGAP27	0.005581599049939514	0.0010040964189440605	3	2	0.6379627711597587	1	1
ITGA2B	0.009473771215166977	1	6	0	-0.6379459475337548	1	0.75
ABCC4	0.03554386115791211	0.0234417373483395	5	1	-0.6362357623037548	1	1
LOC113261605	0.03307307280488968	0.057004865040329755	3	0	-0.6353527754954925	1	1
IRF8	3.5398884576493705e-4	5.429403811038053e-4	3	2	0.6350767602732837	1	1
IRAK3	0.0289014836185569	0.15907339026053544	3	0	0.6350083706290846	1	1
