gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Spleen-Kidney_cortex)	pct_gene_expr	max_pct_tx_expr
IFNLR1	0.0016057526803936947	0.37730428497333135	3	0	0.9779049388069868	1	1
OCLN	0.001096375758252253	5.9501762384590535e-5	3	1	0.9114146972454535	1	1
SLC25A34	0.021331073619335603	1	3	0	-0.9021090257335003	1	0.5
ZNF365	2.1424054642810987e-5	1	5	0	-0.8889280087079964	1	0.75
LOC113249328	6.893978399021493e-6	5.895770585920206e-8	3	2	-0.8768800296072857	1	1
RAP1GAP2	0.011028324474910202	8.858709746356494e-4	3	2	-0.8701880736735887	1	0.75
SEMA4F	0.0013191075797535363	1.434922574057997e-4	4	1	-0.8676424093779269	1	0.75
CNTFR	9.104031144213898e-4	0.040113185631620515	4	1	-0.8581904423072817	1	1
SYNPO	1.0846726912014482e-4	4.3666570011160626e-5	4	1	-0.8550722299945458	1	0.75
SKA1	2.444551754672155e-4	1	4	0	0.8507320280384286	1	0.75
BAG5	0.0030518112676103	8.352944428942835e-4	3	1	0.8482257975776886	1	0.75
BHMT	3.0628189794672436e-5	8.409723106012121e-5	4	1	-0.847330572594822	1	1
MYO7B	0.004346789960426024	0.16808624083457488	4	0	0.8401339320601171	1	1
SLC35D2	0.0060216873478226305	0.002215676680414514	5	1	0.8394920475475826	1	0.75
LOC113262154_ASAH1	0.047697316102699255	0.13787356798411798	3	0	-0.833200701255608	0.75	0.75
HMCES	0.0053380288660193325	5.13759388222083e-4	3	1	-0.8289905187385056	1	0.75
CACNB3	0.03277814940457707	0.06851095600716785	3	0	0.8235774007213097	1	0.75
NACC2	0.0306086604735945	0	2	2	0.8225840935750921	1	1
MYO5C	2.6274695846957395e-4	0	2	2	-0.8102889886516471	1	1
MMP12	1.128976250138037e-4	0	2	2	-0.789821183625914	1	1
SLC26A4	0.012828029221502644	0.024158286865330614	3	1	-0.7893390121121404	1	1
SMAD9	0.020314039200828946	0	2	2	-0.7885259372729958	1	1
CRTC1	0.042163335360782525	0.28753048516100665	4	0	0.7843089737617611	1	1
KCNJ15	4.295486934417964e-6	1	5	0	0.7810679358052373	1	0.75
UNC5B	0.017741122681677705	0.022961910187277813	3	1	0.7769995685898259	1	1
DNAJB2	1.2360400389477826e-9	1.456984206431827e-10	5	2	-0.7677888939340424	1	1
RUNDC3A	1.6702421314103807e-5	0.28180834597986143	5	0	-0.7654652432676197	0.75	0.75
LOC113242943	0.04823844916785901	0	2	2	-0.7569792221272005	1	1
SLC23A2	8.166634644940441e-6	1.266980142766946e-5	4	2	-0.7538372950782686	1	1
CA12	6.068974950043003e-4	0.8159193432887559	3	0	0.7506143440079266	1	1
KIAA1614	0.004214645227414393	0.007517261927182429	6	1	0.7482430868081171	1	1
BNIP3L	4.5346124500617905e-7	5.89745308121104e-4	4	1	0.7452466369729608	1	1
CSNK1G1	3.076672930767736e-5	2.6066320239093474e-5	4	2	-0.7310411169601538	1	1
ABI3	0.044876736312911954	0	2	2	0.7287228236899757	1	1
CD109	0.0013191075797535363	6.192696955526787e-5	3	2	-0.7279139408534816	1	1
HSD11B1	1.7598860530396292e-10	1	6	0	0.7266536670689928	1	1
HCAR1	0.006409716689593909	1	3	0	-0.7228572414956577	1	1
HIVEP2	0.00442065488932239	0.002847467021825359	5	1	-0.7218431926929085	1	1
CCDC50	4.478950521702002e-11	0	2	2	0.712298410026573	1	1
KIF13A	0.0029464770857136795	0.015993479173401836	6	1	0.7066527779861065	1	1
SLC2A3	0.04652819326757722	0.5461966891930966	4	0	0.705253516638973	1	1
TSPYL5	0.0064129396739142685	0.3342891031099525	4	0	-0.7044587620600374	1	1
PLEKHA5	0.0025056061852148726	0.017167512266502736	7	2	0.7029824712418767	1	1
LLGL2	0.01947686057488887	0.005551406489264482	3	1	0.7016052933897217	1	1
PPCDC	2.735155765516235e-4	1	5	0	0.7007480047616753	1	0.75
CRLF3	8.471005887834954e-5	1.7738068450054363e-4	6	1	-0.7001646324127296	1	0.75
TBKBP1	0.042163335360782525	0.09699140441904731	4	0	-0.691066874822126	1	1
LSP1	2.8166468114013653e-4	0.26377832252747546	5	0	0.6895816697509611	1	1
LOC113244018	3.635984250102114e-7	5.893512952085245e-6	3	3	-0.6847425808896862	1	1
LOC113252107	0.0016708306178144633	0.0017317609102857467	4	1	-0.6821479275929954	1	1
BAG3	0.008207077658594764	1	4	0	-0.6791024376662896	1	1
THY1	0.006637978195307199	0.009089900056226041	3	2	0.6757620718025449	1	1
EXTL3_LOC113269942	6.031584642663858e-5	3.397874655121119e-4	5	1	-0.6749858144000119	1	1
TBC1D15	6.139039437750521e-5	0.9810143168159552	6	0	-0.6625719025800112	1	1
JCHAIN	0.026041837540492555	0.007368959266541357	3	2	0.6619474267641612	1	1
B3GNTL1	0.047681556054907114	0.1422116247021321	6	0	-0.6612546484463129	1	1
PLD1	1.4511997720204513e-5	3.3057319121072035e-4	5	1	-0.6594317154331641	1	1
LOC113259124	0.00451609119675073	1	5	0	-0.659256709627861	1	0.75
ENO3	0.04194224342369449	0.02812310589157621	6	1	-0.6582198991998665	1	1
LOC113248165	0.0306086604735945	0.04000744543783935	4	1	-0.6582136701634179	1	1
TRAF5	0.008767383977036145	0.028718876243640973	3	1	-0.6573891897632126	1	1
ARHGAP9	0.002574661372113614	0.0019392746916178304	6	1	-0.657215714687365	1	1
EGFLAM	0.009822539161238176	0.02836892571287444	4	1	0.6559566007316695	1	1
SCML1	0.002421913599980066	1	5	0	0.6510602510946075	1	1
CSF1R	3.7647355834478516e-7	1.6567697645303025e-7	8	2	-0.6463127000570701	1	1
NAV2	0.037625892736975065	0	2	2	-0.646206533083249	1	1
CHD7	0.008767383977036145	0.015504276605685877	4	2	-0.6435491157359495	1	1
IKZF2	0.028168788565251353	1	5	0	-0.6414499688892399	1	1
PTPN6	2.9652695745902964e-8	3.8813085636904007e-4	6	1	0.6386115982710456	1	0.75
ARHGEF18	0.025571195878255407	0.006790697426249987	3	1	-0.6365309113882831	1	1
LOC113250773	0.006069662741083239	1	7	0	-0.6323063155288222	1	0.5
CLK2	0.029780965207455046	0.003637810522595087	3	1	-0.6322524407152308	1	1
MAP2K7	0.02410057594367291	0	2	2	-0.6273653033970902	1	1
MYO1E	0.017741122681677705	0.013385574662609914	3	2	0.625542822793956	1	1
KIAA1522	0.001617419228759362	1	3	0	-0.6249229919743177	1	1
HMBS	0.04672419451683748	0.18279058279025512	5	0	0.6232789065718036	1	1
ALDOB	3.076672930767736e-5	0.0023300596421723836	6	1	0.6212195505857632	1	1
HOGA1	2.9662843149024727e-10	1.5678075738822093e-7	7	2	-0.6199523859677841	1	1
CIPC	0.00978458813100202	0.009991731549201221	5	1	0.615362787799771	1	1
DHRS1	0.005545733813563594	0.0023693257947900257	6	1	-0.6100196163685477	1	1
LOC113260951	0.001092617751588287	1	9	0	0.6099687757894762	1	0.75
ABHD11	0.042163335360782525	0.024729750384596665	3	1	0.597453613034956	1	1
DMGDH	9.850815233586594e-4	0.07151066074087829	7	0	0.5951054176427525	1	0.75
DGKH	0.014106347028840605	0	2	2	0.5920683500504182	1	1
AURKAIP1	0.016318959336176563	0.27183050059788055	3	0	0.5918544791235111	1	1
ARHGAP17	0.005561920728683638	1	8	0	-0.5892271529707884	1	0.75
LOC113258763	0.022695870457201204	0.008635813097984793	6	1	-0.586492764128069	1	1
TTC14	1.2712999003430455e-5	2.33421549308173e-6	9	1	-0.5862990269168815	1	1
TPM1	0.026551470806467532	0.001517380917983917	9	1	0.5859282375850772	1	1
ZDHHC19	0.004584394225850516	0.018181784448898362	6	1	-0.5853260831020938	1	1
ARHGAP27	0.028256007383683612	0.11940715815435617	4	0	-0.5845288502382118	1	1
