gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Spleen-Lung)	pct_gene_expr	max_pct_tx_expr
CD80	0.002844948116941522	0.011639763178526804	3	1	-0.9327237151613943	1	0.6666666666666666
OCLN	2.891528567621988e-5	6.51063990951252e-7	3	2	0.9133642748950371	1	1
SKA1	0.0012816774851468695	0.01844926033952586	3	1	-0.8949299441045202	1	0.6666666666666666
LLGL2	1.4800530188186769e-5	3.2857050676388726e-7	3	2	0.8866018551233418	1	1
LOC113258460	0.032562821939417674	1	5	0	-0.8844094249414823	1	0.6666666666666666
POLD1	0.006289415536447898	0.14614978337667522	5	0	-0.8496597358858667	1	0.8333333333333334
ZNF235	0.008119331103559226	1	4	0	0.8375098993267381	1	1
SLC35D2	0.0014366326842049938	1.4247357479160182e-4	5	1	0.825736255632609	1	0.8333333333333334
ZNF329	0.006650595566206352	0	2	2	0.8080078110862835	1	0.8333333333333334
SPINT1	0.0062183023976483155	0	2	2	-0.787215492683112	1	0.8333333333333334
PHACTR1	8.987115151768572e-25	5.710071164154758e-19	6	2	0.772013355715707	1	1
MYO5C	3.2535829711454754e-5	8.169429210215446e-7	4	2	0.7558777079502265	1	1
SYNPO	2.3315528623843176e-6	4.4390582011689805e-7	3	2	0.7365904334009064	1	1
SCNN1A	1.2514662471629922e-4	9.40510316454665e-4	5	1	0.7329041573304768	1	0.8333333333333334
BNIP3L	1.468495656583093e-7	5.982515049119491e-10	4	2	-0.7218962242132446	1	1
NCAPH	1.206221535456073e-11	9.358283208735052e-10	5	1	-0.7190483562104675	1	1
SH2D3C	1.5340612099609645e-8	0	2	2	-0.7175534947573787	1	1
SMAD9	0.008817867975666303	8.12347347049305e-4	4	1	0.7134818461775414	1	1
GRAMD1C	0.0038028926639778952	0.04102705773693536	5	1	0.7129652903923374	1	1
NCAM1	7.952876448017363e-4	0.003251825447807454	8	1	-0.7079320826622546	1	1
TSPAN33	0.015167967527338016	0.007017690136260968	3	1	0.7075900628225106	1	1
KCNAB1	4.1070055465188953e-4	0.1171900107908143	3	0	0.6756526779317757	1	1
SLC6A4	0.021229145263580905	0.010446172546904596	5	2	-0.671353310845284	1	1
PLEKHA5	2.9798943477548257e-4	0.0024672372465782554	8	2	0.6658803015095865	1	1
C4BPA	0.012807843308947056	0.03138430824167265	9	1	0.6639006171639346	1	0.8333333333333334
KPNA3	0.0014641931184542867	0.006628832161746772	3	2	0.6630970444355073	1	1
MYO7A	0.02697367922459197	0.5269864229944685	5	0	-0.6533264242416161	1	0.8333333333333334
MFAP5	9.594631324939579e-4	0.06851969460715522	6	0	-0.6505320833953195	1	1
STARD8	0.0023370098625897775	4.961619957296498e-4	3	2	-0.6492441173875602	1	1
ATG7	0.005871458310699193	0.015850288674406465	7	1	0.6474393544418373	1	0.8333333333333334
GSN	4.5488699931564556e-76	1.8776602067592005e-49	4	3	0.6439213144190515	1	1
SAXO2	0.008817867975666303	1	4	0	0.6426589880996827	1	0.6666666666666666
ARHGEF18	2.654967766002472e-7	2.3839144001483527e-8	3	2	-0.6407761231571796	1	1
CACNA1A	0.042522907011120936	0.012759217763627227	3	1	0.6403985230676214	1	1
LOC113263277	0.0049439991822688165	0	2	2	-0.6374912049318406	1	1
FSTL5	0.00933903861369365	0.00613430661881279	3	1	-0.6351228724280312	1	0.8333333333333334
EPB41L5	3.1428952701157897e-21	1.3828924547836756e-13	8	1	0.6302126652258565	1	1
EVL	0.002003596923264301	3.1391741773677587e-4	3	2	-0.6202619409574688	1	1
DHX32	0.027094891515454494	0.5108350168545446	4	0	0.6190881778777163	1	0.8333333333333334
TMEM268	3.2535829711454754e-5	1.1829885183302731e-5	4	2	-0.6039890167679173	1	1
FGD6	0.0055887690351506215	0.013643819392787332	3	2	0.5980899645903028	1	1
RUNX1	0.016920803910929726	0.013592297651723276	3	1	0.5848247498628713	1	1
TSC1	0.0375229631105936	0.07533071508130021	5	0	0.5820391900462895	1	1
STAB1	0.04398252288600001	0.1560590663904106	3	0	-0.582012769463172	1	1
TLR10	0.024704042918753683	0.28185968171982967	3	0	0.5770747074512158	1	1
COLEC11	0.02354583151394283	1	6	0	-0.5757534485358327	1	0.8333333333333334
SLC22A3	0.002360380591090691	0.012055722704648088	4	2	0.5721662910940796	1	1
CGNL1	2.9569961795739352e-8	1.0912035097552013e-7	8	2	-0.5704357865808974	1	1
SLC43A3	0.008817867975666303	5.512148800334246e-4	5	1	0.5701037582808168	1	1
SEMA4F	0.002665328985163032	0.006651735123090786	4	1	-0.5684585899658114	1	1
LOC113252107	0.003691146696494428	0.01355636930327353	4	1	-0.56830049697419	1	1
MALL	0.002360380591090691	0.322455671964317	5	0	-0.5676558832302719	1	1
HMGCLL1	0.0014965701525638266	1	6	0	-0.5674530318362371	1	1
LOC113251513	0.0012816774851468695	1	4	0	-0.566881389830922	1	1
COL4A3	7.205941954975524e-9	2.857669678267867e-8	6	1	0.551211105471114	1	1
POLR3E	5.939218466992257e-4	0.21507870623917733	7	0	-0.5450244993599324	1	1
CIPC	1.9815561905017865e-4	0.13515618429480428	6	0	0.5423673699266449	1	0.8333333333333334
DIPK2B	0.03632665416565945	0	2	2	-0.5412384747654785	1	1
VEPH1	8.103844436911355e-6	0.030810209371520545	7	1	0.5375558750817595	1	1
ARHGAP27	0.008238421385270535	8.900604493987437e-4	4	1	0.529337276286869	1	1
CYTIP	0.0012183052746779822	0.1712190095448545	10	0	0.5292108347633625	1	1
PDZD2	6.988561215908623e-14	6.523559281668373e-13	7	2	-0.529152712774945	1	1
PTPN14	1.2728003142272487e-4	0.003348004901371358	4	1	0.5266550529817959	1	1
WWC1	5.62705365570184e-4	0.01666730026304756	5	1	0.5197096748772996	1	1
TSPAN12	0.02346619638504164	0.4327238511763755	12	0	0.5165588229580096	1	1
LOC113247244	0.008127696347252442	0.017541242378065064	4	1	0.5160830892598276	1	1
PCNX3	0.002652232669646045	0.06569624965260137	5	0	0.507970516167317	1	1
TIRAP	0.017276651698820415	0.6006431170348591	5	0	0.5060627224443689	1	0.8333333333333334
LOC113258763	0.021565763773463063	0.1382011022924354	6	0	0.5056812882524476	1	1
LOC113263501	0.005029731219440167	0.002264575206162833	5	1	-0.5051556529522061	1	1
LAMB3	1.1532566591765567e-17	2.2766285225445188e-4	9	1	-0.5035799030729691	1	1
CEMIP2	1.6238345602220185e-4	7.842705223573382e-9	8	1	-0.5029757875494636	1	1
LOC113249328	0.008116992545311282	0.332535378678799	6	0	-0.48945766917930383	1	1
CRYAB	0.02359900045644032	0	2	2	-0.47847949111207555	1	1
SEMA3B	0.00729492067872113	0.003871119112071253	6	1	0.4743346201560607	1	1
LOC113257261	0.018500882380185095	0.012058974585153696	3	1	-0.47266943118712224	1	1
