gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Spleen-Small Intestine)	pct_gene_expr	max_pct_tx_expr
LOC113257924	7.221586623458167e-6	0	2	2	-0.9999943134664097	0.5	0.5
LOC113242608	3.3182829700389294e-5	1	3	0	0.9634580473546046	1	0.5
LLGL2	0.0011522148577443859	4.305252002933584e-5	3	2	0.9185353849516681	1	0.75
OCLN	0.0033285596008675367	0.005224354888993017	3	1	0.9026412722398047	1	1
LOC113245502	0.018885776321968605	0.1992436042872688	3	0	-0.8998601136705	0.5	0.5
ZNF521	0.014618238049677646	1	4	0	0.8838701673428264	1	0.75
ZNF235	0.001069728281613486	1	3	0	0.8706992661225054	1	1
MYO7B	8.798371821676463e-6	0.015307672811571723	4	1	0.8694669160182991	1	1
CD5L	0.009265560684206966	6.730955090861456e-4	3	1	-0.8677783018867807	1	1
SMAD9	0.017778264443737795	0.0018498721130695067	4	1	0.8561167779384539	1	1
SKA1	0.006207111008121055	1	5	0	0.8457453721699889	1	0.75
HEY2	0.012243438695600645	1	3	0	-0.8451942987004248	1	0.75
KCNJ15	0.027179479051824478	1	4	0	-0.8442778176633569	1	0.5
AMIGO1	0.006207111008121055	0.013219399250579767	3	1	0.8341598190000402	1	1
ZNF329	0.023857762713935127	0	2	2	-0.8339286642978616	1	0.75
KREMEN1	0.003800380108352083	0.001956080422773485	3	2	0.8288517412714896	1	1
NEK6	0.0028606339160009773	0.002243781518835815	3	2	0.8269945943717495	1	1
NACC2	0.023907643478900384	0	2	2	0.8239611996901103	1	1
ZBTB7B	0.023907643478900384	0	2	2	0.8024341361938171	1	1
CUNH20orf194	0.0320475907290586	0	2	2	0.7927258887206914	1	0.75
SYNPO	1.3082601911590315e-8	3.208235779853231e-6	5	1	0.7763953954652546	1	1
CRAMP1	0.0465823198180869	0	2	2	-0.7730379693343192	1	1
KCNA3	8.453785509776299e-6	9.193221356866445e-5	3	1	-0.7659535636169729	1	1
TBC1D24	0.018886785701200885	0.014362361086707697	3	1	0.7436317155256049	1	1
ROBO4	0.02958736284413479	0.13024288673842066	4	0	0.7372931751511739	1	0.75
