comparison	num_retained	num_sig_genes	num_sig_tx
Adipose_vs_Skin	48112	262	118
Adipose_vs_Muscle	46664	775	490
Adipose_vs_Liver	48016	569	271
Adipose_vs_Spleen	49378	657	369
Adipose_vs_Kidney_medulla	49159	785	446
Adipose_vs_Kidney_cortex	48835	699	388
Adipose_vs_Lung	55734	836	534
Adipose_vs_Ventricle	49541	901	648
Adipose_vs_Atrium	49922	920	645
Adipose_vs_Gall_Bladder	54672	1188	625
Adipose_vs_Stomach	53558	331	126
Adipose_vs_Small_Intestine	54903	586	229
Skin_vs_Muscle	47668	748	469
Skin_vs_Liver	48665	579	309
Skin_vs_Spleen	49917	707	403
Skin_vs_Kidney_medulla	49663	761	417
Skin_vs_Kidney_cortex	49274	621	343
Skin_vs_Lung	56045	887	625
Skin_vs_Ventricle	50509	1044	731
Skin_vs_Atrium	50871	1024	715
Skin_vs_Gall_Bladder	54614	1005	522
Skin_vs_Stomach	53666	325	129
Skin_vs_Small_Intestine	54902	518	215
Muscle_vs_Liver	43728	407	230
Muscle_vs_Spleen	47229	703	474
Muscle_vs_Kidney_medulla	46357	659	381
Muscle_vs_Kidney_cortex	45263	533	315
Muscle_vs_Lung	55114	1176	937
Muscle_vs_Ventricle	43294	215	148
Muscle_vs_Atrium	44815	235	167
Muscle_vs_Gall_Bladder	52985	1167	648
Muscle_vs_Stomach	51512	434	189
Muscle_vs_Small_Intestine	52738	664	322
Liver_vs_Spleen	47573	386	206
Liver_vs_Kidney_medulla	46305	249	120
Liver_vs_Kidney_cortex	45170	196	98
Liver_vs_Lung	55166	667	434
Liver_vs_Ventricle	47019	515	330
Liver_vs_Atrium	47948	530	364
Liver_vs_Gall_Bladder	53234	806	385
Liver_vs_Stomach	52056	268	105
Liver_vs_Small_Intestine	52702	334	127
Spleen_vs_Kidney_medulla	48924	353	175
Spleen_vs_Kidney_cortex	48515	331	177
Spleen_vs_Lung	54858	280	166
Spleen_vs_Ventricle	49802	662	462
Spleen_vs_Atrium	50279	634	461
Spleen_vs_Gall_Bladder	54084	912	534
Spleen_vs_Stomach	52710	128	57
Spleen_vs_Small_Intestine	53540	245	103
Kidney_medulla_vs_Kidney_cortex	45262	42	20
Kidney_medulla_vs_Lung	55463	387	260
Kidney_medulla_vs_Ventricle	48777	496	346
Kidney_medulla_vs_Atrium	49394	499	365
Kidney_medulla_vs_Gall_Bladder	54666	1188	659
Kidney_medulla_vs_Stomach	53006	186	63
Kidney_medulla_vs_Small_Intestine	54124	311	117
Kidney_cortex_vs_Lung	55512	497	357
Kidney_cortex_vs_Ventricle	47896	478	366
Kidney_cortex_vs_Atrium	48702	507	383
Kidney_cortex_vs_Gall_Bladder	54274	1011	542
Kidney_cortex_vs_Stomach	52570	147	53
Kidney_cortex_vs_Small_Intestine	53367	220	94
Lung_vs_Ventricle	43048	1833	1647
Lung_vs_Atrium	43392	1532	1332
Lung_vs_Gall_Bladder	59066	1374	1091
Lung_vs_Stomach	57945	256	131
Lung_vs_Small_Intestine	58966	451	275
Ventricle_vs_Atrium	33660	87	52
Ventricle_vs_Gall_Bladder	55747	1682	1171
Ventricle_vs_Stomach	53992	660	367
Ventricle_vs_Small_Intestine	55388	1027	555
Atrium_vs_Gall_Bladder	56166	1785	1182
Atrium_vs_Stomach	54443	617	337
Atrium_vs_Small_Intestine	55845	1021	504
Gall_Bladder_vs_Stomach	55267	222	82
Gall_Bladder_vs_Small_Intestine	55869	266	108
Stomach_vs_Small_Intestine	54957	15	6
