Gene stable ID	Gene stable ID version	Gene name
ENSG00000003096	ENSG00000003096.14	KLHL13
ENSG00000004777	ENSG00000004777.18	ARHGAP33
ENSG00000006576	ENSG00000006576.16	PHTF2
ENSG00000007255	ENSG00000007255.10	TRAPPC6A
ENSG00000007384	ENSG00000007384.15	RHBDF1
ENSG00000008130	ENSG00000008130.15	NADK
ENSG00000009694	ENSG00000009694.13	TENM1
ENSG00000010219	ENSG00000010219.13	DYRK4
ENSG00000010327	ENSG00000010327.10	STAB1
ENSG00000010803	ENSG00000010803.16	SCMH1
ENSG00000010810	ENSG00000010810.17	FYN
ENSG00000011007	ENSG00000011007.12	ELOA
ENSG00000011052	ENSG00000011052.21	NME1-NME2
ENSG00000011405	ENSG00000011405.13	PIK3C2A
ENSG00000013725	ENSG00000013725.14	CD6
ENSG00000015413	ENSG00000015413.9	DPEP1
ENSG00000015592	ENSG00000015592.16	STMN4
ENSG00000016602	ENSG00000016602.9	CLCA4
ENSG00000019995	ENSG00000019995.6	ZRANB1
ENSG00000025423	ENSG00000025423.11	HSD17B6
ENSG00000028277	ENSG00000028277.21	POU2F2
ENSG00000029153	ENSG00000029153.14	ARNTL2
ENSG00000030066	ENSG00000030066.13	NUP160
ENSG00000031003	ENSG00000031003.10	FAM13B
ENSG00000031823	ENSG00000031823.14	RANBP3
ENSG00000033100	ENSG00000033100.16	CHPF2
ENSG00000033867	ENSG00000033867.16	SLC4A7
ENSG00000035664	ENSG00000035664.11	DAPK2
ENSG00000035862	ENSG00000035862.12	TIMP2
ENSG00000040199	ENSG00000040199.18	PHLPP2
ENSG00000040731	ENSG00000040731.10	CDH10
ENSG00000041988	ENSG00000041988.15	THAP3
ENSG00000048028	ENSG00000048028.11	USP28
ENSG00000048740	ENSG00000048740.18	CELF2
ENSG00000050393	ENSG00000050393.11	MCUR1
ENSG00000050405	ENSG00000050405.13	LIMA1
ENSG00000050628	ENSG00000050628.20	PTGER3
ENSG00000055483	ENSG00000055483.19	USP36
ENSG00000055950	ENSG00000055950.16	MRPL43
ENSG00000061337	ENSG00000061337.15	LZTS1
ENSG00000064195	ENSG00000064195.7	DLX3
ENSG00000064225	ENSG00000064225.12	ST3GAL6
ENSG00000064787	ENSG00000064787.13	BCAS1
ENSG00000065371	ENSG00000065371.17	ROPN1
ENSG00000065491	ENSG00000065491.8	TBC1D22B
ENSG00000065609	ENSG00000065609.14	SNAP91
ENSG00000066136	ENSG00000066136.20	NFYC
ENSG00000066813	ENSG00000066813.14	ACSM2B
ENSG00000068305	ENSG00000068305.17	MEF2A
ENSG00000068400	ENSG00000068400.13	GRIPAP1
ENSG00000068781	ENSG00000068781.21	STON1-GTF2A1L
ENSG00000069020	ENSG00000069020.18	MAST4
ENSG00000069206	ENSG00000069206.15	ADAM7
ENSG00000069812	ENSG00000069812.11	HES2
ENSG00000069998	ENSG00000069998.12	HDHD5
ENSG00000070388	ENSG00000070388.11	FGF22
ENSG00000070610	ENSG00000070610.14	GBA2
ENSG00000070985	ENSG00000070985.13	TRPM5
ENSG00000071054	ENSG00000071054.16	MAP4K4
ENSG00000071189	ENSG00000071189.21	SNX13
ENSG00000071203	ENSG00000071203.9	MS4A12
ENSG00000071677	ENSG00000071677.1	PRLH
ENSG00000072071	ENSG00000072071.16	ADGRL1
ENSG00000072134	ENSG00000072134.15	EPN2
ENSG00000073969	ENSG00000073969.18	NSF
ENSG00000074276	ENSG00000074276.10	CDHR2
ENSG00000074706	ENSG00000074706.13	IPCEF1
ENSG00000075407	ENSG00000075407.18	ZNF37A
