Orthogroup	ursArc.longCDS.prots	ailMel.longCDS.prots
OG0000000	rna50998	rna-XM_034655739.1
OG0000000	rna50997	rna-XM_011216961.3
OG0000000	rna28162	rna-XM_011236404.3
OG0000000	rna28155, rna28182	rna-XM_034660129.1
OG0000000	rna28153	rna-XM_002928532.4, rna-XM_034660128.1, rna-XM_002928555.4
OG0000000	rna28165	rna-XM_034660114.1
OG0000000	rna27999	rna-XM_034660127.1
OG0000000	rna27994	rna-XM_034660130.1
OG0000000	rna49036	rna-XM_034643200.1
OG0000000	rna27987	rna-XM_034643203.1
OG0000001	rna53625, rna27992	rna-XM_002927085.3
OG0000001	rna49035	rna-XM_002930225.4
OG0000001	rna28164, rna50996	rna-XM_034655740.1
OG0000001	rna28000	rna-XM_002927091.4
OG0000001	rna17906	rna-XM_002928374.4
OG0000001	rna28181	rna-XM_002928522.4
OG0000001	rna28160	rna-XM_034660125.1, rna-XM_034660122.1
OG0000001	rna28154	rna-XM_034660124.1
OG0000004	rna53558	rna-XM_002930681.2
OG0000004	rna54159, rna15697	rna-XM_002930991.2
OG0000004	rna53427	rna-XM_002930684.4
OG0000004	rna53555	rna-XM_002931108.3
OG0000004	rna53429, rna17047	rna-XM_011217111.2
OG0000004	rna53430	rna-XM_002930680.3
OG0000004	rna53433	rna-XM_034653006.1, rna-XM_002930683.2
OG0000004	rna53432	rna-XM_002930678.2
OG0000004	rna17039	rna-XM_034646480.1
OG0000004	rna53556	rna-XM_011218059.3
OG0000004	rna15688	rna-XM_002930906.1
OG0000004	rna53434	rna-XM_034643050.1
OG0000004	rna53557	rna-XM_034646201.1
OG0000005	rna17236, rna17235	rna-XM_002923243.4
OG0000005	rna17218	rna-XM_002923246.4
OG0000005	rna17229	rna-XM_011229901.3
OG0000005	rna17233	rna-XM_002923244.4
OG0000005	rna17232	rna-XM_011229902.3
OG0000005	rna17230	rna-XM_011229956.3
OG0000007	id586842	id-LOC117799039
OG0000007	id586421	id-LOC105235261, id-LOC117800014, id-LOC105235222, id-LOC109488764, id-LOC117798827, id-LOC117798806, id-LOC117798740, id-LOC100482805, id-LOC117798506
OG0000008	rna50995	rna-XM_002930205.2
OG0000008	rna53627	rna-XM_002928529.4
OG0000008	rna28180	rna-XM_034660139.1
OG0000008	rna28001	rna-XM_019807840.2
OG0000008	rna46274	rna-XM_002919851.4, rna-XM_034651202.1, rna-XM_034667222.1, rna-XM_034651932.1, rna-XM_034651961.1
OG0000008	rna26023	rna-XM_002926695.4
OG0000010	rna46027	rna-XM_011218081.2
