Orthogroup	ailMel.longCDS.prots	ursArc.longCDS.prots
OG0000000	rna-XM_034655739.1	rna50998
OG0000000	rna-XM_011216961.3	rna50997
OG0000000	rna-XM_011236404.3	rna28162
OG0000000	rna-XM_034660129.1	rna28155, rna28182
OG0000000	rna-XM_002928532.4, rna-XM_034660128.1, rna-XM_002928555.4	rna28153
OG0000000	rna-XM_034660114.1	rna28165
OG0000000	rna-XM_034660127.1	rna27999
OG0000000	rna-XM_034660130.1	rna27994
OG0000000	rna-XM_034643200.1	rna49036
OG0000000	rna-XM_034643203.1	rna27987
OG0000001	rna-XM_002927085.3	rna53625, rna27992
OG0000001	rna-XM_002930225.4	rna49035
OG0000001	rna-XM_034655740.1	rna28164, rna50996
OG0000001	rna-XM_002927091.4	rna28000
OG0000001	rna-XM_002928374.4	rna17906
OG0000001	rna-XM_002928522.4	rna28181
OG0000001	rna-XM_034660125.1, rna-XM_034660122.1	rna28160
OG0000001	rna-XM_034660124.1	rna28154
OG0000004	rna-XM_002930681.2	rna53558
OG0000004	rna-XM_002930991.2	rna54159, rna15697
OG0000004	rna-XM_002930684.4	rna53427
OG0000004	rna-XM_002931108.3	rna53555
OG0000004	rna-XM_011217111.2	rna53429, rna17047
OG0000004	rna-XM_002930680.3	rna53430
OG0000004	rna-XM_034653006.1, rna-XM_002930683.2	rna53433
OG0000004	rna-XM_002930678.2	rna53432
OG0000004	rna-XM_034646480.1	rna17039
OG0000004	rna-XM_011218059.3	rna53556
OG0000004	rna-XM_002930906.1	rna15688
OG0000004	rna-XM_034643050.1	rna53434
OG0000004	rna-XM_034646201.1	rna53557
OG0000005	rna-XM_002923243.4	rna17236, rna17235
OG0000005	rna-XM_002923246.4	rna17218
OG0000005	rna-XM_011229901.3	rna17229
OG0000005	rna-XM_002923244.4	rna17233
OG0000005	rna-XM_011229902.3	rna17232
OG0000005	rna-XM_011229956.3	rna17230
OG0000007	id-LOC117799039	id586842
OG0000007	id-LOC105235261, id-LOC117800014, id-LOC105235222, id-LOC109488764, id-LOC117798827, id-LOC117798806, id-LOC117798740, id-LOC100482805, id-LOC117798506	id586421
OG0000008	rna-XM_002930205.2	rna50995
OG0000008	rna-XM_002928529.4	rna53627
OG0000008	rna-XM_034660139.1	rna28180
OG0000008	rna-XM_019807840.2	rna28001
OG0000008	rna-XM_002919851.4, rna-XM_034651202.1, rna-XM_034667222.1, rna-XM_034651932.1, rna-XM_034651961.1	rna46274
OG0000008	rna-XM_002926695.4	rna26023
OG0000010	rna-XM_011218081.2	rna46027
OG0000010	rna-XM_034652615.1, rna-XM_034652531.1, rna-XM_034652566.1, rna-XM_034652623.1, rna-XM_034652706.1, rna-XM_034652843.1	rna19888
OG0000010	rna-XM_011218625.3	rna19708
OG0000010	rna-XM_002921486.4	rna4301
OG0000010	rna-XM_034661201.1	rna41988
OG0000010	rna-XM_002926067.1	rna14004
OG0000010	rna-XM_034652944.1, rna-XM_034652886.1, rna-XM_034652776.1, rna-XM_034650917.1	rna34192
OG0000011	rna-XM_002928416.4	rna595
OG0000011	rna-XM_011223454.3	rna25400
OG0000011	rna-XM_034643534.1	rna35087
OG0000011	rna-XM_002920297.4	rna28901
OG0000011	rna-XM_034671255.1	rna38102
OG0000011	rna-XM_019808018.2	rna33950
OG0000011	rna-XM_002919539.4	rna35080
OG0000011	rna-XM_034661964.1	rna11734
OG0000011	rna-XM_034661745.1	rna1414
OG0000011	rna-XM_002925177.4	rna5586
OG0000011	rna-XM_034657115.1	rna614
OG0000012	rna-XM_002923997.4	rna21330
OG0000014	rna-XM_002915516.4	rna19471
OG0000014	rna-XM_011225512.1, rna-XM_034660394.1, rna-XM_034639053.1	rna8645
OG0000014	rna-XM_002926120.4	rna52474, rna52413
OG0000014	rna-XM_034657626.1	rna43230
OG0000014	rna-XM_034660444.1	rna28285
OG0000015	rna-XM_034657834.1	rna50405
OG0000015	rna-XM_019801541.2	rna50403
OG0000015	rna-XM_011217345.3	rna50401
OG0000015	rna-XM_019793332.2	rna43550
OG0000017	rna-XM_011217917.3	rna54146, rna49037, rna53628
OG0000017	rna-XM_002928543.4, rna-XM_034660134.1	rna27997, rna27998
OG0000017	rna-XM_034660133.1	rna17907
OG0000018	rna-XM_002929137.4	rna23760, rna23764
OG0000018	rna-XM_034653247.1	rna23772
OG0000018	rna-XM_002929136.4	rna23765
OG0000018	rna-XM_019809817.2	rna23766
OG0000018	rna-XM_011237719.2	rna23773
OG0000018	rna-XM_034653321.1	rna23721
OG0000018	rna-XM_011234385.2	rna23722
OG0000018	rna-XM_011237132.2	rna23726, rna23759
OG0000019	rna-XM_002930584.4, rna-XM_002930586.4	rna52172, rna52170
OG0000019	rna-XM_002930589.3	rna52169
OG0000019	rna-XM_002931130.2	rna36111
OG0000019	rna-XM_034653121.1	rna36118, rna36113
OG0000019	rna-XM_002930588.1	rna52177
OG0000019	rna-XM_011217418.3	rna52173, rna52174, rna52175
OG0000020	rna-XM_002928225.4	rna49453
OG0000020	rna-XM_002928232.4	rna49452
OG0000020	rna-XM_011229262.2	rna49447
OG0000020	rna-XM_002922702.2	rna49448
OG0000020	rna-XM_002930995.2	rna49451
OG0000020	rna-XM_002930993.3	rna49450
OG0000020	rna-XM_034651828.1, rna-XM_002928233.2	rna49449, rna54112, rna54114
OG0000020	rna-XM_002930994.4	rna54368
OG0000020	rna-XM_002930997.4	rna54113, rna54111
OG0000021	rna-XM_002929574.4	rna21975
OG0000021	rna-XM_034663707.1	rna21976
OG0000021	rna-XM_002918886.2	rna22144
OG0000021	rna-XM_019799304.2	rna22145, rna22141
OG0000021	rna-XM_011237621.3	rna21969
OG0000021	rna-XM_034663708.1	rna21974
OG0000022	rna-XM_034639175.1	rna50577
OG0000022	rna-XM_034639072.1	rna50748
OG0000022	rna-XM_034639071.1	rna50752
OG0000022	rna-XM_034650316.1	rna54429
OG0000023	id-LOC117797917	id578932
OG0000023	id-LOC117797864, id-LOC105235206	id578916
OG0000023	id-LOC105235235, id-LOC117797938, id-LOC117797786, id-LOC117797812, id-LOC117798016, id-LOC117798015, id-LOC117800354	id578935
OG0000023	id-LOC117797799	id578940
OG0000024	rna-XM_002930630.3	rna53530
OG0000024	rna-XM_002930631.2	rna53528
OG0000024	rna-XM_019793192.2	rna28978
OG0000024	rna-XM_034645999.1	rna49286
OG0000025	id-LOC105240638	id21172, id21165
OG0000025	id-LOC105234960	id21155
OG0000025	rna-XM_034665944.1	id21135
OG0000025	rna-XM_034665897.1	id21121
OG0000025	id-LOC105234754	id21096
OG0000025	id-LOC105234752	id21106
OG0000025	id-LOC105234544	id21152
OG0000025	id-LOC109488456	rna1861
OG0000025	id-LOC117795072	id21144
OG0000026	rna-XM_019808319.2	rna33309
OG0000026	rna-XM_019799401.2	rna16336
OG0000026	rna-XM_034643547.1	rna2419
OG0000026	rna-XM_034641543.1	rna46136
OG0000026	rna-XM_034647281.1	rna39505
OG0000026	rna-XM_034659452.1	rna4194
OG0000026	rna-XM_034667630.1	rna26004
OG0000026	rna-XM_034642450.1	rna6119
OG0000026	rna-XM_034658502.1	rna16452
OG0000027	rna-XM_034667730.1	rna52185
OG0000027	rna-XM_002926087.4	rna52184
OG0000027	rna-XM_034667616.1	rna52183
OG0000027	rna-XM_019794055.2	rna52181
OG0000027	rna-XM_034652629.1, rna-XM_002930581.3	rna52180
OG0000027	rna-XM_011217419.3	rna52179
OG0000027	rna-XM_002930582.2	rna54345, rna54346
OG0000027	rna-XM_002930587.4	rna52178
OG0000028	rna-XM_019802703.2	rna30039
OG0000028	rna-XM_034641051.1	rna30038
OG0000028	rna-XM_002922160.4	rna30036
OG0000028	rna-XM_034639721.1	rna30072
OG0000028	rna-XM_034640779.1	rna30032
OG0000028	rna-XM_034640778.1	rna30033
OG0000028	rna-XM_002922161.4	rna30034
OG0000028	rna-XM_002922114.4	rna30035
OG0000029	rna-XM_002930847.3	rna17463
OG0000029	rna-XM_002927215.3	rna17456
OG0000029	rna-XM_002927219.2	rna17461
OG0000029	rna-XM_002927216.2	rna17458
OG0000029	rna-XM_002927214.4	rna17454
OG0000029	rna-XM_002927208.2	rna17457
OG0000029	rna-XM_002930846.2, rna-XM_034644782.1	rna17464
OG0000029	rna-XM_002929995.3	rna17466
OG0000029	rna-XM_011216694.3	rna17465
OG0000029	rna-XM_002927218.2	rna17460
OG0000030	rna-XM_034650186.1	rna53586
OG0000030	rna-XM_002926085.4, rna-XM_011217984.2, rna-XM_002931045.2	rna54379
OG0000030	rna-XM_034650187.1	rna53584
OG0000030	rna-XM_034650081.1	rna53587
OG0000030	rna-XM_002931189.2	rna36079
OG0000030	rna-XM_002931242.4, rna-XM_034650891.1	rna36083
OG0000030	rna-XM_011218101.2	rna53585
OG0000030	rna-XM_002931090.2	rna36078
OG0000031	rna-XM_002930608.4	rna15707, rna15706, rna15705
OG0000031	rna-XM_034657195.1	rna15708
OG0000031	rna-XM_034657197.1	rna15709
OG0000031	rna-XM_002930606.4	rna15703
OG0000031	rna-XM_002930716.3	rna15710
OG0000031	rna-XM_002930605.4	rna15704
OG0000032	rna-XM_002931096.4	rna27978
OG0000032	rna-XM_034653441.1	rna52160
OG0000032	rna-XM_002930755.3	rna51012
OG0000033	rna-XM_034642847.1	rna11023
OG0000033	rna-XM_019802760.2	rna22730
OG0000033	rna-XM_034657064.1	rna22733
OG0000033	rna-XM_002917048.2	rna22736
OG0000033	rna-XM_002919906.4	rna22740
OG0000033	rna-XM_034657062.1	rna22735
OG0000033	rna-XM_002924875.4	rna11080
OG0000033	rna-XM_034641584.1	rna19256
OG0000034	rna-XM_034660159.1, rna-XM_034651690.1	rna53550
OG0000034	rna-XM_002931255.4	rna42023
OG0000034	rna-XM_002930302.1	rna42022
OG0000034	rna-XM_002930301.3	rna42021
OG0000034	rna-XM_002930300.3	rna42020
OG0000034	rna-XM_002930303.2, rna-XM_011218319.2	rna53549
OG0000034	rna-XM_011217079.3	rna42019
OG0000034	rna-XM_002930299.2	rna42018
OG0000034	rna-XM_011217953.2	rna53695
OG0000035	rna-XM_002921817.2	rna3262
OG0000035	rna-XM_034653915.1	rna3265
OG0000035	rna-XM_002921829.4	rna3264
OG0000035	rna-XM_002921816.2	rna3263
OG0000036	rna-XM_034651676.1	rna44240
OG0000036	rna-XM_019804162.2	rna45780
OG0000036	rna-XM_034667301.1	rna49690
OG0000036	rna-XM_034667296.1	rna49689
OG0000036	rna-XM_034664929.1	rna6815
OG0000036	rna-XM_034638257.1	rna46542
OG0000037	id-LOC105234852	id583479
OG0000037	id-LOC117797997	id578889
OG0000037	id-LOC105235063	id583832
OG0000037	id-LOC117797993	id582746
OG0000038	rna-XM_011216996.2	rna49281
OG0000038	rna-XM_034646065.1	rna49279
OG0000039	rna-XM_034670040.1, rna-XM_034660420.1, rna-XM_034652147.1, rna-XM_034652067.1, rna-XM_034652640.1, rna-XM_034651468.1, rna-XM_034652149.1, rna-XM_034651913.1, rna-XM_034651917.1, rna-XM_034641559.1, rna-XM_034652439.1, rna-XM_034662592.1	rna23173
OG0000039	rna-XM_034650077.1, rna-XM_034652899.1, rna-XM_002913271.4, rna-XM_034651557.1, rna-XM_034651560.1, rna-XM_034651456.1, rna-XM_034652425.1, rna-XM_034650499.1, rna-XM_034651670.1, rna-XM_034651746.1, rna-XM_034650853.1	rna19556
OG0000040	rna-XM_034654035.1	rna46795
OG0000040	rna-XM_011223692.3	rna2031
OG0000040	rna-XM_002919208.4	rna46794
OG0000040	rna-XM_002920527.4	rna16233
OG0000040	rna-XM_002918261.4	rna2035
OG0000040	rna-XM_011231771.3	rna8956
OG0000040	rna-XM_011226623.3	rna16235
OG0000041	rna-XM_034645235.1, rna-XM_034654505.1	rna29398
OG0000041	rna-XM_034652654.1, rna-XM_002928987.4	rna17819
OG0000041	rna-XM_011233500.3	rna29397
OG0000041	rna-XM_002915119.4	rna20920
OG0000042	rna-XM_034643019.1	rna49235, rna49160
OG0000042	rna-XM_011216931.3, rna-XM_034652303.1, rna-XM_034652085.1, rna-XM_034672111.1, rna-XM_034650288.1, rna-XM_034651989.1, rna-XM_034652683.1, rna-XM_034650510.1	rna21395
OG0000042	rna-XM_019793821.2	rna44597
OG0000042	rna-XM_002931069.4	rna54433, rna54432
OG0000043	rna-XM_002930259.2, rna-XM_034653250.1	rna23776, rna23770
OG0000043	rna-XM_002930261.2	rna23779
OG0000043	rna-XM_002930260.4	rna23778
OG0000043	rna-XM_019793089.2	rna23777
OG0000043	rna-XM_002929675.2	rna23771
OG0000043	rna-XM_002929677.2	rna23775
OG0000043	rna-XM_011237720.3	rna23769
OG0000046	rna-XM_011217598.3	rna49758
OG0000046	rna-XM_034667338.1	rna53866
OG0000046	rna-XM_034667335.1	rna49764
OG0000046	rna-XM_034667339.1	rna49766
OG0000046	rna-XM_019793557.2	rna49760
OG0000046	rna-XM_019793558.2	rna49762
OG0000047	rna-XM_002927275.4	rna49727
OG0000047	rna-XM_011234811.3	rna49723
OG0000047	rna-XM_002930742.4, rna-XM_034667681.1	rna53994, rna53991
OG0000047	rna-XM_034667322.1	rna49725
OG0000047	rna-XM_011237480.3, rna-XM_011237481.2, rna-XM_034650114.1	rna49721
OG0000048	rna-XM_034668519.1, rna-XM_034668467.1	rna630
OG0000048	rna-XM_034650367.1	rna632
OG0000048	rna-XM_011217727.2	rna629
OG0000048	rna-XM_034668363.1	rna628
OG0000048	rna-XM_019793614.2	rna631
OG0000048	rna-XM_034650851.1, rna-XM_034650336.1	rna634
OG0000048	rna-XM_034651954.1, rna-XM_034664280.1	rna54435, rna54434
OG0000049	rna-XM_002931217.2	rna23789, rna23790
OG0000049	rna-XM_034653262.1	rna23792
OG0000049	rna-XM_034653263.1	rna23791
OG0000049	rna-XM_034653274.1	rna23788
OG0000049	rna-XM_002929840.2	rna23781, rna23782
OG0000050	rna-XM_011228336.2	rna43371
OG0000050	rna-XM_002921919.4	rna43369
OG0000050	rna-XM_034657224.1	rna43370
OG0000050	rna-XM_002921920.4	rna43368
OG0000050	rna-XM_002921925.4	rna43364
OG0000050	rna-XM_002921926.4	rna43363
OG0000050	rna-XM_002921922.4	rna43365, rna43367
OG0000051	rna-XM_034648398.1	rna30048
OG0000051	rna-XM_034641239.1	rna53878
OG0000051	rna-XM_034648682.1	rna53877
OG0000051	rna-XM_002922111.4	rna30042
OG0000051	rna-XM_002922113.4	rna30040
OG0000051	rna-XM_002922112.4	rna30041
OG0000052	rna-XM_019805397.2, rna-XM_034639499.1	rna51964
OG0000052	rna-XM_034650411.1, rna-XM_019807812.2	rna51867
OG0000053	rna-XM_034660461.1, rna-XM_034660207.1	rna28329
OG0000053	rna-XM_034661690.1	rna44520, rna44879
OG0000053	rna-XM_034653258.1	rna54408, rna53752
OG0000055	rna-XM_034663715.1	rna31319
OG0000055	rna-XM_002930671.2	rna31321
OG0000055	rna-XM_019793497.2	rna31318
OG0000055	rna-XM_002931256.2	rna31316
OG0000055	rna-XM_002931317.4	rna31315
OG0000055	rna-XM_034664456.1	rna31320
OG0000056	rna-XM_034666171.1, rna-XM_034650117.1	rna54171, rna52182, rna54046
OG0000056	rna-XM_002924985.4	rna48309
OG0000057	rna-XM_019793500.2	rna31322
OG0000057	rna-XM_034653272.1	rna31314
OG0000057	rna-XM_002915958.4	rna54078, rna54077, rna31313
OG0000057	rna-XM_002915959.2	rna31312
OG0000057	rna-XM_002930725.3	rna31331
OG0000057	rna-XM_002930728.3	rna31333, rna31332
OG0000058	rna-XM_002926106.4, rna-XM_034667610.1	rna52232
OG0000058	rna-XM_002926105.4	rna52231
OG0000058	rna-XM_002926107.1	rna52233
OG0000058	rna-XM_011233431.2	rna52234
OG0000058	rna-XM_002926082.2	rna54365, rna54366
OG0000058	rna-XM_002926083.3	rna52235
OG0000059	rna-XM_034639057.1	rna50576, rna53438, rna53884
OG0000059	rna-XM_034639104.1	rna53440, rna53961, rna53960, rna50746
OG0000060	rna-XM_002931011.2	rna36129
OG0000060	rna-XM_002931213.4	rna36130
OG0000060	rna-XM_002928570.2	rna36136
OG0000060	rna-XM_034666461.1	rna36117
OG0000060	rna-XM_034650104.1	rna36124
OG0000060	rna-XM_002931013.4	rna36116, rna36125
OG0000061	rna-XM_002930731.4	rna53839, rna54457, rna53841, rna54456, rna53838, rna53840, rna53833
OG0000062	rna-XM_002926097.2	rna52214
OG0000062	rna-XM_034666467.1	rna52192
OG0000062	rna-XM_011233415.1	rna52193
OG0000063	id-LOC117797716	id581358
OG0000065	rna-XM_011236154.3	rna46756
OG0000065	rna-XM_002920437.4	rna18206
OG0000065	rna-XM_002928302.3	rna46750
OG0000065	rna-XM_002920436.4	rna18205
OG0000065	rna-XM_034638981.1	rna43873
OG0000065	rna-XM_011226481.3	rna18208
OG0000066	rna-XM_034665468.1	rna7696
OG0000066	rna-XM_002925583.4	rna40556
OG0000066	rna-XM_034642590.1	rna5529
OG0000066	rna-XM_034655281.1	rna5530
OG0000066	rna-XM_034650007.1	rna40555
OG0000066	rna-XM_034665466.1	rna7697
OG0000067	rna-XM_011218801.3	rna14832
