Orthogroup	ursMar.longCDS.prots	ursArc.longCDS.prots
OG0000000	rna31143	rna50998
OG0000000	rna31144	rna50997
OG0000000	rna13971	rna28161
OG0000000	rna13959	rna28162
OG0000000	rna13977	rna28155
OG0000000	rna17077, rna13950, rna13968, rna13964, rna14132, rna13965, rna14128	rna28153
OG0000000	rna13979	rna53629
OG0000000	rna13967	rna53624
OG0000000	rna14141	rna54503, rna54501
OG0000000	rna14135	rna27994
OG0000000	rna14136	rna27993
OG0000000	rna17073	rna49036
OG0000001	rna14140	rna53625
OG0000001	rna17076	rna49035
OG0000001	rna31145	rna50996
OG0000001	rna14131	rna28000
OG0000001	rna13927	rna28209
OG0000001	rna29797	rna17906
OG0000001	rna13941	rna28183
OG0000001	rna13944	rna28181
OG0000001	rna13974, rna13978	rna28160, rna28154
OG0000001	rna14134	rna28002
OG0000003	rna34809, rna34814, rna34811, rna34813, rna34810, rna29099, rna34233, rna10368, rna34807, rna34801, rna34227, rna34239, rna34243, rna29102, rna35156, rna36300, rna36287, rna35158, rna35155, rna34235, rna34232, rna34236, rna29100, rna34229, rna36304, rna34242, rna34241, rna34244, rna34223, rna34222, rna34234, rna34808, rna34806, rna34225, rna34803, rna34804, rna34802, rna36301, rna36305, rna34240, rna34228, rna34226, rna35153, rna36293, rna34570, rna36299, rna35154, rna36289, rna36295, rna36294, rna36302, rna35150, rna36296, rna35157, rna34231, rna34221, rna34569, rna34805, rna36297, rna36288, rna34247, rna34246, rna34245, rna29101, rna34224, rna35152, rna36292, rna36291, rna36290, rna34237, rna34238, rna36298, rna36303	rna50545
OG0000004	rna34708, rna34710	rna53558
OG0000004	rna35068	rna54159
OG0000004	rna36031	rna15697
OG0000004	rna36033, rna11496	rna53427
OG0000004	rna11497, rna33550, rna33551	rna53428
OG0000004	rna34712	rna53555
OG0000004	rna11498	rna53429
OG0000004	rna34721	rna17047
OG0000004	rna36035	rna53431
OG0000004	rna36034	rna53430
OG0000004	rna33118, rna36036, rna33062	rna53433
OG0000004	rna34713	rna17039
OG0000004	rna34711	rna53556
OG0000004	rna31209, rna32367	rna15688
OG0000004	rna33063	rna53434
OG0000004	rna34707	rna53557
OG0000005	rna27074	rna17236
OG0000005	rna27072	rna17235
OG0000005	rna27075	rna17234
OG0000005	rna27082	rna17225
OG0000005	rna27083	rna17224
OG0000005	rna27081	rna17226
OG0000005	rna27084	rna17223
OG0000005	rna27087	rna17220
OG0000005	rna27086	rna17221
OG0000005	rna27089	rna17218
OG0000005	rna27080	rna17229
OG0000005	rna27076	rna17233
OG0000005	rna27078	rna17232
OG0000005	rna27079	rna17230
OG0000005	rna27088	rna17219
OG0000005	rna27070	rna17238
OG0000005	rna27071	rna17237
OG0000008	rna31146	rna50995
OG0000008	rna13976	rna53627
OG0000008	rna14961	rna46274
OG0000008	rna1689	rna26023
OG0000010	rna15116	rna46027
OG0000010	rna32395	rna19888
OG0000010	rna10087	rna19708
OG0000010	rna21985	rna4301
OG0000010	rna12158	rna14004
OG0000011	rna2734	rna595
OG0000011	rna23628	rna25400
OG0000011	rna15926	rna35087
OG0000011	rna27479	rna28901
OG0000011	rna16024	rna38102
OG0000011	rna20231	rna33950
OG0000011	rna15920	rna35080
OG0000011	rna3219	rna11734
OG0000011	rna27723	rna1414
OG0000011	rna11074	rna5586
OG0000011	rna10128	rna614
OG0000012	rna8369	rna21332
OG0000012	rna8370	rna21330
OG0000013	rna12271	rna24512
OG0000014	rna21258	rna19471
OG0000014	rna13874	rna28285
OG0000015	rna34916	rna50405
OG0000015	rna34918	rna50401
OG0000015	rna30920	rna43550
OG0000017	rna14047	rna54146, rna49037
OG0000017	rna29792	rna27997, rna27998
OG0000017	rna13939	rna54144
OG0000018	rna33298	rna23760, rna23764
OG0000018	rna32863	rna23763
OG0000018	rna33290	rna23772
OG0000018	rna33297	rna23765
OG0000018	rna33296	rna23766
OG0000018	rna32870	rna23754
OG0000018	rna33289	rna23773
OG0000018	rna32909	rna23721
OG0000018	rna32906	rna23722
OG0000018	rna32902	rna23725
OG0000018	rna32901	rna23726
OG0000018	rna32864	rna23759
OG0000019	rna32549, rna32547	rna52172, rna52170
OG0000019	rna33770	rna36109
OG0000019	rna32546	rna52169
OG0000019	rna33764, rna33767	rna36111
OG0000019	rna33769	rna36110
OG0000019	rna33757	rna36118
OG0000019	rna33765	rna36113
OG0000019	rna32554	rna52177
OG0000019	rna32550	rna52173
OG0000019	rna32551	rna52174
OG0000019	rna32552	rna52175
OG0000020	rna15377	rna49453
OG0000020	rna15376	rna49452
