Orthogroup	ursMar.longCDS.prots	ursAme.longCDS.prots
OG0000000	rna31143	transcript_ENSUAMT00000019106
OG0000000	rna31144	transcript_ENSUAMT00000019134
OG0000000	rna13971	transcript_ENSUAMT00000015980
OG0000000	rna13977	transcript_ENSUAMT00000016033
OG0000000	rna17077, rna13950, rna13968, rna13964, rna14132, rna13965, rna14128	transcript_ENSUAMT00000023255
OG0000000	rna13979	transcript_ENSUAMT00000015946
OG0000000	rna13960	transcript_ENSUAMT00000007162
OG0000000	rna13967	transcript_ENSUAMT00000037805
OG0000000	rna14141	transcript_ENSUAMT00000032583
OG0000000	rna14043	transcript_ENSUAMT00000037774
OG0000000	rna14135	transcript_ENSUAMT00000007414
OG0000000	rna17073	transcript_ENSUAMT00000032553
OG0000001	rna14140	transcript_ENSUAMT00000007156, transcript_ENSUAMT00000007424
OG0000001	rna17076	transcript_ENSUAMT00000032586
OG0000001	rna31145	transcript_ENSUAMT00000019173
OG0000001	rna14051	transcript_ENSUAMT00000037783
OG0000001	rna13927	transcript_ENSUAMT00000024894
OG0000001	rna29797	transcript_ENSUAMT00000003994
OG0000001	rna17071	transcript_ENSUAMT00000032539
OG0000001	rna13974, rna13978	transcript_ENSUAMT00000015993
OG0000001	rna14129	transcript_ENSUAMT00000037808
OG0000004	rna34708, rna34710	transcript_ENSUAMT00000031540
OG0000004	rna33063	transcript_ENSUAMT00000005444
OG0000005	rna27074	transcript_ENSUAMT00000033482
OG0000005	rna27075	transcript_ENSUAMT00000033443
OG0000005	rna27082	transcript_ENSUAMT00000033412
OG0000005	rna27083	transcript_ENSUAMT00000033409
OG0000005	rna27081	transcript_ENSUAMT00000033416
OG0000005	rna27087	transcript_ENSUAMT00000023409
OG0000005	rna27089	transcript_ENSUAMT00000023405
OG0000005	rna27080	transcript_ENSUAMT00000033418
OG0000005	rna27076	transcript_ENSUAMT00000033436
OG0000005	rna27078	transcript_ENSUAMT00000033430
OG0000005	rna27079	transcript_ENSUAMT00000033423
OG0000005	rna27088	transcript_ENSUAMT00000023408
OG0000005	rna27070	transcript_ENSUAMT00000033490
OG0000005	rna27071	transcript_ENSUAMT00000033486
OG0000008	rna31146	transcript_ENSUAMT00000007148
OG0000008	rna13976	transcript_ENSUAMT00000006934
OG0000008	rna14961	transcript_ENSUAMT00000028299
OG0000009	rna12287	transcript_ENSUAMT00000000264
OG0000009	rna12286	transcript_ENSUAMT00000000258
OG0000009	rna12298	transcript_ENSUAMT00000038691
OG0000009	rna12295	transcript_ENSUAMT00000000091
OG0000009	rna12294	transcript_ENSUAMT00000000106
OG0000009	rna12293	transcript_ENSUAMT00000000252, transcript_ENSUAMT00000000236
OG0000009	rna12290	transcript_ENSUAMT00000000212
OG0000010	rna15116	transcript_ENSUAMT00000024025
OG0000010	rna10087	transcript_ENSUAMT00000020237
OG0000010	rna21985	transcript_ENSUAMT00000026542
OG0000010	rna9959, rna24486, rna21508	transcript_ENSUAMT00000034306
OG0000011	rna2734	transcript_ENSUAMT00000026388
OG0000011	rna15926	transcript_ENSUAMT00000029313
OG0000011	rna27479	transcript_ENSUAMT00000010101
OG0000011	rna16024	transcript_ENSUAMT00000020782
OG0000011	rna20231	transcript_ENSUAMT00000041262
OG0000011	rna3219	transcript_ENSUAMT00000033609
OG0000011	rna27723	transcript_ENSUAMT00000027468
OG0000011	rna11074	transcript_ENSUAMT00000040423
OG0000011	rna10128	transcript_ENSUAMT00000005777
OG0000012	rna8361	transcript_ENSUAMT00000022808
OG0000012	rna35637, rna35635	transcript_ENSUAMT00000020829
OG0000012	rna35638	transcript_ENSUAMT00000034590
OG0000012	rna8358, rna35629, rna35630, rna8357, rna35631	transcript_ENSUAMT00000007107
OG0000012	rna35633	transcript_ENSUAMT00000007104
OG0000012	rna35632, rna35636	transcript_ENSUAMT00000034073
OG0000012	rna8360	transcript_ENSUAMT00000022805
OG0000012	rna8359	transcript_ENSUAMT00000022804
OG0000012	rna35639	transcript_ENSUAMT00000034591, transcript_ENSUAMT00000004903
OG0000012	rna35647	transcript_ENSUAMT00000019105
OG0000012	rna35646, rna35645	transcript_ENSUAMT00000019103, transcript_ENSUAMT00000019100
OG0000012	rna35644	transcript_ENSUAMT00000006680
OG0000012	rna8368	transcript_ENSUAMT00000024271
OG0000012	rna8369	transcript_ENSUAMT00000024269
OG0000012	rna8370	transcript_ENSUAMT00000024261
OG0000013	rna12267	transcript_ENSUAMT00000000807, transcript_ENSUAMT00000000800
OG0000013	rna12269	transcript_ENSUAMT00000000911
OG0000013	rna12265	transcript_ENSUAMT00000000681
OG0000013	rna12266	transcript_ENSUAMT00000000787
OG0000013	rna12264	transcript_ENSUAMT00000041696
OG0000013	rna12268	transcript_ENSUAMT00000000824
OG0000013	rna12271	transcript_ENSUAMT00000000748
OG0000013	rna12270	transcript_ENSUAMT00000003467
OG0000013	rna12262	transcript_ENSUAMT00000000770
OG0000014	rna21258	transcript_ENSUAMT00000031792
OG0000014	rna13874	transcript_ENSUAMT00000038478
OG0000014	rna25038, rna24281, rna26712, rna34477	transcript_ENSUAMT00000021786
OG0000015	rna34916	transcript_ENSUAMT00000028161
OG0000015	rna34918	transcript_ENSUAMT00000036480
OG0000015	rna34917	transcript_ENSUAMT00000025350
OG0000017	rna14047	transcript_ENSUAMT00000037780
OG0000017	rna29792	transcript_ENSUAMT00000023276, transcript_ENSUAMT00000003983, transcript_ENSUAMT00000015959
OG0000018	rna33298	transcript_ENSUAMT00000003234, transcript_ENSUAMT00000000709
OG0000018	rna32863	transcript_ENSUAMT00000021549
OG0000018	rna33296	transcript_ENSUAMT00000006759
OG0000018	rna32870	transcript_ENSUAMT00000007651
OG0000018	rna33289	transcript_ENSUAMT00000025226
OG0000018	rna32906	transcript_ENSUAMT00000034544
OG0000018	rna32864	transcript_ENSUAMT00000014575
OG0000019	rna32549, rna32547, rna33770	transcript_ENSUAMT00000000079
OG0000019	rna32546	transcript_ENSUAMT00000030903
OG0000019	rna33764	transcript_ENSUAMT00000036482
OG0000019	rna33767	transcript_ENSUAMT00000036485
OG0000019	rna33769	transcript_ENSUAMT00000002262
OG0000019	rna33757, rna33765	transcript_ENSUAMT00000036483
OG0000019	rna32554	transcript_ENSUAMT00000004193, transcript_ENSUAMT00000003296, transcript_ENSUAMT00000000542
OG0000019	rna32550, rna32551	transcript_ENSUAMT00000016673
OG0000019	rna32552	transcript_ENSUAMT00000003328
OG0000020	rna15377	transcript_ENSUAMT00000036817
OG0000020	rna15376	transcript_ENSUAMT00000036818
OG0000020	rna15368	transcript_ENSUAMT00000036834
OG0000020	rna15373	transcript_ENSUAMT00000036829
OG0000020	rna15372	transcript_ENSUAMT00000036831
OG0000020	rna15369, rna15370	transcript_ENSUAMT00000036833
OG0000020	rna15374	transcript_ENSUAMT00000036826
