Orthogroup	ailMel.longCDS.prots	homSap.longCDS.prots	ursAme.longCDS.prots	ursArc.longCDS.prots	ursMar.longCDS.prots
OG0017749	rna-XM_034651633.1				
OG0017750	rna-XM_034651814.1				
OG0017751	rna-XM_034651786.1				
OG0017752	rna-XM_034651411.1				
OG0017753	rna-XM_034651339.1				
OG0017754	rna-XM_034644962.1				
OG0017755	rna-XM_034645113.1				
OG0017756	rna-XM_034645175.1				
OG0017757	rna-XM_034649037.1				
OG0017758	rna-XM_034649232.1				
OG0017759	rna-XM_034645209.1				
OG0017760	rna-XM_034648305.1				
OG0017761	rna-XM_002927411.3				
OG0017762	rna-XM_034655036.1				
OG0017763	rna-XM_034653071.1				
OG0017764	rna-XM_034653614.1				
OG0017765	rna-XM_034641386.1				
OG0017766	rna-XM_034653655.1				
OG0017767	rna-XM_019797168.2				
OG0017768	rna-XM_034654115.1				
OG0017769	rna-XM_034641766.1				
OG0017770	rna-XM_034644812.1				
OG0017771	rna-XM_034654212.1				
OG0017772	rna-XM_034654224.1				
OG0017773	rna-XM_034654247.1				
OG0017774	rna-XM_019799725.2				
OG0017775	rna-XM_002930845.3				
OG0017776	rna-XM_034654406.1				
OG0017777	rna-XM_034654421.1				
OG0017778	rna-XM_034642082.1				
OG0017779	rna-XM_034642100.1				
OG0017780	rna-XM_034642167.1				
OG0017781	rna-XM_034642199.1				
OG0017782	rna-XM_034642287.1				
OG0017783	rna-XM_034642350.1				
OG0017784	rna-XM_034644329.1				
OG0017785	rna-XM_034644375.1				
OG0017786	rna-XM_034644437.1				
OG0017787	rna-XM_034642504.1				
OG0017788	rna-XM_034642595.1				
OG0017789	rna-XM_034642628.1				
OG0017790	rna-XM_034655388.1				
OG0017791	rna-XM_034655447.1				
OG0017792	rna-XM_034655497.1				
OG0017793	rna-XM_034655539.1				
OG0017794	rna-XM_034642740.1				
OG0017795	rna-XM_034651760.1				
OG0017796	rna-XM_034652438.1				
OG0017797	rna-XM_034652894.1				
OG0017798	rna-XM_034651172.1				
OG0017799	rna-XM_034653001.1				
OG0017800	rna-XM_034653521.1				
OG0017801	rna-XM_034651234.1				
OG0017802	rna-XM_034650647.1				
OG0017803	rna-XM_034650648.1				
OG0017804	rna-XM_011218359.3				
OG0017805	rna-XM_034650676.1				
OG0017806	rna-XM_034650677.1				
OG0017807	rna-XM_034652332.1				
OG0017808	rna-XM_034652281.1				
OG0017809	rna-XM_034651191.1				
OG0017810	rna-XM_034653054.1				
OG0017811	rna-XM_034651250.1				
OG0017812	rna-XM_034652021.1				
OG0017813	rna-XM_011217639.3				
OG0017814	rna-XM_034652773.1				
OG0017815	rna-XM_034638799.1				
OG0017816	rna-XM_034637924.1				
OG0017817	rna-XM_034637960.1				
OG0017818	rna-XM_034638123.1				
OG0017819	rna-XM_034638874.1				
OG0017820	rna-XM_034639552.1				
OG0017821	rna-XM_034638063.1				
OG0017822	rna-XM_034639547.1				
OG0017823	rna-XM_019792598.1				
OG0017824	rna-XM_034638985.1				
OG0017825	rna-XM_034672815.1				
OG0017826	rna-XM_034638990.1				
OG0017827	rna-XM_034637856.1				
OG0017828	rna-XM_034639006.1				
OG0017829	rna-XM_034639007.1				
OG0017830	rna-XM_034672305.1				
OG0017831	rna-XM_034639011.1				
OG0017832	rna-XM_034639012.1				
OG0017833	rna-XM_034638023.1				
OG0017834	rna-XM_019806547.2				
OG0017835	rna-XM_002914224.4				
OG0017836	rna-XM_034639025.1				
OG0017837	rna-XM_034639027.1				
OG0017838	rna-XM_034638892.1				
OG0017839	rna-XM_034639559.1				
OG0017840	rna-XM_019807567.2				
OG0017841	rna-XM_034638247.1				
OG0017842	rna-XM_034652638.1				
OG0017843	rna-XM_034651908.1				
OG0017844	rna-XM_034651323.1				
OG0017845	rna-XM_034650874.1				
OG0017846	rna-XM_034650873.1				
OG0017847	rna-XM_034650122.1				
OG0017848	rna-XM_034650750.1				
OG0017849	rna-XM_034651440.1				
OG0017850	rna-XM_034653008.1				
OG0017851	rna-XM_034651192.1				
OG0017852	rna-XM_034651785.1				
OG0017853	rna-XM_034651283.1				
OG0017854	rna-XM_034650833.1				
OG0017855	rna-XM_002926859.4				
OG0017856	rna-XM_034650456.1				
OG0017857	rna-XM_034650346.1				
OG0017858	rna-XM_034650543.1				
OG0017859	rna-XM_034652898.1				
OG0017860	rna-XM_034652678.1				
OG0017861	rna-XM_034649383.1				
OG0017862	rna-XM_034649885.1				
OG0017863	rna-XM_034649911.1				
OG0017864	rna-XM_034649920.1				
OG0017865	rna-XM_034649923.1				
OG0017866	rna-XM_034649925.1				
OG0017867	rna-XM_034649480.1				
OG0017868	rna-XM_034649096.1				
OG0017869	rna-XM_034649694.1				
OG0017870	rna-XM_002930275.4				
OG0017871	rna-XM_034649032.1				
OG0017872	rna-XM_034649262.1				
OG0017873	rna-XM_034649260.1				
OG0017874	rna-XM_019804699.2				
OG0017875	rna-XM_034649038.1				
OG0017876	rna-XM_034649045.1				
OG0017877	rna-XM_034649646.1				
OG0017878	rna-XM_034649956.1				
OG0017879	rna-XM_019809158.2				
OG0017880	rna-XM_019794033.2				
OG0017881	rna-XM_002923065.1				
OG0017882	rna-XM_019805233.1				
OG0017883	rna-XM_034648967.1				
OG0017884	rna-XM_034648913.1				
OG0017885	rna-XM_034649665.1				
OG0017886	rna-XM_034649067.1				
OG0017887	rna-XM_034650726.1				
OG0017888	rna-XM_034651136.1				
OG0017889	rna-XM_034651530.1				
OG0017890	rna-XM_034651346.1				
OG0017891	rna-XM_034650639.1				
OG0017892	rna-XM_034651756.1				
OG0017893	rna-XM_034652398.1				
OG0017894	rna-XM_034652549.1				
OG0017895	rna-XM_034651229.1				
OG0017896	rna-XM_034653107.1				
OG0017897	rna-XM_034651664.1				
OG0017898	rna-XM_034651490.1				
OG0017899	rna-XM_034651126.1				
OG0017900	rna-XM_034650628.1				
OG0017901	rna-XM_034651824.1				
OG0017902	rna-XM_034660216.1				
OG0017903	rna-XM_034660223.1				
OG0017904	rna-XM_034660148.1				
OG0017905	rna-XM_034660181.1				
OG0017906	rna-XM_034660182.1				
OG0017907	rna-XM_034660137.1				
OG0017908	rna-XM_002928540.2				
OG0017909	rna-XM_034660115.1				
OG0017910	rna-XM_034660184.1				
OG0017911	rna-XM_034660185.1				
OG0017912	rna-XM_002928517.3				
OG0017913	rna-XM_034660187.1				
OG0017914	rna-XM_011220444.3				
OG0017915	rna-XM_034660258.1				
OG0017916	rna-XM_034660271.1				
OG0017917	rna-XM_034660190.1				
OG0017918	rna-XM_034660293.1				
OG0017919	rna-XM_034660347.1				
OG0017920	rna-XM_034660201.1				
OG0017921	rna-XM_034660203.1				
OG0017922	rna-XM_034660206.1				
OG0017923	rna-XM_034660208.1				
OG0017924	rna-XM_034660209.1				
OG0017925	rna-XM_034661683.1				
OG0017926	rna-XM_034661695.1				
OG0017927	rna-XM_034660753.1				
OG0017928	rna-XM_034660751.1				
OG0017929	rna-XM_034661696.1				
OG0017930	rna-XM_034661697.1				
OG0017931	rna-XM_034661698.1				
OG0017932	rna-XM_034661703.1				
OG0017933	rna-XM_034661707.1				
OG0017934	rna-XM_019806484.1				
OG0017935	rna-XM_034661715.1				
OG0017936	rna-XM_034661185.1				
OG0017937	rna-XM_034661259.1				
OG0017938	rna-XM_034661385.1				
OG0017939	rna-XM_034661395.1				
OG0017940	rna-XM_002921314.3				
OG0017941	rna-XM_034661728.1				
OG0017942	rna-XM_034661488.1				
OG0017943	rna-XM_034661739.1				
OG0017944	rna-XM_034660171.1				
OG0017945	rna-XM_034652262.1				
OG0017946	rna-XM_034650082.1				
OG0017947	rna-XM_034650487.1				
OG0017948	rna-XM_011236430.2				
OG0017949	rna-XM_034652785.1				
OG0017950	rna-XM_034653021.1				
OG0017951	rna-XM_034651271.1				
OG0017952	rna-XM_034652758.1				
OG0017953	rna-XM_034650366.1				
OG0017954	rna-XM_002926910.2				
OG0017955	rna-XM_034651980.1				
OG0017956	rna-XM_034651559.1				
OG0017957	rna-XM_034651657.1				
OG0017958	rna-XM_034653045.1				
OG0017959	rna-XM_034651147.1				
OG0017960	rna-XM_034651313.1				
OG0017961	rna-XM_034652982.1				
OG0017962	rna-XM_034651524.1				
OG0017963	rna-XM_034661974.1				
OG0017964	rna-XM_034661825.1				
OG0017965	rna-XM_034662033.1				
OG0017966	rna-XM_034661798.1				
OG0017967	rna-XM_034663552.1				
OG0017968	rna-XM_034662258.1				
OG0017969	rna-XM_034662272.1				
OG0017970	rna-XM_034663556.1				
OG0017971	rna-XM_034663559.1				
OG0017972	rna-XM_034662386.1				
OG0017973	rna-XM_034663567.1				
OG0017974	rna-XM_034662465.1				
OG0017975	rna-XM_034663568.1				
OG0017976	rna-XM_034662502.1				
OG0017977	rna-XM_034663578.1				
OG0017978	rna-XM_011227842.3				
OG0017979	rna-XM_019809893.2				
OG0017980	rna-XM_034663593.1				
OG0017981	rna-XM_019798734.2				
OG0017982	rna-XM_034662789.1				
OG0017983	rna-XM_034663598.1				
OG0017984	rna-XM_019795477.1				
OG0017985	rna-XM_034663603.1				
OG0017986	rna-XM_034662947.1				
OG0017987	rna-XM_034663607.1				
OG0017988	rna-XM_034662955.1				
OG0017989	rna-XM_034663610.1				
OG0017990	rna-XM_034663124.1				
OG0017991	rna-XM_034663618.1				
OG0017992	rna-XM_034663169.1				
OG0017993	rna-XM_034663321.1				
OG0017994	rna-XM_034663442.1				
OG0017995	rna-XM_034663468.1				
OG0017996	rna-XM_034651387.1				
OG0017997	rna-XM_034651668.1				
OG0017998	rna-XM_034653364.1				
OG0017999	rna-XM_034652524.1				
OG0018000	rna-XM_034651923.1				
OG0018001	rna-XM_034650057.1				
OG0018002	rna-XM_034652410.1				
OG0018003	rna-XM_034651291.1				
OG0018004	rna-XM_034667778.1				
OG0018005	rna-XM_034667786.1				
OG0018006	rna-XM_034667783.1				
OG0018007	rna-XM_034668884.1				
OG0018008	rna-XM_034667806.1				
OG0018009	rna-XM_034668886.1				
OG0018010	rna-XM_034668893.1				
OG0018011	rna-XM_034668894.1				
OG0018012	rna-XM_034668855.1				
OG0018013	rna-XM_034668014.1				
OG0018014	rna-XM_034668227.1				
OG0018015	rna-XM_034668920.1				
OG0018016	rna-XM_034668512.1				
OG0018017	rna-XM_034668873.1				
OG0018018	rna-XM_034668408.1				
OG0018019	rna-XM_034668406.1				
OG0018020	rna-XM_034668883.1				
OG0018021	rna-XM_034668611.1				
OG0018022	rna-XM_034668613.1				
OG0018023	rna-XM_034668528.1				
OG0018024	rna-XM_034668529.1				
OG0018025	rna-XM_034668917.1				
OG0018026	rna-XM_034668753.1				
OG0018027	rna-XM_019802678.2				
OG0018028	rna-XM_034668540.1				
OG0018029	rna-XM_034650928.1				
OG0018030	rna-XM_034650927.1				
OG0018031	rna-XM_034650660.1				
OG0018032	rna-XM_034652664.1				
OG0018033	rna-XM_034651944.1				
OG0018034	rna-XM_034650906.1				
OG0018035	rna-XM_034651355.1				
OG0018036	rna-XM_034650044.1				
OG0018037	rna-XM_034651815.1				
OG0018038	rna-XM_034651513.1				
OG0018039	rna-XM_034651358.1				
OG0018040	rna-XM_034651836.1				
OG0018041	rna-XM_034651246.1				
OG0018042	rna-XM_034652206.1				
OG0018043	rna-XM_034652527.1				
OG0018044	rna-XM_034652116.1				
OG0018045	rna-XM_034652317.1				
OG0018046	rna-XM_034650849.1				
OG0018047	rna-XM_034651663.1				
OG0018048	rna-XM_034651087.1				
OG0018049	rna-XM_034651650.1				
OG0018050	rna-XM_034651702.1				
OG0018051	rna-XM_034651562.1				
OG0018052	rna-XM_034651962.1				
OG0018053	rna-XM_034648270.1				
OG0018054	rna-XM_034648281.1				
OG0018055	rna-XM_034651924.1				
OG0018056	rna-XM_034651417.1				
OG0018057	rna-XM_034651517.1				
OG0018058	rna-XM_034653164.1				
OG0018059	rna-XM_034651876.1				
OG0018060	rna-XM_034657331.1				
OG0018061	rna-XM_034657369.1				
OG0018062	rna-XM_034660005.1				
OG0018063	rna-XM_034660009.1				
OG0018064	rna-XM_034657487.1				
OG0018065	rna-XM_034657495.1				
OG0018066	rna-XM_034657529.1				
OG0018067	rna-XM_034657636.1				
OG0018068	rna-XM_034660026.1				
OG0018069	rna-XM_034657753.1				
OG0018070	rna-XM_034657809.1				
OG0018071	rna-XM_034657828.1				
OG0018072	rna-XM_034657922.1				
OG0018073	rna-XM_034657202.1				
OG0018074	rna-XM_034657204.1				
OG0018075	rna-XM_034657209.1				
OG0018076	rna-XM_011224663.3				
OG0018077	rna-XM_034658559.1				
OG0018078	rna-XM_034658584.1				
OG0018079	rna-XM_019808755.2				
OG0018080	rna-XM_034657219.1				
OG0018081	rna-XM_034658639.1				
OG0018082	rna-XM_034657243.1				
OG0018083	rna-XM_011227512.3				
OG0018084	rna-XM_034658868.1				
OG0018085	rna-XM_034658930.1				
OG0018086	rna-XM_034659069.1				
OG0018087	rna-XM_034659088.1				
OG0018088	rna-XM_034659096.1				
OG0018089	rna-XM_034659173.1				
OG0018090	rna-XM_034657275.1				
OG0018091	rna-XM_034657309.1				
OG0018092	rna-XM_011223066.2				
OG0018093	rna-XM_034657279.1				
OG0018094	rna-XM_034659446.1				
OG0018095	rna-XM_034657286.1				
OG0018096	rna-XM_034659513.1				
OG0018097	rna-XM_034659566.1				
OG0018098	rna-XM_034657291.1				
OG0018099	rna-XM_034659600.1				
OG0018100	rna-XM_034659706.1				
OG0018101	rna-XM_034659712.1				
OG0018102	rna-XM_034659748.1				
OG0018103	rna-XM_002923230.4				
OG0018104	rna-XM_034659954.1				
OG0018105	rna-XM_034659956.1				
OG0018106	rna-XM_034653245.1				
OG0018107	rna-XM_034651833.1				
OG0018108	rna-XM_034650600.1				
OG0018109	rna-XM_034653003.1				
OG0018110	rna-XM_034650451.1				
OG0018111	rna-XM_034651482.1				
OG0018112	rna-XM_034650481.1				
OG0018113	rna-XM_034651072.1				
OG0018114	rna-XM_034653511.1				
OG0018115	rna-XM_034653477.1				
OG0018116	rna-XM_034652043.1				
OG0018117	rna-XM_034651943.1				
OG0018118	rna-XM_034651408.1				
OG0018119	rna-XM_034650525.1				
OG0018120	rna-XM_034650524.1				
OG0018121	rna-XM_034652928.1				
OG0018122	rna-XM_034651368.1				
OG0018123	rna-XM_034650828.1				
OG0018124	rna-XM_034650829.1				
OG0018125	rna-XM_034651992.1				
OG0018126	rna-XM_034650926.1				
OG0018127	rna-XM_034651523.1				
OG0018128	rna-XM_034651235.1				
OG0018129	rna-XM_034652947.1				
OG0018130	rna-XM_034651312.1				
OG0018131	rna-XM_002921923.4				
OG0018132	rna-XM_034652553.1				
OG0018133	rna-XM_034651170.1				
OG0018134	rna-XM_034652259.1				
OG0018135	rna-XM_034651356.1				
OG0018136	rna-XM_034653215.1				
OG0018137	rna-XM_034653009.1				
OG0018138	rna-XM_034650788.1				
OG0018139	rna-XM_034650998.1				
OG0018140	rna-XM_034653082.1				
OG0018141	rna-XM_034651028.1				
OG0018142	rna-XM_034643034.1				
OG0018143	rna-XM_019800238.2				
OG0018144	rna-XM_034643035.1				
OG0018145	rna-XM_034642524.1				
OG0018146	rna-XM_034643027.1				
OG0018147	rna-XM_034642958.1				
OG0018148	rna-XM_034643051.1				
OG0018149	rna-XM_034642894.1				
OG0018150	rna-XM_034642875.1				
OG0018151	rna-XM_034643068.1				
OG0018152	rna-XM_034642692.1				
OG0018153	rna-XM_034642172.1				
OG0018154	rna-XM_034642507.1				
OG0018155	rna-XM_034642244.1				
OG0018156	rna-XM_034642154.1				
OG0018157	rna-XM_034642179.1				
OG0018158	id-LOC109488360				
OG0018159	id-LOC109488718				
OG0018160	rna-XM_034642815.1				
OG0018161	rna-XM_034641940.1				
OG0018162	rna-XM_034642960.1				
OG0018163	rna-XM_011237455.1				
OG0018164	rna-XM_034643263.1				
OG0018165	rna-XM_034643264.1				
OG0018166	rna-XM_034642189.1				
OG0018167	rna-XM_034642229.1				
OG0018168	rna-XM_034642596.1				
OG0018169	rna-XM_034642204.1				
OG0018170	rna-XM_034642205.1				
OG0018171	rna-XM_034642416.1				
OG0018172	rna-XM_034642206.1				
OG0018173	rna-XM_011226269.1				
OG0018174	rna-XM_034642213.1				
OG0018175	rna-XM_034642292.1				
OG0018176	rna-XM_034642296.1				
OG0018177	rna-XM_034642349.1				
OG0018178	rna-XM_034642221.1				
OG0018179	rna-XM_034642120.1				
OG0018180	rna-XM_034643032.1				
OG0018181	rna-XM_034651842.1				
OG0018182	rna-XM_034650973.1				
OG0018183	rna-XM_034650974.1				
OG0018184	rna-XM_034651570.1				
OG0018185	rna-XM_034652887.1				
OG0018186	rna-XM_034651885.1				
OG0018187	rna-XM_034651947.1				
OG0018188	rna-XM_034651649.1				
OG0018189	rna-XM_002931370.4				
OG0018190	rna-XM_034652511.1				
OG0018191	rna-XM_034652394.1				
OG0018192	rna-XM_034652395.1				
OG0018193	rna-XM_034651454.1				
OG0018194	rna-XM_034652341.1				
OG0018195	rna-XM_034652945.1				
OG0018196	rna-XM_034651542.1				
OG0018197	rna-XM_034653510.1				
OG0018198	rna-XM_034650530.1				
OG0018199	rna-XM_034651446.1				
OG0018200	rna-XM_034651486.1				
OG0018201	rna-XM_034640613.1				
OG0018202	rna-XM_034640643.1				
OG0018203	rna-XM_034640510.1				
OG0018204	rna-XM_034640352.1				
OG0018205	rna-XM_034640638.1				
OG0018206	rna-XM_034640837.1				
OG0018207	rna-XM_034640664.1				
OG0018208	rna-XM_034641523.1				
OG0018209	rna-XM_034640669.1				
OG0018210	rna-XM_034640465.1				
OG0018211	rna-XM_034641435.1				
OG0018212	rna-XM_034639725.1				
OG0018213	rna-XM_034639728.1				
OG0018214	rna-XM_011218268.3				
OG0018215	rna-XM_034639731.1				
OG0018216	rna-XM_034641299.1				
OG0018217	rna-XM_034640700.1				
OG0018218	rna-XM_034640705.1				
OG0018219	rna-XM_034639747.1				
OG0018220	rna-XM_034641537.1				
OG0018221	rna-XM_034641788.1				
OG0018222	rna-XM_034641554.1				
OG0018223	rna-XM_034641560.1				
OG0018224	rna-XM_034641567.1				
OG0018225	rna-XM_034640838.1				
OG0018226	rna-XM_034641569.1				
OG0018227	rna-XM_034640281.1				
OG0018228	rna-XM_034640916.1				
OG0018229	rna-XM_034641583.1				
OG0018230	rna-XM_019798904.2				
OG0018231	rna-XM_034640652.1				
OG0018232	rna-XM_034639916.1				
OG0018233	rna-XM_034641600.1				
OG0018234	rna-XM_034641606.1				
OG0018235	rna-XM_034640329.1				
OG0018236	rna-XM_034641609.1				
OG0018237	rna-XM_034641615.1				
OG0018238	rna-XM_019806197.2				
OG0018239	rna-XM_011218344.3				
OG0018240	rna-XM_034652702.1				
OG0018241	rna-XM_034652184.1				
OG0018242	rna-XM_034650766.1				
OG0018243	id-LOC105234853				
OG0018244	id-LOC117798030				
OG0018245	rna-XM_034652504.1				
OG0018246	id-LOC117797853				
OG0018247	rna-XM_034650489.1				
OG0018248	rna-XM_034653179.1				
OG0018249	rna-XM_034651696.1				
OG0018250	rna-XM_034651219.1				
OG0018251	rna-XM_034652620.1				
OG0018252	rna-XM_034652403.1				
OG0018253	rna-XM_034653584.1				
OG0018254	rna-XM_034652430.1				
OG0018255	rna-XM_034652533.1				
OG0018256	rna-XM_034653522.1				
OG0018257	rna-XM_034650243.1				
OG0018258	rna-XM_034652523.1				
OG0018259	rna-XM_011231350.2				
OG0018260	rna-XM_034646970.1				
OG0018261	rna-XM_034647288.1				
OG0018262	rna-XM_034647303.1				
OG0018263	rna-XM_034647393.1				
OG0018264	rna-XM_034646830.1				
OG0018265	rna-XM_034647335.1				
OG0018266	rna-XM_034647258.1				
OG0018267	rna-XM_034647340.1				
OG0018268	rna-XM_034647341.1				
OG0018269	rna-XM_011219475.3				
OG0018270	rna-XM_034646866.1				
OG0018271	rna-XM_034653423.1				
OG0018272	rna-XM_034652703.1				
OG0018273	rna-XM_019801402.2				
OG0018274	rna-XM_034653149.1				
OG0018275	rna-XM_034650614.1				
OG0018276	rna-XM_034651638.1				
OG0018277	rna-XM_034653533.1				
OG0018278	rna-XM_034653034.1				
OG0018279	rna-XM_034651507.1				
OG0018280	rna-XM_034651321.1				
OG0018281	rna-XM_034651536.1				
OG0018282	rna-XM_034651151.1				
OG0018283	rna-XM_034651213.1				
OG0018284	rna-XM_034653475.1				
OG0018285	rna-XM_034653178.1				
OG0018286	rna-XM_034653108.1				
OG0018287	rna-XM_034653010.1				
OG0018288	rna-XM_034650414.1				
OG0018289	rna-XM_034652901.1				
OG0018290	rna-XM_034651412.1				
OG0018291	rna-XM_034650455.1				
OG0018292	rna-XM_034650454.1				
OG0018293	rna-XM_034651594.1				
OG0018294	rna-XM_034651174.1				
OG0018295	rna-XM_034645969.1				
OG0018296	rna-XM_034646067.1				
OG0018297	rna-XM_034645105.1				
OG0018298	rna-XM_019802782.2				
OG0018299	rna-XM_034645981.1				
OG0018300	rna-XM_034644867.1				
OG0018301	rna-XM_034645987.1				
OG0018302	rna-XM_034645443.1				
OG0018303	rna-XM_034644590.1				
OG0018304	rna-XM_034646011.1				
OG0018305	rna-XM_034644582.1				
OG0018306	rna-XM_034644785.1				
OG0018307	rna-XM_034644794.1				
OG0018308	rna-XM_034645708.1				
OG0018309	rna-XM_034644801.1				
OG0018310	rna-XM_019809696.2				
OG0018311	rna-NM_001304897.1				
OG0018312	rna-XM_034645882.1				
OG0018313	rna-XM_034644827.1				
OG0018314	rna-XM_034645020.1				
OG0018315	rna-XM_034644996.1				
OG0018316	rna-XM_034645309.1				
OG0018317	rna-XM_019793576.2				
OG0018318	rna-XM_034646069.1				
OG0018319	rna-XM_034644709.1				
OG0018320	rna-XM_034651718.1				
OG0018321	rna-XM_034652686.1				
OG0018322	rna-XM_034651427.1				
OG0018323	rna-XM_034650263.1				
OG0018324	rna-XM_034651414.1				
OG0018325	rna-XM_034652077.1				
OG0018326	rna-XM_034653140.1				
OG0018327	rna-XM_034652084.1				
OG0018328	rna-XM_034650949.1				
OG0018329	rna-XM_034651388.1				
OG0018330	rna-XM_034653224.1				
OG0018331	rna-XM_034651444.1				
OG0018332	rna-XM_034650826.1				
OG0018333	rna-XM_034653221.1				
OG0018334	rna-XM_034650196.1				
OG0018335	rna-XM_034653536.1				
OG0018336	rna-XM_034653004.1				
OG0018337	rna-XM_034669619.1				
OG0018338	rna-XM_034669621.1				
OG0018339	rna-XM_034669682.1				
OG0018340	rna-XM_034669521.1				
OG0018341	rna-XM_034669523.1				
OG0018342	rna-XM_034669524.1				
OG0018343	rna-XM_034669768.1				
OG0018344	rna-XM_034669528.1				
OG0018345	rna-XM_034669903.1				
OG0018346	rna-XM_034669530.1				
OG0018347	rna-XM_034669544.1				
OG0018348	rna-XM_034669556.1				
OG0018349	rna-XM_034670338.1				
OG0018350	rna-XM_034669574.1				
OG0018351	rna-XM_034670507.1				
OG0018352	rna-XM_034669580.1				
OG0018353	rna-XM_034670556.1				
OG0018354	rna-XM_034669589.1				
OG0018355	rna-XM_034669591.1				
OG0018356	rna-XM_034670865.1				
OG0018357	rna-XM_034668949.1				
OG0018358	rna-XM_011230890.3				
OG0018359	rna-XM_034669368.1				
OG0018360	rna-XM_034669084.1				
OG0018361	rna-XM_034670776.1				
OG0018362	rna-XM_011219523.3				
OG0018363	rna-XM_034670786.1				
OG0018364	rna-XM_034670790.1				
OG0018365	rna-XM_034669336.1				
OG0018366	rna-XM_034670791.1				
OG0018367	rna-XM_034669386.1				
OG0018368	rna-XM_034670795.1				
OG0018369	rna-XM_034670801.1				
OG0018370	rna-XM_034669511.1				
OG0018371	rna-XM_034651645.1				
OG0018372	rna-XM_034651308.1				
OG0018373	rna-XM_034653075.1				
OG0018374	rna-XM_034652924.1				
OG0018375	rna-XM_034652661.1				
OG0018376	rna-XM_034651781.1				
OG0018377	rna-XM_034653007.1				
OG0018378	rna-XM_034651878.1				
OG0018379	rna-XM_034651306.1				
OG0018380	rna-XM_034651729.1				
OG0018381	rna-XM_034651661.1				
OG0018382	rna-XM_034652402.1				
OG0018383	rna-XM_034651167.1				
OG0018384	rna-XM_034653480.1				
OG0018385	rna-XM_034652098.1				
OG0018386	rna-XM_034651206.1				
OG0018387	rna-XM_034652294.1				
OG0018388	rna-XM_034653579.1				
OG0018389	rna-XM_034665634.1				
OG0018390	rna-XM_034665643.1				
OG0018391	rna-XM_034665728.1				
OG0018392	rna-XM_034665733.1				
OG0018393	rna-XM_034665758.1				
OG0018394	rna-XM_034666124.1				
OG0018395	rna-XM_034666146.1				
OG0018396	rna-XM_019809327.2				
OG0018397	rna-XM_034667589.1				
OG0018398	rna-XM_034667592.1				
OG0018399	rna-XM_034667593.1				
OG0018400	rna-XM_034666554.1				
OG0018401	rna-XM_034667629.1				
OG0018402	rna-XM_019802942.2				
OG0018403	rna-XM_034666603.1				
OG0018404	rna-XM_034667632.1				
OG0018405	rna-XM_034666680.1				
OG0018406	rna-XM_034667727.1				
OG0018407	rna-XM_034666732.1				
OG0018408	rna-XM_034667648.1				
OG0018409	rna-XM_034666897.1				
OG0018410	rna-XM_034667655.1				
OG0018411	rna-XM_034666956.1				
OG0018412	rna-XM_034667141.1				
OG0018413	rna-XM_034667666.1				
OG0018414	rna-XM_034667671.1				
OG0018415	rna-XM_034666015.1				
OG0018416	rna-XM_034667286.1				
OG0018417	rna-XM_034667388.1				
OG0018418	rna-XM_034667464.1				
OG0018419	rna-XM_034667690.1				
OG0018420	rna-XM_019803042.2				
OG0018421	rna-XM_034651455.1				
OG0018422	rna-XM_034653208.1				
OG0018423	id-LOC105235173				
OG0018424	rna-XM_034653261.1				
OG0018425	rna-XM_034650370.1				
OG0018426	rna-XM_002930226.4				
OG0018427	rna-XM_034653487.1				
OG0018428	rna-XM_034652236.1				
OG0018429	rna-XM_034652384.1				
OG0018430	rna-XM_034653442.1				
OG0018431	rna-XM_034651196.1				
OG0018432	rna-XM_034651467.1				
OG0018433	rna-XM_034651859.1				
OG0018434	rna-XM_034672018.1				
OG0018435	rna-XM_034671088.1				
OG0018436	rna-XM_034671643.1				
OG0018437	rna-XM_034671539.1				
OG0018438	rna-XM_034672060.1				
OG0018439	rna-XM_034671377.1				
OG0018440	rna-XM_034671380.1				
OG0018441	rna-XM_034671386.1				
OG0018442	rna-XM_034671430.1				
OG0018443	rna-XM_034671438.1				
OG0018444	rna-XM_034672011.1				
OG0018445	rna-XM_034670942.1				
OG0018446	rna-XM_034670943.1				
OG0018447	rna-XM_034671713.1				
OG0018448	rna-XM_034672016.1				
OG0018449	rna-XM_034671844.1				
OG0018450	rna-XM_034670957.1				
OG0018451	rna-XM_034670967.1				
