Orthogroup	ursAme.longCDS.prots	homSap.longCDS.prots
OG0000000	transcript_ENSUAMT00000019106	ENST00000620438.1
OG0000000	transcript_ENSUAMT00000016033	ENST00000606613.1
OG0000000	transcript_ENSUAMT00000023255	ENST00000314332.5, ENST00000634910.1
OG0000000	transcript_ENSUAMT00000015946	ENST00000356530.5
OG0000000	transcript_ENSUAMT00000037815	ENST00000377733.3
OG0000000	transcript_ENSUAMT00000007162	ENST00000377401.3
OG0000000	transcript_ENSUAMT00000037774	ENST00000607124.1
OG0000000	transcript_ENSUAMT00000007414	ENST00000356950.1, ENST00000464664.3, ENST00000599962.1
OG0000000	transcript_ENSUAMT00000032553	ENST00000369155.3
OG0000000	transcript_ENSUAMT00000032589	ENST00000619466.2, ENST00000545683.1
OG0000001	transcript_ENSUAMT00000007156, transcript_ENSUAMT00000007424	ENST00000613174.1, ENST00000618958.1
OG0000001	transcript_ENSUAMT00000015929	ENST00000358739.4
OG0000001	transcript_ENSUAMT00000032586	ENST00000607355.2, ENST00000369159.2
OG0000001	transcript_ENSUAMT00000023253	ENST00000377791.3
OG0000001	transcript_ENSUAMT00000019173	ENST00000366695.3
OG0000001	transcript_ENSUAMT00000024894	ENST00000297012.4
OG0000001	transcript_ENSUAMT00000003994	ENST00000544848.2
OG0000001	transcript_ENSUAMT00000032577, transcript_ENSUAMT00000037813	ENST00000331380.3
OG0000001	transcript_ENSUAMT00000032539	ENST00000331128.4
OG0000001	transcript_ENSUAMT00000023300	ENST00000333151.4
OG0000004	transcript_ENSUAMT00000031540	ENST00000358433.2
OG0000005	transcript_ENSUAMT00000033482, transcript_ENSUAMT00000033458	ENST00000330722.6, ENST00000252252.3, ENST00000252250.6
OG0000005	transcript_ENSUAMT00000033443	ENST00000252242.8
OG0000005	transcript_ENSUAMT00000033412	ENST00000252244.3
OG0000005	transcript_ENSUAMT00000033409	ENST00000341809.7
OG0000005	transcript_ENSUAMT00000033416	ENST00000309680.3
OG0000005	transcript_ENSUAMT00000023409	ENST00000417996.2
OG0000005	transcript_ENSUAMT00000023405	ENST00000330553.5
OG0000005	transcript_ENSUAMT00000033418	ENST00000305748.7
OG0000005	transcript_ENSUAMT00000033436	ENST00000267119.5
OG0000005	transcript_ENSUAMT00000033430	ENST00000549343.5
OG0000005	transcript_ENSUAMT00000033423	ENST00000537672.6
OG0000005	transcript_ENSUAMT00000023408	ENST00000551956.1
OG0000005	transcript_ENSUAMT00000033486	ENST00000252245.5
OG0000007	transcript_ENSUAMT00000001809, transcript_ENSUAMT00000000768, transcript_ENSUAMT00000036507, transcript_ENSUAMT00000007520	ENST00000632950.2, ENST00000390626.2, ENST00000624687.1, ENST00000390633.2, ENST00000390594.3, ENST00000630556.1, ENST00000604066.1, ENST00000390605.2, ENST00000390639.2, ENST00000631943.1, ENST00000390621.3, ENST00000390628.3, ENST00000390595.3, ENST00000622028.1, ENST00000338912.5, ENST00000390622.2, ENST00000632209.1, ENST00000390610.2
OG0000008	transcript_ENSUAMT00000007148	ENST00000366696.1
OG0000008	transcript_ENSUAMT00000006934	ENST00000369163.3
OG0000008	transcript_ENSUAMT00000023305	ENST00000612966.1, ENST00000634733.1, ENST00000614378.1, ENST00000618052.1
OG0000008	transcript_ENSUAMT00000032588	ENST00000403683.1
OG0000008	transcript_ENSUAMT00000028299	ENST00000340398.4
OG0000009	transcript_ENSUAMT00000000264	ENST00000239449.6
OG0000009	transcript_ENSUAMT00000038691	ENST00000194155.6
OG0000009	transcript_ENSUAMT00000000091	ENST00000231134.7
OG0000009	transcript_ENSUAMT00000000106	ENST00000231136.3
OG0000009	transcript_ENSUAMT00000038694	ENST00000231130.3
OG0000009	transcript_ENSUAMT00000000212	ENST00000341948.6, ENST00000239444.3, ENST00000609684.2
OG0000010	transcript_ENSUAMT00000024025	ENST00000331925.6
OG0000010	transcript_ENSUAMT00000020237	ENST00000224784.10
OG0000010	transcript_ENSUAMT00000026542	ENST00000345517.7
OG0000010	transcript_ENSUAMT00000021369	ENST00000366684.7
OG0000010	transcript_ENSUAMT00000005433	ENST00000290378.4
OG0000011	transcript_ENSUAMT00000026388	ENST00000336596.6
OG0000011	transcript_ENSUAMT00000029313	ENST00000166244.7
OG0000011	transcript_ENSUAMT00000010101	ENST00000369303.8
OG0000011	transcript_ENSUAMT00000020782	ENST00000358432.7
OG0000011	transcript_ENSUAMT00000041262	ENST00000358173.7
OG0000011	transcript_ENSUAMT00000033609	ENST00000398015.7
OG0000011	transcript_ENSUAMT00000027468	ENST00000330394.2
OG0000011	transcript_ENSUAMT00000040423	ENST00000281821.6
OG0000011	transcript_ENSUAMT00000005777	ENST00000389672.9
OG0000012	transcript_ENSUAMT00000022808, transcript_ENSUAMT00000020829, transcript_ENSUAMT00000034590, transcript_ENSUAMT00000007107, transcript_ENSUAMT00000007104, transcript_ENSUAMT00000034073, transcript_ENSUAMT00000022805, transcript_ENSUAMT00000022804	ENST00000354597.3, ENST00000375013.2
OG0000012	transcript_ENSUAMT00000034591, transcript_ENSUAMT00000004903, transcript_ENSUAMT00000019105, transcript_ENSUAMT00000019103, transcript_ENSUAMT00000019100, transcript_ENSUAMT00000006680	ENST00000341493.3
OG0000012	transcript_ENSUAMT00000024271	ENST00000328064.2
OG0000012	transcript_ENSUAMT00000024261	ENST00000306842.2
OG0000013	transcript_ENSUAMT00000000807, transcript_ENSUAMT00000000800	ENST00000617380.1, ENST00000519479.1
OG0000013	transcript_ENSUAMT00000000911	ENST00000576222.1
OG0000013	transcript_ENSUAMT00000000681	ENST00000522605.1
OG0000013	transcript_ENSUAMT00000000708	ENST00000523390.1
OG0000013	transcript_ENSUAMT00000000787	ENST00000520790.1
OG0000013	transcript_ENSUAMT00000041696	ENST00000252085.3
OG0000013	transcript_ENSUAMT00000000741	ENST00000394576.2
OG0000013	transcript_ENSUAMT00000000730	ENST00000253812.7
OG0000013	transcript_ENSUAMT00000000748	ENST00000517417.2
OG0000013	transcript_ENSUAMT00000003467	ENST00000518069.1
OG0000013	transcript_ENSUAMT00000000770	ENST00000398610.2
OG0000014	transcript_ENSUAMT00000031792	ENST00000217133.1
OG0000014	transcript_ENSUAMT00000031586	ENST00000317702.9
OG0000014	transcript_ENSUAMT00000022001	ENST00000315491.11
OG0000014	transcript_ENSUAMT00000017707	ENST00000333628.3
OG0000014	transcript_ENSUAMT00000031071	ENST00000340384.4
OG0000014	transcript_ENSUAMT00000033546	ENST00000264071.6
OG0000014	transcript_ENSUAMT00000038478	ENST00000327892.12
OG0000015	transcript_ENSUAMT00000028161	ENST00000339282.11
OG0000015	transcript_ENSUAMT00000025350	ENST00000598753.1, ENST00000435033.1, ENST00000547473.1, ENST00000430024.5, ENST00000543802.2, ENST00000323169.9
OG0000017	transcript_ENSUAMT00000037780	ENST00000377803.3, ENST00000578186.2, ENST00000244537.5, ENST00000615164.2, ENST00000615353.1, ENST00000634956.1, ENST00000621520.1
OG0000017	transcript_ENSUAMT00000023276, transcript_ENSUAMT00000003983, transcript_ENSUAMT00000015959, transcript_ENSUAMT00000004951, transcript_ENSUAMT00000032587	ENST00000614247.1
OG0000017	transcript_ENSUAMT00000007131	ENST00000617569.1
OG0000017	transcript_ENSUAMT00000015998	ENST00000358064.3
OG0000018	transcript_ENSUAMT00000003234, transcript_ENSUAMT00000000709, transcript_ENSUAMT00000021549, transcript_ENSUAMT00000001883, transcript_ENSUAMT00000020941, transcript_ENSUAMT00000006759, transcript_ENSUAMT00000007651, transcript_ENSUAMT00000025226, transcript_ENSUAMT00000001101, transcript_ENSUAMT00000034544, transcript_ENSUAMT00000014575	ENST00000317996.1, ENST00000318021.3, ENST00000319968.4
OG0000019	transcript_ENSUAMT00000000079	ENST00000316987.3
OG0000019	transcript_ENSUAMT00000030903	ENST00000610445.1
OG0000019	transcript_ENSUAMT00000036482, transcript_ENSUAMT00000036485	ENST00000321522.2
OG0000019	transcript_ENSUAMT00000002262, transcript_ENSUAMT00000036483	ENST00000445557.1
OG0000019	transcript_ENSUAMT00000004193, transcript_ENSUAMT00000003296, transcript_ENSUAMT00000000542, transcript_ENSUAMT00000016673, transcript_ENSUAMT00000003328	ENST00000379946.2, ENST00000537935.1
OG0000020	transcript_ENSUAMT00000036817	ENST00000302572.2
OG0000020	transcript_ENSUAMT00000036831	ENST00000302581.2
OG0000020	transcript_ENSUAMT00000036833	ENST00000357377.3
OG0000020	transcript_ENSUAMT00000036826, transcript_ENSUAMT00000036832, transcript_ENSUAMT00000036822	ENST00000309403.2
OG0000021	transcript_ENSUAMT00000020741	ENST00000374781.2
OG0000021	transcript_ENSUAMT00000020738	ENST00000277216.3
OG0000021	transcript_ENSUAMT00000012088, transcript_ENSUAMT00000012093, transcript_ENSUAMT00000006392, transcript_ENSUAMT00000003909, transcript_ENSUAMT00000000865, transcript_ENSUAMT00000004224, transcript_ENSUAMT00000003971, transcript_ENSUAMT00000006941, transcript_ENSUAMT00000002483, transcript_ENSUAMT00000002841	ENST00000341959.2
OG0000021	transcript_ENSUAMT00000012086	ENST00000424348.1
OG0000021	transcript_ENSUAMT00000020751, transcript_ENSUAMT00000020742	ENST00000335040.1
OG0000022	transcript_ENSUAMT00000003451, transcript_ENSUAMT00000006170, transcript_ENSUAMT00000000943	ENST00000339986.7, ENST00000465049.6, ENST00000456806.2, ENST00000355095.8, ENST00000590202.2
OG0000022	transcript_ENSUAMT00000004916, transcript_ENSUAMT00000016690, transcript_ENSUAMT00000010937, transcript_ENSUAMT00000006381, transcript_ENSUAMT00000006385, transcript_ENSUAMT00000006518, transcript_ENSUAMT00000002996, transcript_ENSUAMT00000003196, transcript_ENSUAMT00000003036, transcript_ENSUAMT00000001479, transcript_ENSUAMT00000002923, transcript_ENSUAMT00000001607, transcript_ENSUAMT00000010876	ENST00000600810.1, ENST00000311015.7
