Orthogroup	ursAme.longCDS.prots	ursMar.longCDS.prots
OG0000000	transcript_ENSUAMT00000019106	rna31143
OG0000000	transcript_ENSUAMT00000019134	rna31144
OG0000000	transcript_ENSUAMT00000015980	rna13971
OG0000000	transcript_ENSUAMT00000016033	rna13977
OG0000000	transcript_ENSUAMT00000023255	rna17077, rna13950, rna13968, rna13964, rna14132, rna13965, rna14128
OG0000000	transcript_ENSUAMT00000015946	rna13979
OG0000000	transcript_ENSUAMT00000007162	rna13960
OG0000000	transcript_ENSUAMT00000037805	rna13967
OG0000000	transcript_ENSUAMT00000032583	rna14141
OG0000000	transcript_ENSUAMT00000037774	rna14043
OG0000000	transcript_ENSUAMT00000007414	rna14135
OG0000000	transcript_ENSUAMT00000032553	rna17073
OG0000001	transcript_ENSUAMT00000007156, transcript_ENSUAMT00000007424	rna14140
OG0000001	transcript_ENSUAMT00000032586	rna17076
OG0000001	transcript_ENSUAMT00000019173	rna31145
OG0000001	transcript_ENSUAMT00000037783	rna14051
OG0000001	transcript_ENSUAMT00000024894	rna13927
OG0000001	transcript_ENSUAMT00000003994	rna29797
OG0000001	transcript_ENSUAMT00000032539	rna17071
OG0000001	transcript_ENSUAMT00000015993	rna13974, rna13978
OG0000001	transcript_ENSUAMT00000037808	rna14129
OG0000004	transcript_ENSUAMT00000031540	rna34708, rna34710
OG0000004	transcript_ENSUAMT00000005444	rna33063
OG0000005	transcript_ENSUAMT00000033482	rna27074
OG0000005	transcript_ENSUAMT00000033443	rna27075
OG0000005	transcript_ENSUAMT00000033412	rna27082
OG0000005	transcript_ENSUAMT00000033409	rna27083
OG0000005	transcript_ENSUAMT00000033416	rna27081
OG0000005	transcript_ENSUAMT00000023409	rna27087
OG0000005	transcript_ENSUAMT00000023405	rna27089
OG0000005	transcript_ENSUAMT00000033418	rna27080
OG0000005	transcript_ENSUAMT00000033436	rna27076
OG0000005	transcript_ENSUAMT00000033430	rna27078
OG0000005	transcript_ENSUAMT00000033423	rna27079
OG0000005	transcript_ENSUAMT00000023408	rna27088
OG0000005	transcript_ENSUAMT00000033490	rna27070
OG0000005	transcript_ENSUAMT00000033486	rna27071
OG0000008	transcript_ENSUAMT00000007148	rna31146
OG0000008	transcript_ENSUAMT00000006934	rna13976
OG0000008	transcript_ENSUAMT00000028299	rna14961
OG0000009	transcript_ENSUAMT00000000264	rna12287
OG0000009	transcript_ENSUAMT00000000258	rna12286
OG0000009	transcript_ENSUAMT00000038691	rna12298
OG0000009	transcript_ENSUAMT00000000091	rna12295
OG0000009	transcript_ENSUAMT00000000106	rna12294
OG0000009	transcript_ENSUAMT00000000252, transcript_ENSUAMT00000000236	rna12293
OG0000009	transcript_ENSUAMT00000000212	rna12290
OG0000010	transcript_ENSUAMT00000024025	rna15116
OG0000010	transcript_ENSUAMT00000020237	rna10087
OG0000010	transcript_ENSUAMT00000026542	rna21985
OG0000010	transcript_ENSUAMT00000034306	rna9959, rna24486, rna21508
OG0000011	transcript_ENSUAMT00000026388	rna2734
OG0000011	transcript_ENSUAMT00000029313	rna15926
OG0000011	transcript_ENSUAMT00000010101	rna27479
OG0000011	transcript_ENSUAMT00000020782	rna16024
OG0000011	transcript_ENSUAMT00000041262	rna20231
OG0000011	transcript_ENSUAMT00000033609	rna3219
OG0000011	transcript_ENSUAMT00000027468	rna27723
OG0000011	transcript_ENSUAMT00000040423	rna11074
OG0000011	transcript_ENSUAMT00000005777	rna10128
OG0000012	transcript_ENSUAMT00000022808	rna8361
OG0000012	transcript_ENSUAMT00000020829	rna35637, rna35635
