Orthogroup	homSap.longCDS.prots	ailMel.longCDS.prots
OG0000000	ENST00000620438.1	rna-XM_034655739.1
OG0000000	ENST00000377777.5	rna-XM_011236404.3
OG0000000	ENST00000606613.1, ENST00000615966.1	rna-XM_034660129.1
OG0000000	ENST00000634910.1	rna-XM_034660128.1
OG0000000	ENST00000541790.3	rna-XM_034660117.1
OG0000000	ENST00000377733.3	rna-XM_002928539.4
OG0000000	ENST00000356950.1	rna-XM_034660130.1
OG0000000	ENST00000464664.3, ENST00000599962.1	rna-XM_019807833.2, rna-XM_019807839.2
OG0000000	ENST00000369155.3	rna-XM_034643200.1
OG0000000	ENST00000619466.2, ENST00000545683.1	rna-XM_034643203.1
OG0000001	ENST00000359611.3, ENST00000613174.1, ENST00000618958.1, ENST00000358739.4, ENST00000359193.3	rna-XM_002927085.3
OG0000001	ENST00000607355.2, ENST00000369159.2	rna-XM_002930225.4
OG0000001	ENST00000377791.3, ENST00000366695.3	rna-XM_034655740.1
OG0000001	ENST00000377459.2	rna-XM_002927091.4
OG0000001	ENST00000635641.1	rna-XM_002927087.4
OG0000001	ENST00000544848.2	rna-XM_002928374.4
OG0000001	ENST00000331380.3	rna-XM_002930223.4
OG0000001	ENST00000331128.4	rna-XM_034643187.1
OG0000001	ENST00000341023.1	rna-XM_002928522.4
OG0000004	ENST00000358433.2	rna-XM_002930681.2
OG0000004	ENST00000327335.4	rna-XM_002930991.2
OG0000004	ENST00000328314.3	rna-XM_002930684.4
OG0000004	ENST00000322678.1, ENST00000548615.1, ENST00000343870.4	rna-XM_002931108.3
OG0000004	ENST00000343399.3	rna-XM_011217111.2
OG0000004	ENST00000379667.1	rna-XM_002930680.3, rna-XM_034653006.1, rna-XM_002930683.2, rna-XM_002930678.2
OG0000005	ENST00000330722.6, ENST00000252252.3, ENST00000252250.6	rna-XM_002923243.4, rna-XM_034651777.1
OG0000005	ENST00000330553.5	rna-XM_002923246.4
OG0000005	ENST00000305748.7	rna-XM_011229901.3
OG0000005	ENST00000267119.5	rna-XM_002923244.4
OG0000005	ENST00000549343.5	rna-XM_011229902.3
OG0000005	ENST00000537672.6	rna-XM_011229956.3
OG0000007	ENST00000390618.2, ENST00000570121.2, ENST00000390632.2, ENST00000390627.3, ENST00000434710.1, ENST00000390606.3, ENST00000390604.2, ENST00000390617.2, ENST00000390607.2, ENST00000390624.3, ENST00000390602.3, ENST00000425181.3, ENST00000390609.3, ENST00000632099.1, ENST00000454421.2, ENST00000603660.1, ENST00000390615.2, ENST00000562905.2, ENST00000424969.2, ENST00000390603.2, ENST00000558565.2, ENST00000390636.2, ENST00000390625.3, ENST00000433072.2, ENST00000569103.2, ENST00000354689.6, ENST00000565407.2, ENST00000390601.3, ENST00000390598.2	id-LOC117799039
OG0000007	ENST00000632950.2, ENST00000390626.2, ENST00000624687.1, ENST00000390633.2, ENST00000390594.3, ENST00000630556.1, ENST00000604066.1, ENST00000390605.2, ENST00000390639.2, ENST00000631943.1, ENST00000390621.3, ENST00000390628.3, ENST00000390595.3, ENST00000622028.1, ENST00000338912.5, ENST00000390622.2, ENST00000632209.1, ENST00000390610.2	id-LOC105235261, id-LOC117800014, id-LOC105235222, id-LOC109488764, id-LOC117798827, id-LOC117798806, id-LOC117798740, id-LOC100482805, id-LOC117798506
OG0000008	ENST00000366696.1	rna-XM_002930205.2
OG0000008	ENST00000613854.1, ENST00000369163.3	rna-XM_002928529.4
OG0000008	ENST00000612966.1, ENST00000634733.1, ENST00000614378.1, ENST00000618052.1	rna-XM_034660113.1
OG0000008	ENST00000340398.4	rna-XM_034667222.1
OG0000008	ENST00000366816.5	rna-XM_034651932.1
OG0000008	ENST00000331491.1, ENST00000369158.1	rna-XM_019793752.2
OG0000009	ENST00000239449.6	rna-XM_034656141.1
OG0000009	ENST00000194155.6	rna-XM_019795563.2
OG0000009	ENST00000316105.6, ENST00000239446.5	rna-XM_002912603.4
OG0000009	ENST00000231137.5	rna-XM_034656139.1
OG0000009	ENST00000354757.4, ENST00000239450.4	rna-XM_002912549.4
OG0000009	ENST00000194152.3	rna-XM_002912555.4
OG0000009	ENST00000231134.7	rna-XM_034656138.1
OG0000009	ENST00000231136.3	rna-XM_002912553.4
OG0000009	ENST00000231130.3	rna-XM_019795555.2, rna-XM_034656144.1
OG0000009	ENST00000231173.5	rna-XM_034656143.1, rna-XM_034651165.1, rna-XM_002912551.4
OG0000009	ENST00000341948.6, ENST00000239444.3, ENST00000609684.2	rna-XM_002912550.4
OG0000010	ENST00000331925.6	rna-XM_011218081.2
OG0000010	ENST00000224784.10	rna-XM_011218625.3
OG0000010	ENST00000345517.7	rna-XM_002921486.4
OG0000010	ENST00000366684.7	rna-XM_034662529.1
OG0000010	ENST00000290378.4	rna-XM_034661201.1
OG0000010	ENST00000423391.2	rna-XM_002926067.1
OG0000010	ENST00000331789.9	rna-XM_034652944.1, rna-XM_034652886.1, rna-XM_034652776.1, rna-XM_034650917.1
OG0000011	ENST00000336596.6	rna-XM_002928416.4
OG0000011	ENST00000622150.4	rna-XM_011223454.3
OG0000011	ENST00000166244.7	rna-XM_034643534.1
OG0000011	ENST00000369303.8	rna-XM_002920297.4
OG0000011	ENST00000358432.7	rna-XM_034671255.1
OG0000011	ENST00000358173.7	rna-XM_019808018.2
OG0000011	ENST00000400191.7	rna-XM_002919539.4
OG0000011	ENST00000398015.7	rna-XM_034661964.1
OG0000011	ENST00000330394.2	rna-XM_034661745.1
OG0000011	ENST00000281821.6	rna-XM_002925177.4
OG0000011	ENST00000389672.9	rna-XM_034657115.1
OG0000012	ENST00000341493.3	rna-XM_002928187.4, rna-XM_002928201.3
OG0000012	ENST00000328064.2	rna-XM_002929998.2
OG0000012	ENST00000306842.2	rna-XM_002923997.4
OG0000013	ENST00000617380.1, ENST00000519479.1	rna-XM_034652742.1
OG0000013	ENST00000522605.1	rna-XM_034655700.1
OG0000013	ENST00000523390.1	rna-XM_034656174.1
OG0000013	ENST00000520790.1	rna-XM_034655701.1
OG0000013	ENST00000252085.3	rna-XM_034656172.1
OG0000013	ENST00000571252.2	rna-XM_034656171.1
OG0000013	ENST00000394576.2, ENST00000253812.7	rna-XM_034656170.1, rna-XM_034652743.1
OG0000013	ENST00000518069.1	rna-XM_034651155.1
OG0000013	ENST00000398610.2	rna-XM_034656145.1
OG0000014	ENST00000217133.1	rna-XM_002915516.4
OG0000014	ENST00000315491.11	rna-XM_011225512.1, rna-XM_034660394.1, rna-XM_034639053.1
OG0000014	ENST00000340384.4	rna-XM_002926120.4
OG0000014	ENST00000264071.6	rna-XM_034657626.1
OG0000014	ENST00000327892.12	rna-XM_034660444.1
OG0000015	ENST00000339282.11	rna-XM_034657834.1
