Orthogroup	ailMel.longCDS.prots	ursMar.longCDS.prots
OG0000000	rna-XM_034655739.1	rna31143
OG0000000	rna-XM_011216961.3	rna31144
OG0000000	rna-XM_011236404.3	rna13959
OG0000000	rna-XM_034660129.1	rna13977
OG0000000	rna-XM_034660128.1	rna14132, rna13965
OG0000000	rna-XM_002928555.4	rna14128
OG0000000	rna-XM_034660130.1	rna14135
OG0000000	rna-XM_034643200.1	rna17073
OG0000001	rna-XM_002927085.3	rna14140, rna14044
OG0000001	rna-XM_019809261.2, rna-XM_002927089.3	rna14137
OG0000001	rna-XM_002930225.4	rna17076
OG0000001	rna-XM_034655740.1	rna31145
OG0000001	rna-XM_034660126.1	rna14051
OG0000001	rna-XM_002927091.4	rna14131
OG0000001	rna-XM_002928374.4	rna29797
OG0000001	rna-XM_034643187.1	rna17071
OG0000001	rna-XM_002928522.4	rna13944
OG0000001	rna-XM_034660123.1, rna-XM_034660121.1, rna-XM_034660125.1, rna-XM_034660122.1, rna-XM_034660124.1	rna13974, rna13978
OG0000004	rna-XM_002930681.2	rna34708, rna34710
OG0000004	rna-XM_002930991.2	rna35068, rna36031
OG0000004	rna-XM_002930684.4	rna36033, rna11496
OG0000004	rna-XM_002931108.3	rna34712
OG0000004	rna-XM_011217111.2	rna11498, rna34721
OG0000004	rna-XM_002930680.3	rna36034
OG0000004	rna-XM_034653006.1, rna-XM_002930683.2	rna33118, rna36036, rna33062
OG0000004	rna-XM_034646480.1	rna34713
OG0000004	rna-XM_011218059.3	rna34711
OG0000004	rna-XM_002930906.1	rna31209, rna32367
OG0000004	rna-XM_034643050.1	rna33063
OG0000004	rna-XM_034646201.1	rna34707
OG0000005	rna-XM_002923243.4	rna27074, rna27072
OG0000005	rna-XM_002923246.4	rna27089
OG0000005	rna-XM_011229901.3	rna27080
OG0000005	rna-XM_002923244.4	rna27076
OG0000005	rna-XM_011229902.3	rna27078
OG0000005	rna-XM_011229956.3	rna27079
OG0000008	rna-XM_002930205.2	rna31146
OG0000008	rna-XM_002928529.4	rna13976
OG0000008	rna-XM_034651202.1, rna-XM_034667222.1, rna-XM_034651932.1	rna14961
OG0000008	rna-XM_002926695.4	rna1689
OG0000008	rna-XM_019793752.2	rna17079
OG0000008	rna-XM_019809264.2	rna13969
OG0000009	rna-XM_034656141.1	rna12287
OG0000009	rna-XM_034656142.1	rna12286
OG0000009	rna-XM_019795563.2	rna12298
OG0000009	rna-XM_002912603.4	rna12288
OG0000009	rna-XM_034656139.1	rna12292
OG0000009	rna-XM_002912549.4	rna12276
OG0000009	rna-XM_002912555.4	rna12296
OG0000009	rna-XM_034656138.1	rna12295
OG0000009	rna-XM_002912553.4	rna12294
OG0000009	rna-XM_034656140.1	rna12293
OG0000009	rna-XM_034651165.1	rna12285
OG0000009	rna-XM_002912551.4	rna12297, rna12291
OG0000009	rna-XM_002912550.4	rna12290
OG0000010	rna-XM_011218081.2	rna15116
OG0000010	rna-XM_034652615.1, rna-XM_034652531.1, rna-XM_034652566.1, rna-XM_034652623.1, rna-XM_034652706.1, rna-XM_034652843.1	rna32395
OG0000010	rna-XM_034652663.1, rna-XM_034652895.1	rna20059
OG0000010	rna-XM_011218625.3	rna10087
OG0000010	rna-XM_002921486.4	rna21985
OG0000010	rna-XM_034652013.1, rna-XM_034651636.1, rna-XM_034652795.1, rna-XM_034651314.1	rna24486
OG0000010	rna-XM_034644851.1	rna21508
OG0000010	rna-XM_002926067.1	rna12158
OG0000011	rna-XM_002928416.4	rna2734
OG0000011	rna-XM_011223454.3	rna23628
OG0000011	rna-XM_034643534.1	rna15926
OG0000011	rna-XM_002920297.4	rna27479
OG0000011	rna-XM_034671255.1	rna16024
OG0000011	rna-XM_019808018.2	rna20231
OG0000011	rna-XM_002919539.4	rna15920
OG0000011	rna-XM_034661964.1	rna3219
OG0000011	rna-XM_034661745.1	rna27723
OG0000011	rna-XM_002925177.4	rna11074
OG0000011	rna-XM_034657115.1	rna10128
OG0000012	rna-XM_002928187.4	rna35639
OG0000012	rna-XM_002928201.3	rna35647
OG0000012	rna-XM_002929998.2	rna8368
OG0000012	rna-XM_002923997.4	rna8370
OG0000013	rna-XM_034652742.1	rna12267
OG0000013	rna-XM_034655700.1	rna12265
OG0000013	rna-XM_034655701.1	rna12266
OG0000013	rna-XM_034656172.1	rna12264
OG0000013	rna-XM_034656173.1	rna12268
OG0000013	rna-XM_034651155.1	rna12270
OG0000013	rna-XM_034656145.1	rna12262
OG0000014	rna-XM_002915516.4	rna21258
OG0000014	rna-XM_034660444.1	rna13874
OG0000014	rna-XM_034643153.1	rna25038, rna24281
OG0000014	rna-XM_034651534.1, rna-XM_034651631.1, rna-XM_034652819.1	rna26712
OG0000014	rna-XM_034652893.1	rna34477
OG0000015	rna-XM_034657834.1	rna34916
OG0000015	rna-XM_011217345.3	rna34918
OG0000015	rna-XM_019793332.2	rna30920
OG0000017	rna-XM_011217917.3	rna14047
OG0000017	rna-XM_002928543.4, rna-XM_034660134.1	rna29792
OG0000017	rna-XM_019809268.2	rna13962
OG0000018	rna-XM_002929137.4	rna33298
OG0000018	rna-XM_034653247.1	rna33290
