Orthogroup	ursAme.longCDS.prots	ailMel.longCDS.prots
OG0000000	transcript_ENSUAMT00000019106	rna-XM_034655739.1
OG0000000	transcript_ENSUAMT00000019134	rna-XM_011216961.3
OG0000000	transcript_ENSUAMT00000016033	rna-XM_034660129.1
OG0000000	transcript_ENSUAMT00000023255	rna-XM_002928532.4, rna-XM_034660128.1, rna-XM_002928555.4
OG0000000	transcript_ENSUAMT00000037815	rna-XM_002928539.4
OG0000000	transcript_ENSUAMT00000007414	rna-XM_034660130.1, rna-XM_019807833.2, rna-XM_019807839.2
OG0000000	transcript_ENSUAMT00000032553	rna-XM_034643200.1
OG0000000	transcript_ENSUAMT00000032589	rna-XM_034643203.1
OG0000001	transcript_ENSUAMT00000007156, transcript_ENSUAMT00000007424, transcript_ENSUAMT00000015929	rna-XM_002927085.3
OG0000001	transcript_ENSUAMT00000032586	rna-XM_002930225.4
OG0000001	transcript_ENSUAMT00000023253, transcript_ENSUAMT00000019173	rna-XM_034655740.1
OG0000001	transcript_ENSUAMT00000037783	rna-XM_034660126.1
OG0000001	transcript_ENSUAMT00000003994	rna-XM_002928374.4
OG0000001	transcript_ENSUAMT00000032577, transcript_ENSUAMT00000037813	rna-XM_002930223.4
OG0000001	transcript_ENSUAMT00000032539	rna-XM_034643187.1
OG0000001	transcript_ENSUAMT00000015993	rna-XM_034660123.1, rna-XM_034660121.1, rna-XM_034660125.1, rna-XM_034660122.1, rna-XM_034660124.1
OG0000004	transcript_ENSUAMT00000031540	rna-XM_002930681.2
OG0000004	transcript_ENSUAMT00000005444	rna-XM_034643050.1
OG0000005	transcript_ENSUAMT00000033482	rna-XM_002923243.4
OG0000005	transcript_ENSUAMT00000033458	rna-XM_034651777.1
OG0000005	transcript_ENSUAMT00000023405	rna-XM_002923246.4
OG0000005	transcript_ENSUAMT00000033418	rna-XM_011229901.3
OG0000005	transcript_ENSUAMT00000033436	rna-XM_002923244.4
OG0000005	transcript_ENSUAMT00000033430	rna-XM_011229902.3
OG0000005	transcript_ENSUAMT00000033423	rna-XM_011229956.3
OG0000007	transcript_ENSUAMT00000001809, transcript_ENSUAMT00000000768, transcript_ENSUAMT00000036507, transcript_ENSUAMT00000007520	id-LOC105235261, id-LOC117800014, id-LOC105235222, id-LOC109488764, id-LOC117798827, id-LOC117798806, id-LOC117798740, id-LOC100482805, id-LOC117798506
OG0000008	transcript_ENSUAMT00000007148	rna-XM_002930205.2
OG0000008	transcript_ENSUAMT00000006934	rna-XM_002928529.4
OG0000008	transcript_ENSUAMT00000023305	rna-XM_034660113.1
OG0000008	transcript_ENSUAMT00000028299	rna-XM_034667222.1
OG0000008	transcript_ENSUAMT00000004284	rna-XM_034651961.1
OG0000009	transcript_ENSUAMT00000000264	rna-XM_034656141.1
OG0000009	transcript_ENSUAMT00000000258	rna-XM_034656142.1
OG0000009	transcript_ENSUAMT00000038691	rna-XM_019795563.2
OG0000009	transcript_ENSUAMT00000000091	rna-XM_034656138.1
OG0000009	transcript_ENSUAMT00000000106	rna-XM_002912553.4
OG0000009	transcript_ENSUAMT00000000252, transcript_ENSUAMT00000000236	rna-XM_034656140.1
OG0000009	transcript_ENSUAMT00000038694	rna-XM_019795555.2, rna-XM_034656144.1
OG0000009	transcript_ENSUAMT00000000212	rna-XM_002912550.4
OG0000010	transcript_ENSUAMT00000024025	rna-XM_011218081.2
OG0000010	transcript_ENSUAMT00000020237	rna-XM_011218625.3
OG0000010	transcript_ENSUAMT00000026542	rna-XM_002921486.4
OG0000010	transcript_ENSUAMT00000021369	rna-XM_034662529.1
OG0000010	transcript_ENSUAMT00000005433	rna-XM_034661201.1
OG0000010	transcript_ENSUAMT00000034306	rna-XM_034652013.1, rna-XM_034651636.1, rna-XM_034652795.1, rna-XM_034651314.1, rna-XM_034644851.1
OG0000011	transcript_ENSUAMT00000026388	rna-XM_002928416.4
OG0000011	transcript_ENSUAMT00000029313	rna-XM_034643534.1
OG0000011	transcript_ENSUAMT00000010101	rna-XM_002920297.4
OG0000011	transcript_ENSUAMT00000020782	rna-XM_034671255.1
OG0000011	transcript_ENSUAMT00000041262	rna-XM_019808018.2
OG0000011	transcript_ENSUAMT00000033609	rna-XM_034661964.1
OG0000011	transcript_ENSUAMT00000027468	rna-XM_034661745.1
OG0000011	transcript_ENSUAMT00000040423	rna-XM_002925177.4
OG0000011	transcript_ENSUAMT00000005777	rna-XM_034657115.1
OG0000012	transcript_ENSUAMT00000034591, transcript_ENSUAMT00000004903	rna-XM_002928187.4
OG0000012	transcript_ENSUAMT00000019105	rna-XM_002928201.3
OG0000012	transcript_ENSUAMT00000024271	rna-XM_002929998.2
OG0000012	transcript_ENSUAMT00000024261	rna-XM_002923997.4
OG0000013	transcript_ENSUAMT00000000807, transcript_ENSUAMT00000000800	rna-XM_034652742.1
OG0000013	transcript_ENSUAMT00000000681	rna-XM_034655700.1
OG0000013	transcript_ENSUAMT00000000708	rna-XM_034656174.1
OG0000013	transcript_ENSUAMT00000000787	rna-XM_034655701.1
OG0000013	transcript_ENSUAMT00000041696	rna-XM_034656172.1
OG0000013	transcript_ENSUAMT00000000824	rna-XM_034656173.1
OG0000013	transcript_ENSUAMT00000000741, transcript_ENSUAMT00000000730	rna-XM_034656170.1, rna-XM_034652743.1
OG0000013	transcript_ENSUAMT00000003467	rna-XM_034651155.1
OG0000013	transcript_ENSUAMT00000000770	rna-XM_034656145.1
OG0000014	transcript_ENSUAMT00000031792	rna-XM_002915516.4
OG0000014	transcript_ENSUAMT00000022001	rna-XM_011225512.1, rna-XM_034660394.1, rna-XM_034639053.1
OG0000014	transcript_ENSUAMT00000031071	rna-XM_002926120.4
OG0000014	transcript_ENSUAMT00000033546	rna-XM_034657626.1
OG0000014	transcript_ENSUAMT00000038478	rna-XM_034660444.1
OG0000014	transcript_ENSUAMT00000021786	rna-XM_034652674.1, rna-XM_034651617.1, rna-XM_034653402.1, rna-XM_034653288.1, rna-XM_034650745.1, rna-XM_034650953.1, rna-XM_034651101.1, rna-XM_034643153.1, rna-XM_034651534.1, rna-XM_034651631.1, rna-XM_034652819.1, rna-XM_034652893.1
OG0000015	transcript_ENSUAMT00000028161	rna-XM_034657834.1
OG0000015	transcript_ENSUAMT00000036480	rna-XM_011217345.3
OG0000017	transcript_ENSUAMT00000037780	rna-XM_011217917.3
OG0000017	transcript_ENSUAMT00000015959	rna-XM_034660134.1
OG0000017	transcript_ENSUAMT00000004951	rna-XM_034660132.1
OG0000017	transcript_ENSUAMT00000032587	rna-XM_011234659.3, rna-XM_034645991.1
OG0000017	transcript_ENSUAMT00000015998	rna-XM_034660133.1
OG0000018	transcript_ENSUAMT00000003234, transcript_ENSUAMT00000000709	rna-XM_002929137.4
OG0000018	transcript_ENSUAMT00000006759	rna-XM_019809817.2
OG0000018	transcript_ENSUAMT00000025226	rna-XM_011237719.2
OG0000018	transcript_ENSUAMT00000034544	rna-XM_011234385.2
OG0000018	transcript_ENSUAMT00000014575	rna-XM_011237132.2
OG0000019	transcript_ENSUAMT00000000079	rna-XM_002930584.4, rna-XM_002930586.4
OG0000019	transcript_ENSUAMT00000030903	rna-XM_002930589.3
OG0000019	transcript_ENSUAMT00000036482, transcript_ENSUAMT00000036485	rna-XM_002931130.2
OG0000019	transcript_ENSUAMT00000036483	rna-XM_034653121.1
OG0000019	transcript_ENSUAMT00000004193, transcript_ENSUAMT00000003296, transcript_ENSUAMT00000000542	rna-XM_002930588.1
OG0000019	transcript_ENSUAMT00000016673, transcript_ENSUAMT00000003328	rna-XM_011217418.3
OG0000020	transcript_ENSUAMT00000036817	rna-XM_002928225.4
OG0000020	transcript_ENSUAMT00000036818	rna-XM_002928232.4
OG0000020	transcript_ENSUAMT00000036834	rna-XM_002922702.2
OG0000020	transcript_ENSUAMT00000036829	rna-XM_002930995.2
OG0000020	transcript_ENSUAMT00000036831	rna-XM_002930993.3
OG0000020	transcript_ENSUAMT00000036833	rna-XM_034651828.1, rna-XM_002928233.2
OG0000020	transcript_ENSUAMT00000036826	rna-XM_002930996.1
OG0000020	transcript_ENSUAMT00000036832	rna-XM_002930994.4
OG0000020	transcript_ENSUAMT00000036822	rna-XM_002930997.4
OG0000021	transcript_ENSUAMT00000020741	rna-XM_002929574.4
OG0000021	transcript_ENSUAMT00000020738	rna-XM_034663707.1
OG0000021	transcript_ENSUAMT00000012088	rna-XM_002918886.2
OG0000021	transcript_ENSUAMT00000012093, transcript_ENSUAMT00000006392	rna-XM_019799304.2
OG0000021	transcript_ENSUAMT00000003909, transcript_ENSUAMT00000000865, transcript_ENSUAMT00000004224, transcript_ENSUAMT00000003971, transcript_ENSUAMT00000006941, transcript_ENSUAMT00000002483, transcript_ENSUAMT00000002841	rna-XM_034663705.1, rna-XM_019799301.2
OG0000021	transcript_ENSUAMT00000020751	rna-XM_011237621.3
OG0000021	transcript_ENSUAMT00000020742	rna-XM_034663708.1
OG0000022	transcript_ENSUAMT00000016690	rna-XM_034639175.1
OG0000022	transcript_ENSUAMT00000010937	rna-XM_034650395.1
OG0000022	transcript_ENSUAMT00000002996, transcript_ENSUAMT00000003196, transcript_ENSUAMT00000003036, transcript_ENSUAMT00000001479, transcript_ENSUAMT00000002923, transcript_ENSUAMT00000001607	rna-XM_034650316.1
OG0000022	transcript_ENSUAMT00000010876	rna-XM_034638121.1
OG0000023	transcript_ENSUAMT00000001497, transcript_ENSUAMT00000005138	id-LOC117797917
OG0000023	transcript_ENSUAMT00000004987, transcript_ENSUAMT00000005337, transcript_ENSUAMT00000005125	id-LOC117797864, id-LOC105235206
OG0000023	transcript_ENSUAMT00000014322, transcript_ENSUAMT00000000455, transcript_ENSUAMT00000004028, transcript_ENSUAMT00000003630, transcript_ENSUAMT00000005173, transcript_ENSUAMT00000021458	id-LOC105235235, id-LOC117797938, id-LOC117797786, id-LOC117797812, id-LOC117798016, id-LOC117798015, id-LOC117800354
OG0000024	transcript_ENSUAMT00000018301	rna-XM_002930630.3
OG0000024	transcript_ENSUAMT00000018304	rna-XM_002930631.2
OG0000025	transcript_ENSUAMT00000022235	id-LOC105240638
OG0000025	transcript_ENSUAMT00000010646, transcript_ENSUAMT00000017186	id-LOC105234960
OG0000025	transcript_ENSUAMT00000019357	id-LOC105234754
