gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Ventricle-Atrium)	pct_gene_expr	max_pct_tx_expr
CNNM4	8.635384312716466e-4	2.2760327600465096e-4	3	1	0.9057732246261251	1	1
EVC2	0.004425347686064741	4.305085451622224e-4	3	1	-0.887225741631788	1	0.875
RABGGTA	7.783824940331344e-4	0.1862555386017533	4	0	-0.8693454063915337	1	0.875
EPAS1	1.5061767191191697e-7	0	2	2	0.8135193192173417	1	1
ATXN2L	0.02261599861737996	1	5	0	-0.7761804823502526	1	0.75
EHMT2	0.026362543048656095	0.08156304697872771	4	0	0.7512498684948336	0.875	0.75
C1GALT1	0.012307732112741354	0	2	2	-0.7460441397600257	1	0.75
LOC113268666	0.024097060659156625	0.014433715782819443	3	1	0.7321182318468629	1	0.875
LIG4	0.0377096667470982	0	2	2	-0.7281283371278655	1	0.75
LOC113243743	0.026362543048656095	1	4	0	0.7102984400662482	1	0.75
LOC113245503	0.03260495724060504	0.017723359018365244	6	1	0.6066060571938795	1	1
DENND6B	0.007526455735597448	1	4	0	-0.567224098121793	1	1
CUNH15orf41	0.005613052897711784	0.03962118529035181	4	1	-0.5527711721287227	1	0.875
MRC2	0.04191172850697314	0	2	2	0.5430047594953537	1	1
LOC113265298	0.020730479389720908	1	4	0	-0.5413933553000925	1	0.875
TRIM2	0.04705477211417725	0.024300739550121117	3	1	0.5378009103963346	1	1
ATP7B	0.01174638758158082	0.025832026589434235	3	2	0.5342973138214382	1	1
OTUD7B	0.020730479389720908	0	2	2	-0.5328826400107929	1	1
PIEZO1	0.0030381808098146395	0.005684567544948657	5	2	0.5270990030915805	1	1
UBP1	0.00417513532070189	1.861928512768725e-4	4	1	0.5267783859685277	1	1
PEX11A	0.0377096667470982	1	6	0	0.5228751722523931	1	0.75
OMA1	0.03260495724060504	0.4346216251702198	4	0	0.5224927690841336	1	0.875
MYOT	0.0028237151554217047	1	6	0	-0.5217455890641074	0.625	0.5
GPX3	0.022116713213531064	1	3	0	0.4972223162446491	1	0.875
TUBGCP4	0.021277907126210884	1	8	0	-0.49503515396233355	1	0.875
TRAF3IP2	0.021924930877670078	1	4	0	0.47859778912746	1	0.875
PTPRS	0.024540229026718135	0.07036506439903836	3	0	0.4672520289405542	1	1
GOLGA2	0.047936974506635345	0.521037129873865	4	0	0.46510417181172736	1	1
STON1	0.021924930877670078	0.049933535668933285	3	1	0.4622207332893607	1	1
CUNH17orf75	0.03260495724060504	0.2744695654600611	3	0	0.44571193965938405	1	1
LTBP1	0.011302283025852698	1	7	0	0.44082120606071995	1	1
CAMSAP2	0.04821192489368605	0.031012450503800148	4	1	-0.4405760055200742	1	1
SLC25A30	8.409468463498991e-4	0.002112950347330797	4	1	-0.42834349312024533	1	1
PHACTR1	0.036652875489869854	0.010499509742048255	4	1	-0.41250993307564	1	1
BTD	0.015012102914734524	1	6	0	0.4111923234442234	1	0.75
PTPN3	2.545016241540917e-18	6.86279912139953e-8	9	3	-0.41078511423467545	1	1
CSDC2	0.0377096667470982	0	2	2	0.40531767340029956	1	1
JAM2	0.01923865954688794	0.0011792830436850397	3	2	0.3974590840200456	1	1
PHKA2	0.027005638006630625	1	8	0	0.3779193440806584	1	0.875
SEPT10	8.635384312716466e-4	0.009032527038737921	7	1	-0.35774872610421815	1	1
YES1	0.02986473932135388	0.013348865570307424	4	1	0.34351734015824154	1	1
TOB1	0.003781822844559369	0	2	2	-0.3412477225862024	1	1
UIMC1	0.03528062114447963	0.05138559412800946	6	0	0.33581664281837975	1	1
MYLK	1.6372267966709665e-4	1	7	0	0.3290654254186078	1	1
ADD1	0.00146682382581878	0.06522843464783841	5	0	-0.3284406483633593	1	1
XPO4	0.02261599861737996	1	6	0	0.32489795382078407	1	1
ZNF696	0.04021407379074465	1	5	0	-0.3193566468812005	1	1
FAM193B	0.048010239273311675	1	9	0	0.31624295930929563	1	0.75
USP33	0.024540229026718135	0	2	2	0.30268294861165346	1	1
AKAP2	0.004425347686064741	0.19150015940889883	5	0	-0.28347511892951244	1	1
PAFAH1B2	7.822943106347695e-4	0.0050706963562159105	6	2	-0.2727752528068181	1	1
AKAP11	0.0026715323173123087	0.0053163282111024805	4	1	0.26713123227579993	1	1
SYNC	0.028114867000230373	0.016701197126878686	4	1	-0.2659203871902011	1	1
TRPM3	0.010232885317357642	0.09806511671545731	4	0	0.2646965931320532	1	1
NCL	0.007034448947915791	0.06803785785869076	6	0	0.2637974102564367	1	1
PDZD2	4.0460924597350426e-4	5.816473912927643e-6	5	1	0.26370368336724553	1	1
MSI2	0.021924930877670078	0.020784722654542166	3	1	-0.26121698620455897	1	1
KIF5B	0.0025263533673046713	3.3849829671642477e-4	3	1	-0.2606925869281107	1	1
USP15	0.016392731662505686	0.5928070734462395	9	0	0.2564542380569976	1	1
RAB28	0.028938376732795205	1	6	0	-0.24941646793824412	1	1
TRAM1	0.0028237151554217047	1	4	0	-0.24678564504690448	1	1
SPART	0.0377096667470982	1	8	0	-0.23704216584784335	1	1
SNRK	7.783824940331344e-4	0.003285205682637075	4	1	-0.23049757872274412	1	1
DDX24	0.019110187359620404	1	5	0	0.22178646435259475	1	1
RABGAP1	0.0010431887327632438	1.824337159364331e-5	3	1	0.22077817724228588	1	1
AAGAB	0.010232885317357642	0.03775800612003017	5	1	-0.2188323189410256	1	1
TRAK2	0.02986473932135388	1	4	0	-0.21601414902001437	1	1
GPBP1L1	0.048010239273311675	0.7695409383599252	6	0	-0.21340951625857274	1	1
VDAC3	7.783824940331344e-4	9.317035814916497e-6	3	1	-0.20948610048694394	1	1
RNF141	0.004593954662078626	1	7	0	-0.2063521503118283	1	1
AKT2	0.03260495724060504	0.45339841476407994	12	0	-0.20200832450216136	1	1
LOC113245998	1.7446226346543946e-20	3.608242269921854e-11	7	2	0.20028221550271622	1	1
RTN4	0.027327735150653645	0.25365189770061625	5	0	0.18855244081246442	1	1
NDUFAF4	0.027005638006630625	1	3	0	-0.1874511460708279	1	1
IFI44	0.04705477211417725	0.0579049977314465	5	0	-0.18503929050270074	1	1
PKM	0.001161888412311263	0.16628497240224424	3	0	-0.1810378730230454	1	1
HECTD1	0.03996372580328231	1	7	0	-0.16999924622588422	1	1
PAFAH1B1	0.02986473932135388	1	6	0	0.16932443336541886	1	1
ANTXR2	0.027327735150653645	0.002697963124154546	3	1	0.16248905145236303	1	1
LOC113254576	0.0455384349329665	1	5	0	-0.1499970868591851	1	1
SCP2	0.0436983336408925	1	4	0	-0.1495902882667609	1	1
LDB3	0.026362543048656095	1	6	0	0.14407867212198727	1	1
PPFIBP1	0.0028237151554217047	1	9	0	0.12636222392054314	1	1
OSBPL8	0.04021407379074465	1	11	0	0.11721670173398141	1	1
EEF1A1	0.03582867293575924	1	3	0	0.08509308329358554	1	1
OGDH	0.048010239273311675	1	3	0	-0.0764161692279263	1	1
YBX3	0.021924930877670078	1	4	0	0.06845692562547663	1	1
