txid	geneid	name	chr
rna0	gene0	LOC113255573	NW_020656121.1
rna1	gene1	PRMT2	NW_020656121.1
rna19	gene10	MCM3AP	NW_020656121.1
rna212	gene100	BACE2	NW_020656121.1
rna1756	gene1000	NACAD	NW_020656122.1
rna18085	gene10000	FOXJ2	NW_020656135.1
rna18086	gene10001	C3AR1	NW_020656135.1
rna18089	gene10002	NECAP1	NW_020656135.1
rna18091	gene10003	LOC113257933	NW_020656135.1
rna18092	gene10004	LOC113258092	NW_020656135.1
rna18094	gene10007	LOC113257934	NW_020656135.1
rna18096	gene10008	LOC113257936	NW_020656135.1
rna1757	gene1001	CCM2	NW_020656122.1
rna18097	gene10010	CD163	NW_020656135.1
rna18101	gene10012	LOC113257938	NW_020656135.1
rna18102	gene10013	PEX5	NW_020656135.1
rna18108	gene10014	CLSTN3	NW_020656135.1
rna18111	gene10015	RBP5	NW_020656135.1
rna18113	gene10016	C1RL	NW_020656135.1
rna18115	gene10017	C1R	NW_020656135.1
rna18116	gene10018	C1S	NW_020656135.1
rna18119	gene10020	LPCAT3	NW_020656135.1
rna18120	gene10021	EMG1	NW_020656135.1
rna18121	gene10022	PHB2	NW_020656135.1
rna18123	gene10024	PTPN6	NW_020656135.1
rna18124	gene10025	CUNH12orf57	NW_020656135.1
rna18127	gene10027	ATN1	NW_020656135.1
rna18128	gene10028	ENO2	NW_020656135.1
rna18129	gene10029	LRRC23	NW_020656135.1
rna18130	gene10030	SPSB2	NW_020656135.1
rna18132	gene10031	TPI1	NW_020656135.1
rna18134	gene10032	USP5	NW_020656135.1
rna18135	gene10033	CDCA3	NW_020656135.1
rna18137	gene10034	GNB3	NW_020656135.1
rna18139	gene10035	P3H3	NW_020656135.1
rna18140	gene10036	GPR162	NW_020656135.1
rna18142	gene10037	CD4	NW_020656135.1
rna18145	gene10039	LAG3	NW_020656135.1
rna1763	gene1004	MYO1G	NW_020656122.1
rna18146	gene10040	PTMS	NW_020656135.1
rna18148	gene10042	MLF2	NW_020656135.1
rna18149	gene10043	COPS7A	NW_020656135.1
rna18151	gene10044	PIANP	NW_020656135.1
rna18152	gene10045	ZNF384	NW_020656135.1
rna18160	gene10046	ING4	NW_020656135.1
rna18165	gene10047	ACRBP	NW_020656135.1
rna18166	gene10048	LPAR5	NW_020656135.1
rna18168	gene10049	CHD4	NW_020656135.1
rna1764	gene1005	LOC113257765	NW_020656122.1
rna18170	gene10051	NOP2	NW_020656135.1
rna18172	gene10052	IFFO1	NW_020656135.1
rna18178	gene10053	GAPDH	NW_020656135.1
rna18179	gene10054	NCAPD2	NW_020656135.1
rna18181	gene10056	MRPL51	NW_020656135.1
rna18182	gene10057	VAMP1	NW_020656135.1
rna18183	gene10058	TAPBPL	NW_020656135.1
rna18185	gene10059	CD27	NW_020656135.1
rna1765	gene1006	PURB	NW_020656122.1
rna18187	gene10062	LTBR	NW_020656135.1
rna18190	gene10063	SCNN1A	NW_020656135.1
rna18193	gene10064	TNFRSF1A	NW_020656135.1
rna18194	gene10065	PLEKHG6	NW_020656135.1
rna18198	gene10066	CD9	NW_020656135.1
rna18199	gene10067	VWF	NW_020656135.1
rna18200	gene10068	ANO2	NW_020656135.1
rna18201	gene10069	NTF3	NW_020656135.1
rna1767	gene1007	LOC113257773	NW_020656122.1
rna18205	gene10071	KCNA5	NW_020656135.1
rna18206	gene10072	KCNA1	NW_020656135.1
rna18208	gene10074	KCNA6	NW_020656135.1
rna18209	gene10075	GALNT8	NW_020656135.1
rna18211	gene10077	NDUFA9	NW_020656135.1
rna18212	gene10078	AKAP3	NW_020656135.1
rna18213	gene10079	DYRK4	NW_020656135.1
rna1769	gene1008	PPIA	NW_020656122.1
rna18217	gene10080	RAD51AP1	NW_020656135.1
rna18218	gene10081	CUNH12orf4	NW_020656135.1
rna18221	gene10083	FGF6	NW_020656135.1
rna18222	gene10084	FGF23	NW_020656135.1
rna18223	gene10085	TIGAR	NW_020656135.1
rna18224	gene10086	CCND2	NW_020656135.1
rna18227	gene10087	PARP11	NW_020656135.1
rna18229	gene10089	CRACR2A	NW_020656135.1
rna1771	gene1009	ZMIZ2	NW_020656122.1
rna18230	gene10090	PRMT8	NW_020656135.1
rna18234	gene10093	TSPAN11	NW_020656135.1
rna18244	gene10094	TSPAN9	NW_020656135.1
rna18247	gene10095	TEAD4	NW_020656135.1
rna18252	gene10096	TULP3	NW_020656135.1
rna18255	gene10098	RHNO1	NW_020656135.1
rna18256	gene10099	FOXM1	NW_020656135.1
rna213	gene101	DSCAM	NW_020656121.1
rna1774	gene1010	OGDH	NW_020656122.1
rna18257	gene10100	TEX52	NW_020656135.1
rna18261	gene10102	NRIP2	NW_020656135.1
rna18262	gene10103	ITFG2	NW_020656135.1
rna18263	gene10104	FKBP4	NW_020656135.1
rna18264	gene10105	LOC113258025	NW_020656135.1
rna18266	gene10107	DDX11	NW_020656135.1
rna18270	gene10108	WASHC1	NW_020656135.1
rna18271	gene10109	IQSEC3	NW_020656135.1
rna1775	gene1011	TMED4	NW_020656122.1
rna18273	gene10110	SLC6A12	NW_020656135.1
rna18278	gene10111	SLC6A13	NW_020656135.1
rna18284	gene10112	KDM5A	NW_020656135.1
rna18286	gene10113	CCDC77	NW_020656135.1
rna18289	gene10114	B4GALNT3	NW_020656135.1
rna18290	gene10115	NINJ2	NW_020656135.1
rna18293	gene10117	WNK1	NW_020656135.1
rna18308	gene10118	RAD52	NW_020656135.1
rna1776	gene1012	DDX56	NW_020656122.1
rna18312	gene10122	ERC1	NW_020656135.1
rna18318	gene10125	LOC113258101	NW_020656135.1
rna18321	gene10126	FBXL14	NW_020656135.1
