Orthogroup	homSap.longCDS.prots	ursMar.longCDS.prots
OG0000000	ENST00000620438.1	rna31143
OG0000000	ENST00000377777.5	rna13959
OG0000000	ENST00000606613.1	rna13977
OG0000000	ENST00000634910.1	rna14132, rna13965
OG0000000	ENST00000356530.5	rna13979
OG0000000	ENST00000377401.3	rna13960
OG0000000	ENST00000607124.1	rna14043
OG0000000	ENST00000356950.1	rna14135
OG0000000	ENST00000369155.3	rna17073
OG0000001	ENST00000613174.1	rna14140
OG0000001	ENST00000359193.3	rna14044
OG0000001	ENST00000607355.2, ENST00000369159.2	rna17076
OG0000001	ENST00000366695.3	rna31145
OG0000001	ENST00000377459.2	rna14131
OG0000001	ENST00000297012.4	rna13927
OG0000001	ENST00000544848.2	rna29797
OG0000001	ENST00000331128.4	rna17071
OG0000001	ENST00000303910.4	rna13941
OG0000001	ENST00000341023.1	rna13944
OG0000004	ENST00000358433.2	rna34708, rna34710
OG0000004	ENST00000327335.4	rna35068, rna36031
OG0000004	ENST00000328314.3	rna36033, rna11496
OG0000004	ENST00000379665.2	rna11497, rna33550, rna33551
OG0000004	ENST00000322678.1, ENST00000548615.1, ENST00000343870.4	rna34712
OG0000004	ENST00000343399.3	rna11498, rna34721
OG0000004	ENST00000379668.3	rna36035
OG0000004	ENST00000379667.1	rna36034, rna33118, rna36036, rna33062
OG0000005	ENST00000330722.6, ENST00000252252.3, ENST00000252250.6	rna27074, rna27072
OG0000005	ENST00000252242.8	rna27075
OG0000005	ENST00000252244.3	rna27082
OG0000005	ENST00000341809.7	rna27083
OG0000005	ENST00000309680.3	rna27081
OG0000005	ENST00000417996.2	rna27087
OG0000005	ENST00000332411.2	rna27086
OG0000005	ENST00000330553.5	rna27089
OG0000005	ENST00000305748.7	rna27080
OG0000005	ENST00000267119.5	rna27076
OG0000005	ENST00000549343.5	rna27078
OG0000005	ENST00000537672.6	rna27079
OG0000005	ENST00000551956.1	rna27088
OG0000005	ENST00000252245.5	rna27071
OG0000008	ENST00000366696.1	rna31146
OG0000008	ENST00000621411.1, ENST00000613854.1, ENST00000369163.3	rna13976
OG0000008	ENST00000340398.4, ENST00000366816.5	rna14961
OG0000008	ENST00000331491.1, ENST00000369158.1	rna17079
OG0000009	ENST00000239449.6	rna12287
OG0000009	ENST00000194155.6	rna12298
OG0000009	ENST00000316105.6, ENST00000239446.5	rna12288
OG0000009	ENST00000231137.5	rna12292
OG0000009	ENST00000354757.4, ENST00000239450.4	rna12276
OG0000009	ENST00000194152.3	rna12296
OG0000009	ENST00000231134.7	rna12295
OG0000009	ENST00000231136.3	rna12294
OG0000009	ENST00000231173.5	rna12284, rna12285, rna12297, rna12291
OG0000009	ENST00000341948.6, ENST00000239444.3, ENST00000609684.2	rna12290
OG0000010	ENST00000331925.6	rna15116
OG0000010	ENST00000224784.10	rna10087
OG0000010	ENST00000345517.7	rna21985
OG0000010	ENST00000423391.2	rna12158
OG0000011	ENST00000336596.6	rna2734
OG0000011	ENST00000622150.4	rna23628
OG0000011	ENST00000166244.7	rna15926
OG0000011	ENST00000369303.8	rna27479
OG0000011	ENST00000358432.7	rna16024
OG0000011	ENST00000358173.7	rna20231
OG0000011	ENST00000400191.7	rna15920
OG0000011	ENST00000398015.7	rna3219
OG0000011	ENST00000330394.2	rna27723
OG0000011	ENST00000281821.6	rna11074
OG0000011	ENST00000389672.9	rna10128
OG0000012	ENST00000354597.3, ENST00000375013.2	rna8361, rna35637, rna35635, rna35638, rna8358, rna35629, rna35630, rna8357, rna35631, rna35633, rna35632, rna35636, rna35634, rna8360, rna8359, rna8363
