Orthogroup	ursMar.longCDS.prots	ailMel.longCDS.prots
OG0000000	rna31143	rna-XM_034655739.1
OG0000000	rna31144	rna-XM_011216961.3
OG0000000	rna13959	rna-XM_011236404.3
OG0000000	rna13977	rna-XM_034660129.1
OG0000000	rna14132, rna13965	rna-XM_034660128.1
OG0000000	rna14128	rna-XM_002928555.4
OG0000000	rna14135	rna-XM_034660130.1
OG0000000	rna17073	rna-XM_034643200.1
OG0000001	rna14140, rna14044	rna-XM_002927085.3
OG0000001	rna14137	rna-XM_019809261.2, rna-XM_002927089.3
OG0000001	rna17076	rna-XM_002930225.4
OG0000001	rna31145	rna-XM_034655740.1
OG0000001	rna14051	rna-XM_034660126.1
OG0000001	rna14131	rna-XM_002927091.4
OG0000001	rna29797	rna-XM_002928374.4
OG0000001	rna17071	rna-XM_034643187.1
OG0000001	rna13944	rna-XM_002928522.4
OG0000001	rna13974, rna13978	rna-XM_034660123.1, rna-XM_034660121.1, rna-XM_034660125.1, rna-XM_034660122.1, rna-XM_034660124.1
OG0000004	rna34708, rna34710	rna-XM_002930681.2
OG0000004	rna35068, rna36031	rna-XM_002930991.2
OG0000004	rna36033, rna11496	rna-XM_002930684.4
OG0000004	rna34712	rna-XM_002931108.3
OG0000004	rna11498, rna34721	rna-XM_011217111.2
OG0000004	rna36034	rna-XM_002930680.3
OG0000004	rna33118, rna36036, rna33062	rna-XM_034653006.1, rna-XM_002930683.2
OG0000004	rna34713	rna-XM_034646480.1
OG0000004	rna34711	rna-XM_011218059.3
OG0000004	rna31209, rna32367	rna-XM_002930906.1
OG0000004	rna33063	rna-XM_034643050.1
OG0000004	rna34707	rna-XM_034646201.1
OG0000005	rna27074, rna27072	rna-XM_002923243.4
OG0000005	rna27089	rna-XM_002923246.4
OG0000005	rna27080	rna-XM_011229901.3
OG0000005	rna27076	rna-XM_002923244.4
OG0000005	rna27078	rna-XM_011229902.3
OG0000005	rna27079	rna-XM_011229956.3
OG0000008	rna31146	rna-XM_002930205.2
OG0000008	rna13976	rna-XM_002928529.4
OG0000008	rna14961	rna-XM_034651202.1, rna-XM_034667222.1, rna-XM_034651932.1
OG0000008	rna1689	rna-XM_002926695.4
OG0000008	rna17079	rna-XM_019793752.2
OG0000008	rna13969	rna-XM_019809264.2
OG0000009	rna12287	rna-XM_034656141.1
OG0000009	rna12286	rna-XM_034656142.1
OG0000009	rna12298	rna-XM_019795563.2
OG0000009	rna12288	rna-XM_002912603.4
OG0000009	rna12292	rna-XM_034656139.1
OG0000009	rna12276	rna-XM_002912549.4
OG0000009	rna12296	rna-XM_002912555.4
OG0000009	rna12295	rna-XM_034656138.1
OG0000009	rna12294	rna-XM_002912553.4
OG0000009	rna12293	rna-XM_034656140.1
OG0000009	rna12285	rna-XM_034651165.1
OG0000009	rna12297, rna12291	rna-XM_002912551.4
OG0000009	rna12290	rna-XM_002912550.4
OG0000010	rna15116	rna-XM_011218081.2
OG0000010	rna32395	rna-XM_034652615.1, rna-XM_034652531.1, rna-XM_034652566.1, rna-XM_034652623.1, rna-XM_034652706.1, rna-XM_034652843.1
OG0000010	rna20059	rna-XM_034652663.1, rna-XM_034652895.1
OG0000010	rna10087	rna-XM_011218625.3
OG0000010	rna21985	rna-XM_002921486.4
OG0000010	rna24486	rna-XM_034652013.1, rna-XM_034651636.1, rna-XM_034652795.1, rna-XM_034651314.1
OG0000010	rna21508	rna-XM_034644851.1
OG0000010	rna12158	rna-XM_002926067.1
OG0000011	rna2734	rna-XM_002928416.4
OG0000011	rna23628	rna-XM_011223454.3
OG0000011	rna15926	rna-XM_034643534.1
OG0000011	rna27479	rna-XM_002920297.4
OG0000011	rna16024	rna-XM_034671255.1
OG0000011	rna20231	rna-XM_019808018.2
OG0000011	rna15920	rna-XM_002919539.4
OG0000011	rna3219	rna-XM_034661964.1
OG0000011	rna27723	rna-XM_034661745.1
OG0000011	rna11074	rna-XM_002925177.4
OG0000011	rna10128	rna-XM_034657115.1
OG0000012	rna35639	rna-XM_002928187.4
OG0000012	rna35647	rna-XM_002928201.3
OG0000012	rna8368	rna-XM_002929998.2
OG0000012	rna8370	rna-XM_002923997.4
OG0000013	rna12267	rna-XM_034652742.1
OG0000013	rna12265	rna-XM_034655700.1
OG0000013	rna12266	rna-XM_034655701.1
OG0000013	rna12264	rna-XM_034656172.1
OG0000013	rna12268	rna-XM_034656173.1
OG0000013	rna12270	rna-XM_034651155.1
OG0000013	rna12262	rna-XM_034656145.1
OG0000014	rna21258	rna-XM_002915516.4
OG0000014	rna13874	rna-XM_034660444.1
OG0000014	rna25038, rna24281	rna-XM_034643153.1
OG0000014	rna26712	rna-XM_034651534.1, rna-XM_034651631.1, rna-XM_034652819.1
OG0000014	rna34477	rna-XM_034652893.1
OG0000015	rna34916	rna-XM_034657834.1
OG0000015	rna34918	rna-XM_011217345.3
OG0000015	rna30920	rna-XM_019793332.2
OG0000017	rna14047	rna-XM_011217917.3
OG0000017	rna29792	rna-XM_002928543.4, rna-XM_034660134.1
OG0000017	rna13962	rna-XM_019809268.2
OG0000018	rna33298	rna-XM_002929137.4
OG0000018	rna33290	rna-XM_034653247.1
OG0000018	rna33297	rna-XM_002929136.4
OG0000018	rna33296	rna-XM_019809817.2
OG0000018	rna33289	rna-XM_011237719.2
OG0000018	rna32909	rna-XM_034653321.1
OG0000018	rna32906	rna-XM_011234385.2
OG0000018	rna32901, rna32864	rna-XM_011237132.2
OG0000019	rna32549, rna32547	rna-XM_002930584.4, rna-XM_002930586.4
OG0000019	rna32546	rna-XM_002930589.3
OG0000019	rna33764, rna33767	rna-XM_002931130.2
OG0000019	rna33757, rna33765	rna-XM_034653121.1
OG0000019	rna32554	rna-XM_002930588.1
OG0000019	rna32550, rna32551, rna32552	rna-XM_011217418.3
OG0000020	rna15377	rna-XM_002928225.4
OG0000020	rna15376	rna-XM_002928232.4
OG0000020	rna15367	rna-XM_011229262.2
OG0000020	rna15368	rna-XM_002922702.2
OG0000020	rna15373	rna-XM_002930995.2
OG0000020	rna15372	rna-XM_002930993.3
OG0000020	rna15369, rna15370	rna-XM_034651828.1, rna-XM_002928233.2
OG0000020	rna15374	rna-XM_002930996.1
OG0000020	rna15375, rna15371	rna-XM_002930997.4
OG0000021	rna30780	rna-XM_002929574.4
OG0000021	rna30779	rna-XM_034663707.1
OG0000021	rna30657	rna-XM_002918886.2
OG0000021	rna30656	rna-XM_019799304.2
OG0000021	rna32669, rna16492	rna-XM_034663705.1, rna-XM_019799301.2
OG0000021	rna30785	rna-XM_011237621.3
OG0000021	rna30781	rna-XM_034663708.1
OG0000022	rna4317	rna-XM_034639175.1
OG0000022	rna23716	rna-XM_034650395.1
OG0000022	rna23713	rna-XM_034639191.1
OG0000022	rna23718	rna-XM_034639072.1, rna-XM_034639071.1
OG0000022	rna23730	rna-XM_034650316.1
OG0000023	gene26562	id-LOC105235235, id-LOC117797938, id-LOC117797786, id-LOC117797812, id-LOC117798016, id-LOC117798015, id-LOC117800354
OG0000023	gene26560	id-LOC117797799
OG0000024	rna23003	rna-XM_002930630.3
OG0000024	rna23001	rna-XM_002930631.2
OG0000024	rna23008, rna23012, rna23014	rna-XM_019793192.2
OG0000024	rna22986, rna22979	rna-XM_034645999.1
OG0000025	gene19084, gene19083	id-LOC105240638
OG0000025	gene19081	id-LOC105234960
OG0000025	gene19078	rna-XM_034665944.1
OG0000025	gene19075	rna-XM_034665897.1
OG0000025	gene19074	id-LOC109488455
OG0000025	gene19080	id-LOC105234544
OG0000025	gene19077	id-LOC109488456
OG0000025	rna25870	id-LOC117795072
OG0000026	rna18740	rna-XM_019808319.2
OG0000026	rna26051	rna-XM_019799401.2
OG0000026	rna6197	rna-XM_034643547.1
OG0000026	rna15050	rna-XM_034641543.1
OG0000026	rna8247	rna-XM_034647281.1
OG0000026	rna22059	rna-XM_034659452.1
OG0000026	rna1701	rna-XM_034667630.1
OG0000026	rna7337	rna-XM_034642450.1
OG0000026	rna25967	rna-XM_034658502.1
OG0000027	rna32565	rna-XM_034667730.1
OG0000027	rna32564	rna-XM_002926087.4
OG0000027	rna32563	rna-XM_034667616.1
OG0000027	rna32559	rna-XM_019794055.2
OG0000027	rna32558	rna-XM_034652629.1, rna-XM_002930581.3
OG0000027	rna32557	rna-XM_011217419.3
OG0000027	rna32556	rna-XM_002930582.2
OG0000027	rna32555	rna-XM_002930587.4
OG0000028	rna23331	rna-XM_019802703.2
OG0000028	rna23332	rna-XM_034641051.1
OG0000028	rna23334	rna-XM_002922160.4
OG0000028	rna1053	rna-XM_034652696.1, rna-XM_034639721.1
OG0000028	rna23336	rna-XM_034640779.1, rna-XM_034640778.1
OG0000028	rna23335	rna-XM_002922114.4
OG0000029	rna26929	rna-XM_002930847.3
OG0000029	rna26934	rna-XM_002927215.3
OG0000029	rna26931	rna-XM_002927219.2
OG0000029	rna26932	rna-XM_002927216.2
OG0000029	rna26936	rna-XM_002927214.4
OG0000029	rna26933	rna-XM_002927208.2
OG0000029	rna26928	rna-XM_002930846.2, rna-XM_034644782.1
OG0000029	rna26926	rna-XM_002929995.3
OG0000029	rna26927	rna-XM_011216694.3
OG0000029	rna33120	rna-XM_002927218.2
OG0000030	rna33278	rna-XM_034650186.1
OG0000030	rna32633	rna-XM_002926085.4, rna-XM_011217984.2
OG0000030	rna32630	rna-XM_002931045.2
OG0000030	rna33276, rna34706	rna-XM_034650187.1
OG0000030	rna33280	rna-XM_002931189.2
OG0000030	rna33796	rna-XM_002931242.4, rna-XM_034650891.1
OG0000030	rna33277	rna-XM_011218101.2
OG0000030	rna33279	rna-XM_002931190.2
OG0000031	rna29065, rna29066, rna32972	rna-XM_002930608.4
OG0000031	rna32971	rna-XM_034657195.1
OG0000031	rna29064	rna-XM_002930607.4
OG0000031	rna32970	rna-XM_034657197.1
OG0000031	rna29063	rna-XM_019793538.2
OG0000031	rna29068	rna-XM_002930606.4
OG0000031	rna29061	rna-XM_002930716.3
OG0000031	rna29067	rna-XM_002930605.4
OG0000032	rna34705	rna-XM_002931096.4
OG0000032	rna36061, rna34700, rna34703	rna-XM_034653438.1, rna-XM_034653407.1, rna-XM_002931337.4, rna-XM_034650212.1, rna-XM_034653405.1, rna-XM_034653406.1, rna-XM_034653392.1
OG0000032	rna34702, rna14151	rna-XM_034653441.1
OG0000032	rna35166	rna-XM_002930755.3
OG0000033	rna2802	rna-XM_034642847.1
OG0000033	rna10356	rna-XM_019802760.2
OG0000033	rna13652	rna-XM_034657064.1
OG0000033	rna13649	rna-XM_002917048.2
OG0000033	rna13648	rna-XM_002919906.4
OG0000033	rna13650	rna-XM_034657062.1
OG0000033	rna2765	rna-XM_002924875.4
OG0000033	rna19735	rna-XM_034641584.1
OG0000034	rna33150	rna-XM_034660159.1, rna-XM_034651690.1
OG0000034	rna24521	rna-XM_002931255.4
OG0000034	rna24518	rna-XM_002930302.1
OG0000034	rna24517	rna-XM_002930301.3
OG0000034	rna24516	rna-XM_002930300.3
OG0000034	rna32969	rna-XM_002930303.2
OG0000034	rna24519	rna-XM_011218319.2
OG0000034	rna24515	rna-XM_011217079.3
OG0000034	rna24514	rna-XM_002930299.2
OG0000034	rna24520, rna32968	rna-XM_011217953.2
OG0000035	rna18841	rna-XM_002921817.2
OG0000035	rna18838	rna-XM_034653915.1
OG0000035	rna18839	rna-XM_002921829.4
OG0000035	rna18836	rna-XM_002921827.4
OG0000035	rna18833	rna-XM_034648599.1
OG0000035	rna18832	rna-XM_034648651.1
