Orthogroup	ursArc.longCDS.prots	ursAme.longCDS.prots
OG0000000	rna50998	transcript_ENSUAMT00000019106
OG0000000	rna50997	transcript_ENSUAMT00000019134
OG0000000	rna28161	transcript_ENSUAMT00000015980
OG0000000	rna28155	transcript_ENSUAMT00000016033
OG0000000	rna28153	transcript_ENSUAMT00000023255
OG0000000	rna53629	transcript_ENSUAMT00000015946
OG0000000	rna53624	transcript_ENSUAMT00000037805
OG0000000	rna54503, rna54501	transcript_ENSUAMT00000032583
OG0000000	rna27994	transcript_ENSUAMT00000007414
OG0000000	rna49036	transcript_ENSUAMT00000032553
OG0000000	rna27987	transcript_ENSUAMT00000032589
OG0000001	rna53625, rna27992	transcript_ENSUAMT00000007156, transcript_ENSUAMT00000007424
OG0000001	rna49035	transcript_ENSUAMT00000032586
OG0000001	rna28164	transcript_ENSUAMT00000023253
OG0000001	rna50996	transcript_ENSUAMT00000019173
OG0000001	rna28209	transcript_ENSUAMT00000024894
OG0000001	rna17906	transcript_ENSUAMT00000003994
OG0000001	rna54502, rna54500	transcript_ENSUAMT00000023300
OG0000001	rna28160, rna28154	transcript_ENSUAMT00000015993
OG0000004	rna53558	transcript_ENSUAMT00000031540
OG0000004	rna53434	transcript_ENSUAMT00000005444
OG0000005	rna17236	transcript_ENSUAMT00000033482
OG0000005	rna17234	transcript_ENSUAMT00000033443
OG0000005	rna17225	transcript_ENSUAMT00000033412
OG0000005	rna17224	transcript_ENSUAMT00000033409
OG0000005	rna17226	transcript_ENSUAMT00000033416
OG0000005	rna17220	transcript_ENSUAMT00000023409
OG0000005	rna17218	transcript_ENSUAMT00000023405
OG0000005	rna17229	transcript_ENSUAMT00000033418
OG0000005	rna17233	transcript_ENSUAMT00000033436
OG0000005	rna17232	transcript_ENSUAMT00000033430
OG0000005	rna17230	transcript_ENSUAMT00000033423
OG0000005	rna17219	transcript_ENSUAMT00000023408
OG0000005	rna17238	transcript_ENSUAMT00000033490
OG0000005	rna17237	transcript_ENSUAMT00000033486
OG0000007	id586421	transcript_ENSUAMT00000001809, transcript_ENSUAMT00000000768, transcript_ENSUAMT00000036507, transcript_ENSUAMT00000007520
OG0000008	rna50995	transcript_ENSUAMT00000007148
OG0000008	rna53627	transcript_ENSUAMT00000006934
OG0000008	rna46274	transcript_ENSUAMT00000028299, transcript_ENSUAMT00000004284
OG0000010	rna46027	transcript_ENSUAMT00000024025
OG0000010	rna19708	transcript_ENSUAMT00000020237
OG0000010	rna4301	transcript_ENSUAMT00000026542
OG0000010	rna41988	transcript_ENSUAMT00000005433
OG0000011	rna595	transcript_ENSUAMT00000026388
OG0000011	rna35087	transcript_ENSUAMT00000029313
OG0000011	rna28901	transcript_ENSUAMT00000010101
OG0000011	rna38102	transcript_ENSUAMT00000020782
OG0000011	rna33950	transcript_ENSUAMT00000041262
OG0000011	rna11734	transcript_ENSUAMT00000033609
OG0000011	rna1414	transcript_ENSUAMT00000027468
OG0000011	rna5586	transcript_ENSUAMT00000040423
OG0000011	rna614	transcript_ENSUAMT00000005777
OG0000012	rna21331	transcript_ENSUAMT00000024265
OG0000012	rna21332	transcript_ENSUAMT00000024269
OG0000012	rna21330	transcript_ENSUAMT00000024261
OG0000013	rna24512	transcript_ENSUAMT00000000748
OG0000014	rna19471	transcript_ENSUAMT00000031792
OG0000014	rna48620	transcript_ENSUAMT00000031586
OG0000014	rna8645	transcript_ENSUAMT00000022001
OG0000014	rna28385	transcript_ENSUAMT00000017707
OG0000014	rna52474, rna52413	transcript_ENSUAMT00000031071
OG0000014	rna43230	transcript_ENSUAMT00000033546
OG0000014	rna28285	transcript_ENSUAMT00000038478
OG0000015	rna50405	transcript_ENSUAMT00000028161
OG0000015	rna50401	transcript_ENSUAMT00000036480
OG0000017	rna54146, rna49037, rna53628	transcript_ENSUAMT00000037780
OG0000017	rna27997, rna27998	transcript_ENSUAMT00000023276, transcript_ENSUAMT00000003983, transcript_ENSUAMT00000015959
OG0000017	rna17907	transcript_ENSUAMT00000015998
OG0000018	rna23760, rna23764	transcript_ENSUAMT00000003234, transcript_ENSUAMT00000000709
OG0000018	rna23763	transcript_ENSUAMT00000021549
OG0000018	rna23762	transcript_ENSUAMT00000001883
OG0000018	rna23761	transcript_ENSUAMT00000020941
OG0000018	rna23766	transcript_ENSUAMT00000006759
OG0000018	rna23754	transcript_ENSUAMT00000007651
OG0000018	rna23773	transcript_ENSUAMT00000025226
OG0000018	rna23722	transcript_ENSUAMT00000034544
OG0000018	rna23759	transcript_ENSUAMT00000014575
OG0000019	rna52172, rna52170, rna36109	transcript_ENSUAMT00000000079
OG0000019	rna52169	transcript_ENSUAMT00000030903
OG0000019	rna36111	transcript_ENSUAMT00000036482, transcript_ENSUAMT00000036485
OG0000019	rna36110	transcript_ENSUAMT00000002262
OG0000019	rna36118, rna36113	transcript_ENSUAMT00000036483
OG0000019	rna52177	transcript_ENSUAMT00000004193, transcript_ENSUAMT00000003296, transcript_ENSUAMT00000000542
OG0000019	rna52173, rna52174	transcript_ENSUAMT00000016673
OG0000019	rna52175	transcript_ENSUAMT00000003328
OG0000020	rna49453	transcript_ENSUAMT00000036817
OG0000020	rna49452	transcript_ENSUAMT00000036818
OG0000020	rna49448	transcript_ENSUAMT00000036834
OG0000020	rna49451	transcript_ENSUAMT00000036829
OG0000020	rna49450	transcript_ENSUAMT00000036831
OG0000020	rna49449, rna54112, rna54114	transcript_ENSUAMT00000036833
OG0000020	rna54368	transcript_ENSUAMT00000036832
OG0000020	rna54113, rna54111	transcript_ENSUAMT00000036822
OG0000021	rna21975	transcript_ENSUAMT00000020741
OG0000021	rna21976	transcript_ENSUAMT00000020738
OG0000021	rna22144	transcript_ENSUAMT00000012088
OG0000021	rna22145	transcript_ENSUAMT00000012093
OG0000021	rna22141	transcript_ENSUAMT00000006392
OG0000021	rna22143	transcript_ENSUAMT00000012086
OG0000021	rna21969	transcript_ENSUAMT00000020751
OG0000021	rna21974	transcript_ENSUAMT00000020742
OG0000022	rna50751	transcript_ENSUAMT00000003451, transcript_ENSUAMT00000006170
OG0000022	rna50747	transcript_ENSUAMT00000000943
OG0000022	rna50577	transcript_ENSUAMT00000016690
OG0000022	rna50744	transcript_ENSUAMT00000006381, transcript_ENSUAMT00000006385
OG0000022	rna54429	transcript_ENSUAMT00000002996, transcript_ENSUAMT00000003196, transcript_ENSUAMT00000003036, transcript_ENSUAMT00000001479, transcript_ENSUAMT00000002923, transcript_ENSUAMT00000001607
OG0000023	id578932	transcript_ENSUAMT00000001497, transcript_ENSUAMT00000005138
OG0000023	id578916	transcript_ENSUAMT00000004987, transcript_ENSUAMT00000005337, transcript_ENSUAMT00000005125
OG0000023	id578935	transcript_ENSUAMT00000014322, transcript_ENSUAMT00000000455, transcript_ENSUAMT00000004028, transcript_ENSUAMT00000003630, transcript_ENSUAMT00000005173, transcript_ENSUAMT00000021458
OG0000024	rna53530	transcript_ENSUAMT00000018301
OG0000024	rna53528	transcript_ENSUAMT00000018304
OG0000024	rna53529	transcript_ENSUAMT00000018303
OG0000024	rna49298	transcript_ENSUAMT00000033935
OG0000024	rna53929	transcript_ENSUAMT00000033945
OG0000024	rna49321	transcript_ENSUAMT00000028899
OG0000024	rna49314	transcript_ENSUAMT00000028900
OG0000024	rna49323	transcript_ENSUAMT00000028898
OG0000025	id21172, id21165	transcript_ENSUAMT00000022235
OG0000025	id21155	transcript_ENSUAMT00000010646, transcript_ENSUAMT00000017186
OG0000025	id21096	transcript_ENSUAMT00000019357
OG0000025	id21115, id21152	transcript_ENSUAMT00000010652
OG0000025	rna1861	transcript_ENSUAMT00000017185
OG0000025	id21144	transcript_ENSUAMT00000001130
OG0000026	rna33309	transcript_ENSUAMT00000025265
OG0000026	rna16336	transcript_ENSUAMT00000008595
OG0000026	rna2419	transcript_ENSUAMT00000021048, transcript_ENSUAMT00000025755
OG0000026	rna39505	transcript_ENSUAMT00000040626
OG0000026	rna4194, rna26004	transcript_ENSUAMT00000022391
OG0000026	rna6119, rna16452	transcript_ENSUAMT00000031086, transcript_ENSUAMT00000018747
OG0000027	rna52185	transcript_ENSUAMT00000012756
OG0000027	rna52188	transcript_ENSUAMT00000022616, transcript_ENSUAMT00000003798
OG0000027	rna52184	transcript_ENSUAMT00000014904
OG0000027	rna52183	transcript_ENSUAMT00000014901
OG0000027	rna52181	transcript_ENSUAMT00000003143, transcript_ENSUAMT00000023294
OG0000027	rna52180	transcript_ENSUAMT00000023291
OG0000027	rna54345, rna54346	transcript_ENSUAMT00000001359, transcript_ENSUAMT00000003370
OG0000028	rna30039	transcript_ENSUAMT00000011076
OG0000028	rna30038	transcript_ENSUAMT00000011081
