Orthogroup	ursArc.longCDS.prots	homSap.longCDS.prots
OG0000000	rna50998	ENST00000620438.1
OG0000000	rna28162	ENST00000377777.5
OG0000000	rna28155	ENST00000606613.1
OG0000000	rna28182	ENST00000615966.1
OG0000000	rna28153	ENST00000314332.5, ENST00000634910.1
OG0000000	rna53629	ENST00000356530.5
OG0000000	rna27994	ENST00000356950.1
OG0000000	rna49036	ENST00000369155.3
OG0000000	rna27987	ENST00000619466.2, ENST00000545683.1
OG0000000	rna28003	ENST00000616182.1
OG0000001	rna53625	ENST00000613174.1
OG0000001	rna27992	ENST00000618958.1
OG0000001	rna49035	ENST00000607355.2, ENST00000369159.2
OG0000001	rna28164	ENST00000377791.3
OG0000001	rna50996	ENST00000366695.3
OG0000001	rna28000	ENST00000377459.2
OG0000001	rna28209	ENST00000297012.4
OG0000001	rna17906	ENST00000544848.2
OG0000001	rna54502, rna54500	ENST00000333151.4
OG0000001	rna28183	ENST00000303910.4
OG0000001	rna28181	ENST00000341023.1
OG0000004	rna53558	ENST00000358433.2
OG0000004	rna54159, rna15697	ENST00000327335.4
OG0000004	rna53427	ENST00000328314.3
OG0000004	rna53428	ENST00000379665.2
OG0000004	rna53555	ENST00000322678.1, ENST00000548615.1, ENST00000343870.4
OG0000004	rna53429, rna17047	ENST00000343399.3
OG0000004	rna53431	ENST00000379668.3
OG0000004	rna53430, rna53433, rna53432	ENST00000379667.1
OG0000005	rna17236, rna17235	ENST00000330722.6, ENST00000252252.3, ENST00000252250.6
OG0000005	rna17234	ENST00000252242.8
OG0000005	rna17225	ENST00000252244.3
OG0000005	rna17224	ENST00000341809.7
OG0000005	rna17226	ENST00000309680.3
OG0000005	rna17220	ENST00000417996.2
OG0000005	rna17221	ENST00000332411.2
OG0000005	rna17218	ENST00000330553.5
OG0000005	rna17229	ENST00000305748.7
OG0000005	rna17233	ENST00000267119.5
OG0000005	rna17232	ENST00000549343.5
OG0000005	rna17230	ENST00000537672.6
OG0000005	rna17219	ENST00000551956.1
OG0000005	rna17237	ENST00000252245.5
OG0000007	id586842	ENST00000390618.2, ENST00000570121.2, ENST00000390632.2, ENST00000390627.3, ENST00000434710.1, ENST00000390606.3, ENST00000390604.2, ENST00000390617.2, ENST00000390607.2, ENST00000390624.3, ENST00000390602.3, ENST00000425181.3, ENST00000390609.3, ENST00000632099.1, ENST00000454421.2, ENST00000603660.1, ENST00000390615.2, ENST00000562905.2, ENST00000424969.2, ENST00000390603.2, ENST00000558565.2, ENST00000390636.2, ENST00000390625.3, ENST00000433072.2, ENST00000569103.2, ENST00000354689.6, ENST00000565407.2, ENST00000390601.3, ENST00000390598.2
OG0000007	id586421	ENST00000632950.2, ENST00000390626.2, ENST00000624687.1, ENST00000390633.2, ENST00000390594.3, ENST00000630556.1, ENST00000604066.1, ENST00000390605.2, ENST00000390639.2, ENST00000631943.1, ENST00000390621.3, ENST00000390628.3, ENST00000390595.3, ENST00000622028.1, ENST00000338912.5, ENST00000390622.2, ENST00000632209.1, ENST00000390610.2
OG0000008	rna50995	ENST00000366696.1
OG0000008	rna53627	ENST00000369163.3
OG0000008	rna46274	ENST00000340398.4, ENST00000366816.5
OG0000008	rna54409, rna49034, rna49038, rna54410	ENST00000392948.3
OG0000010	rna46027	ENST00000331925.6
OG0000010	rna19708	ENST00000224784.10
OG0000010	rna4301	ENST00000345517.7
OG0000010	rna41988	ENST00000290378.4
OG0000010	rna14004	ENST00000423391.2
OG0000010	rna34192	ENST00000331789.9
OG0000011	rna595	ENST00000336596.6
OG0000011	rna25400	ENST00000622150.4
OG0000011	rna35087	ENST00000166244.7
OG0000011	rna28901	ENST00000369303.8
OG0000011	rna38102	ENST00000358432.7
OG0000011	rna33950	ENST00000358173.7
OG0000011	rna35080	ENST00000400191.7
OG0000011	rna11734	ENST00000398015.7
OG0000011	rna1414	ENST00000330394.2
OG0000011	rna5586	ENST00000281821.6
OG0000011	rna614	ENST00000389672.9
OG0000012	rna21330	ENST00000306842.2
OG0000013	rna24512	ENST00000517417.2
OG0000014	rna19471	ENST00000217133.1
OG0000014	rna48620	ENST00000317702.9
OG0000014	rna8645	ENST00000315491.11
OG0000014	rna28385	ENST00000333628.3
OG0000014	rna28386	ENST00000259818.7
OG0000014	rna52474, rna52413	ENST00000340384.4
OG0000014	rna43230	ENST00000264071.6
OG0000014	rna28285	ENST00000327892.12
OG0000015	rna50405	ENST00000339282.11
OG0000015	rna43550	ENST00000622593.4, ENST00000590798.1, ENST00000343949.9, ENST00000429654.6, ENST00000304060.9, ENST00000304030.2, ENST00000439326.7, ENST00000547628.1, ENST00000344980.10, ENST00000439556.2, ENST00000334213.9, ENST00000242804.8, ENST00000293725.9, ENST00000356109.9, ENST00000301547.9, ENST00000430385.3, ENST00000595562.1, ENST00000357901.4, ENST00000341191.10, ENST00000343979.5, ENST00000361113.9
OG0000017	rna54146, rna49037	ENST00000578186.2, ENST00000244537.5, ENST00000615164.2, ENST00000615353.1, ENST00000634956.1
OG0000017	rna53628	ENST00000621520.1
