Orthogroup	ursArc.longCDS.prots	ursMar.longCDS.prots
OG0000000	rna50998	rna31143
OG0000000	rna50997	rna31144
OG0000000	rna28161	rna13971
OG0000000	rna28162	rna13959
OG0000000	rna28155	rna13977
OG0000000	rna28153	rna17077, rna13950, rna13968, rna13964, rna14132, rna13965, rna14128
OG0000000	rna53629	rna13979
OG0000000	rna53624	rna13967
OG0000000	rna54503, rna54501	rna14141
OG0000000	rna27994	rna14135
OG0000000	rna27993	rna14136
OG0000000	rna49036	rna17073
OG0000001	rna53625	rna14140
OG0000001	rna49035	rna17076
OG0000001	rna50996	rna31145
OG0000001	rna28000	rna14131
OG0000001	rna28209	rna13927
OG0000001	rna17906	rna29797
OG0000001	rna28183	rna13941
OG0000001	rna28181	rna13944
OG0000001	rna28160, rna28154	rna13974, rna13978
OG0000001	rna28002	rna14134
OG0000003	rna50545	rna34809, rna34814, rna34811, rna34813, rna34810, rna29099, rna34233, rna10368, rna34807, rna34801, rna34227, rna34239, rna34243, rna29102, rna35156, rna36300, rna36287, rna35158, rna35155, rna34235, rna34232, rna34236, rna29100, rna34229, rna36304, rna34242, rna34241, rna34244, rna34223, rna34222, rna34234, rna34808, rna34806, rna34225, rna34803, rna34804, rna34802, rna36301, rna36305, rna34240, rna34228, rna34226, rna35153, rna36293, rna34570, rna36299, rna35154, rna36289, rna36295, rna36294, rna36302, rna35150, rna36296, rna35157, rna34231, rna34221, rna34569, rna34805, rna36297, rna36288, rna34247, rna34246, rna34245, rna29101, rna34224, rna35152, rna36292, rna36291, rna36290, rna34237, rna34238, rna36298, rna36303
OG0000004	rna53558	rna34708, rna34710
OG0000004	rna54159	rna35068
OG0000004	rna15697	rna36031
OG0000004	rna53427	rna36033, rna11496
OG0000004	rna53428	rna11497, rna33550, rna33551
OG0000004	rna53555	rna34712
OG0000004	rna53429	rna11498
OG0000004	rna17047	rna34721
OG0000004	rna53431	rna36035
OG0000004	rna53430	rna36034
OG0000004	rna53433	rna33118, rna36036, rna33062
OG0000004	rna17039	rna34713
OG0000004	rna53556	rna34711
OG0000004	rna15688	rna31209, rna32367
OG0000004	rna53434	rna33063
OG0000004	rna53557	rna34707
OG0000005	rna17236	rna27074
OG0000005	rna17235	rna27072
OG0000005	rna17234	rna27075
OG0000005	rna17225	rna27082
OG0000005	rna17224	rna27083
OG0000005	rna17226	rna27081
OG0000005	rna17223	rna27084
OG0000005	rna17220	rna27087
OG0000005	rna17221	rna27086
OG0000005	rna17218	rna27089
OG0000005	rna17229	rna27080
OG0000005	rna17233	rna27076
OG0000005	rna17232	rna27078
OG0000005	rna17230	rna27079
OG0000005	rna17219	rna27088
OG0000005	rna17238	rna27070
OG0000005	rna17237	rna27071
OG0000008	rna50995	rna31146
OG0000008	rna53627	rna13976
OG0000008	rna46274	rna14961
OG0000008	rna26023	rna1689
OG0000010	rna46027	rna15116
OG0000010	rna19888	rna32395
OG0000010	rna19708	rna10087
OG0000010	rna4301	rna21985
OG0000010	rna14004	rna12158
OG0000011	rna595	rna2734
OG0000011	rna25400	rna23628
OG0000011	rna35087	rna15926
OG0000011	rna28901	rna27479
OG0000011	rna38102	rna16024
OG0000011	rna33950	rna20231
OG0000011	rna35080	rna15920
OG0000011	rna11734	rna3219
OG0000011	rna1414	rna27723
OG0000011	rna5586	rna11074
OG0000011	rna614	rna10128
OG0000012	rna21332	rna8369
OG0000012	rna21330	rna8370
OG0000013	rna24512	rna12271
OG0000014	rna19471	rna21258
OG0000014	rna28285	rna13874
OG0000015	rna50405	rna34916
OG0000015	rna50401	rna34918
OG0000015	rna43550	rna30920
OG0000017	rna54146, rna49037	rna14047
OG0000017	rna27997, rna27998	rna29792
OG0000017	rna54144	rna13939
OG0000018	rna23760, rna23764	rna33298
