Orthogroup	ursAme.longCDS.prots	ursArc.longCDS.prots
OG0000000	transcript_ENSUAMT00000019106	rna50998
OG0000000	transcript_ENSUAMT00000019134	rna50997
OG0000000	transcript_ENSUAMT00000015980	rna28161
OG0000000	transcript_ENSUAMT00000016033	rna28155
OG0000000	transcript_ENSUAMT00000023255	rna28153
OG0000000	transcript_ENSUAMT00000015946	rna53629
OG0000000	transcript_ENSUAMT00000037805	rna53624
OG0000000	transcript_ENSUAMT00000032583	rna54503, rna54501
OG0000000	transcript_ENSUAMT00000007414	rna27994
OG0000000	transcript_ENSUAMT00000032553	rna49036
OG0000000	transcript_ENSUAMT00000032589	rna27987
OG0000001	transcript_ENSUAMT00000007156, transcript_ENSUAMT00000007424	rna53625, rna27992
OG0000001	transcript_ENSUAMT00000032586	rna49035
OG0000001	transcript_ENSUAMT00000023253	rna28164
OG0000001	transcript_ENSUAMT00000019173	rna50996
OG0000001	transcript_ENSUAMT00000024894	rna28209
OG0000001	transcript_ENSUAMT00000003994	rna17906
OG0000001	transcript_ENSUAMT00000023300	rna54502, rna54500
OG0000001	transcript_ENSUAMT00000015993	rna28160, rna28154
OG0000004	transcript_ENSUAMT00000031540	rna53558
OG0000004	transcript_ENSUAMT00000005444	rna53434
OG0000005	transcript_ENSUAMT00000033482	rna17236
OG0000005	transcript_ENSUAMT00000033443	rna17234
OG0000005	transcript_ENSUAMT00000033412	rna17225
OG0000005	transcript_ENSUAMT00000033409	rna17224
OG0000005	transcript_ENSUAMT00000033416	rna17226
OG0000005	transcript_ENSUAMT00000023409	rna17220
OG0000005	transcript_ENSUAMT00000023405	rna17218
OG0000005	transcript_ENSUAMT00000033418	rna17229
OG0000005	transcript_ENSUAMT00000033436	rna17233
OG0000005	transcript_ENSUAMT00000033430	rna17232
OG0000005	transcript_ENSUAMT00000033423	rna17230
OG0000005	transcript_ENSUAMT00000023408	rna17219
OG0000005	transcript_ENSUAMT00000033490	rna17238
OG0000005	transcript_ENSUAMT00000033486	rna17237
OG0000007	transcript_ENSUAMT00000001809, transcript_ENSUAMT00000000768, transcript_ENSUAMT00000036507, transcript_ENSUAMT00000007520	id586421
OG0000008	transcript_ENSUAMT00000007148	rna50995
OG0000008	transcript_ENSUAMT00000006934	rna53627
OG0000008	transcript_ENSUAMT00000028299, transcript_ENSUAMT00000004284	rna46274
OG0000010	transcript_ENSUAMT00000024025	rna46027
OG0000010	transcript_ENSUAMT00000020237	rna19708
OG0000010	transcript_ENSUAMT00000026542	rna4301
OG0000010	transcript_ENSUAMT00000005433	rna41988
OG0000011	transcript_ENSUAMT00000026388	rna595
OG0000011	transcript_ENSUAMT00000029313	rna35087
OG0000011	transcript_ENSUAMT00000010101	rna28901
OG0000011	transcript_ENSUAMT00000020782	rna38102
OG0000011	transcript_ENSUAMT00000041262	rna33950
OG0000011	transcript_ENSUAMT00000033609	rna11734
OG0000011	transcript_ENSUAMT00000027468	rna1414
OG0000011	transcript_ENSUAMT00000040423	rna5586
OG0000011	transcript_ENSUAMT00000005777	rna614
OG0000012	transcript_ENSUAMT00000024265	rna21331
OG0000012	transcript_ENSUAMT00000024269	rna21332
OG0000012	transcript_ENSUAMT00000024261	rna21330
OG0000013	transcript_ENSUAMT00000000748	rna24512
OG0000014	transcript_ENSUAMT00000031792	rna19471
OG0000014	transcript_ENSUAMT00000031586	rna48620
OG0000014	transcript_ENSUAMT00000022001	rna8645
OG0000014	transcript_ENSUAMT00000017707	rna28385
OG0000014	transcript_ENSUAMT00000031071	rna52474, rna52413
OG0000014	transcript_ENSUAMT00000033546	rna43230
OG0000014	transcript_ENSUAMT00000038478	rna28285
OG0000015	transcript_ENSUAMT00000028161	rna50405
OG0000015	transcript_ENSUAMT00000036480	rna50401
OG0000017	transcript_ENSUAMT00000037780	rna54146, rna49037, rna53628
