Orthogroup	homSap.longCDS.prots	ursArc.longCDS.prots
OG0000000	ENST00000620438.1	rna50998
OG0000000	ENST00000377777.5	rna28162
OG0000000	ENST00000606613.1	rna28155
OG0000000	ENST00000615966.1	rna28182
OG0000000	ENST00000314332.5, ENST00000634910.1	rna28153
OG0000000	ENST00000356530.5	rna53629
OG0000000	ENST00000356950.1	rna27994
OG0000000	ENST00000369155.3	rna49036
OG0000000	ENST00000619466.2, ENST00000545683.1	rna27987
OG0000000	ENST00000616182.1	rna28003
OG0000001	ENST00000613174.1	rna53625
OG0000001	ENST00000618958.1	rna27992
OG0000001	ENST00000607355.2, ENST00000369159.2	rna49035
OG0000001	ENST00000377791.3	rna28164
OG0000001	ENST00000366695.3	rna50996
OG0000001	ENST00000377459.2	rna28000
OG0000001	ENST00000297012.4	rna28209
OG0000001	ENST00000544848.2	rna17906
OG0000001	ENST00000333151.4	rna54502, rna54500
OG0000001	ENST00000303910.4	rna28183
OG0000001	ENST00000341023.1	rna28181
OG0000004	ENST00000358433.2	rna53558
OG0000004	ENST00000327335.4	rna54159, rna15697
OG0000004	ENST00000328314.3	rna53427
OG0000004	ENST00000379665.2	rna53428
OG0000004	ENST00000322678.1, ENST00000548615.1, ENST00000343870.4	rna53555
OG0000004	ENST00000343399.3	rna53429, rna17047
OG0000004	ENST00000379668.3	rna53431
OG0000004	ENST00000379667.1	rna53430, rna53433, rna53432
OG0000005	ENST00000330722.6, ENST00000252252.3, ENST00000252250.6	rna17236, rna17235
OG0000005	ENST00000252242.8	rna17234
OG0000005	ENST00000252244.3	rna17225
OG0000005	ENST00000341809.7	rna17224
OG0000005	ENST00000309680.3	rna17226
OG0000005	ENST00000417996.2	rna17220
OG0000005	ENST00000332411.2	rna17221
OG0000005	ENST00000330553.5	rna17218
OG0000005	ENST00000305748.7	rna17229
OG0000005	ENST00000267119.5	rna17233
OG0000005	ENST00000549343.5	rna17232
OG0000005	ENST00000537672.6	rna17230
OG0000005	ENST00000551956.1	rna17219
OG0000005	ENST00000252245.5	rna17237
