Orthogroup	ailMel.longCDS.prots	homSap.longCDS.prots
OG0000000	rna-XM_034655739.1	ENST00000620438.1
OG0000000	rna-XM_011236404.3	ENST00000377777.5
OG0000000	rna-XM_034660129.1	ENST00000606613.1, ENST00000615966.1
OG0000000	rna-XM_034660128.1	ENST00000634910.1
OG0000000	rna-XM_034660117.1	ENST00000541790.3
OG0000000	rna-XM_002928539.4	ENST00000377733.3
OG0000000	rna-XM_034660130.1	ENST00000356950.1
OG0000000	rna-XM_019807833.2, rna-XM_019807839.2	ENST00000464664.3, ENST00000599962.1
OG0000000	rna-XM_034643200.1	ENST00000369155.3
OG0000000	rna-XM_034643203.1	ENST00000619466.2, ENST00000545683.1
OG0000001	rna-XM_002927085.3	ENST00000359611.3, ENST00000613174.1, ENST00000618958.1, ENST00000358739.4, ENST00000359193.3
OG0000001	rna-XM_002930225.4	ENST00000607355.2, ENST00000369159.2
OG0000001	rna-XM_034655740.1	ENST00000377791.3, ENST00000366695.3
OG0000001	rna-XM_002927091.4	ENST00000377459.2
OG0000001	rna-XM_002927087.4	ENST00000635641.1
OG0000001	rna-XM_002928374.4	ENST00000544848.2
OG0000001	rna-XM_002930223.4	ENST00000331380.3
OG0000001	rna-XM_034643187.1	ENST00000331128.4
OG0000001	rna-XM_002928522.4	ENST00000341023.1
OG0000004	rna-XM_002930681.2	ENST00000358433.2
OG0000004	rna-XM_002930991.2	ENST00000327335.4
OG0000004	rna-XM_002930684.4	ENST00000328314.3
OG0000004	rna-XM_002931108.3	ENST00000322678.1, ENST00000548615.1, ENST00000343870.4
OG0000004	rna-XM_011217111.2	ENST00000343399.3
OG0000004	rna-XM_002930680.3, rna-XM_034653006.1, rna-XM_002930683.2, rna-XM_002930678.2	ENST00000379667.1
OG0000005	rna-XM_002923243.4, rna-XM_034651777.1	ENST00000330722.6, ENST00000252252.3, ENST00000252250.6
OG0000005	rna-XM_002923246.4	ENST00000330553.5
