Orthogroup	ailMel.longCDS.prots	homSap.longCDS.prots	ursAme.longCDS.prots	ursArc.longCDS.prots	ursMar.longCDS.prots
OG0000000	rna-XM_002927101.4, rna-XM_002928525.4, rna-XM_002928532.4, rna-XM_002928539.4, rna-XM_002928552.3, rna-XM_002928555.4, rna-XM_011216961.3, rna-XM_011236404.3, rna-XM_019807833.2, rna-XM_019807839.2, rna-XM_034643200.1, rna-XM_034643203.1, rna-XM_034655739.1, rna-XM_034660114.1, rna-XM_034660117.1, rna-XM_034660127.1, rna-XM_034660128.1, rna-XM_034660129.1, rna-XM_034660130.1	ENST00000314332.5, ENST00000356530.5, ENST00000356950.1, ENST00000369155.3, ENST00000377401.3, ENST00000377733.3, ENST00000377777.5, ENST00000464664.3, ENST00000541790.3, ENST00000545683.1, ENST00000599962.1, ENST00000606613.1, ENST00000607124.1, ENST00000615966.1, ENST00000616182.1, ENST00000619466.2, ENST00000620438.1, ENST00000621112.1, ENST00000634910.1	transcript_ENSUAMT00000007162, transcript_ENSUAMT00000007414, transcript_ENSUAMT00000015946, transcript_ENSUAMT00000015980, transcript_ENSUAMT00000016033, transcript_ENSUAMT00000019106, transcript_ENSUAMT00000019134, transcript_ENSUAMT00000023255, transcript_ENSUAMT00000032553, transcript_ENSUAMT00000032583, transcript_ENSUAMT00000032585, transcript_ENSUAMT00000032589, transcript_ENSUAMT00000037774, transcript_ENSUAMT00000037805, transcript_ENSUAMT00000037815	rna27987, rna27993, rna27994, rna27999, rna28003, rna28153, rna28155, rna28161, rna28162, rna28165, rna28182, rna49036, rna50997, rna50998, rna53624, rna53629, rna54501, rna54503	rna13950, rna13959, rna13960, rna13964, rna13965, rna13967, rna13968, rna13971, rna13977, rna13979, rna14043, rna14128, rna14132, rna14135, rna14136, rna14141, rna17073, rna17077, rna31143, rna31144
OG0000001	rna-XM_002927085.3, rna-XM_002927087.4, rna-XM_002927089.3, rna-XM_002927091.4, rna-XM_002928374.4, rna-XM_002928522.4, rna-XM_002930223.4, rna-XM_002930225.4, rna-XM_019809261.2, rna-XM_034643187.1, rna-XM_034655740.1, rna-XM_034660121.1, rna-XM_034660122.1, rna-XM_034660123.1, rna-XM_034660124.1, rna-XM_034660125.1, rna-XM_034660126.1	ENST00000297012.4, ENST00000303910.4, ENST00000331128.4, ENST00000331380.3, ENST00000333151.4, ENST00000341023.1, ENST00000358739.4, ENST00000359193.3, ENST00000359611.3, ENST00000366695.3, ENST00000369159.2, ENST00000377459.2, ENST00000377791.3, ENST00000544848.2, ENST00000607355.2, ENST00000613174.1, ENST00000615868.1, ENST00000618958.1, ENST00000635641.1	transcript_ENSUAMT00000003994, transcript_ENSUAMT00000007156, transcript_ENSUAMT00000007424, transcript_ENSUAMT00000015929, transcript_ENSUAMT00000015993, transcript_ENSUAMT00000016051, transcript_ENSUAMT00000019173, transcript_ENSUAMT00000023253, transcript_ENSUAMT00000023300, transcript_ENSUAMT00000024894, transcript_ENSUAMT00000032539, transcript_ENSUAMT00000032577, transcript_ENSUAMT00000032586, transcript_ENSUAMT00000037783, transcript_ENSUAMT00000037808, transcript_ENSUAMT00000037813	rna17906, rna27992, rna28000, rna28002, rna28154, rna28160, rna28164, rna28181, rna28183, rna28209, rna49035, rna50996, rna53625, rna54500, rna54502	rna13927, rna13941, rna13944, rna13956, rna13966, rna13974, rna13978, rna14044, rna14051, rna14129, rna14131, rna14134, rna14137, rna14140, rna17071, rna17076, rna17078, rna29797, rna31145
OG0000002	rna-XM_002929475.2, rna-XM_002929855.2, rna-XM_002929860.4, rna-XM_002930436.4, rna-XM_002930437.4, rna-XM_002930438.2, rna-XM_002930922.4, rna-XM_002930953.2, rna-XM_002931105.4, rna-XM_002931198.2, rna-XM_011217950.3, rna-XM_019792673.2, rna-XM_019793226.2, rna-XM_019793227.2, rna-XM_019793229.2, rna-XM_019793710.2, rna-XM_019793817.2, rna-XM_034650233.1, rna-XM_034650295.1, rna-XM_034650357.1, rna-XM_034650419.1, rna-XM_034650483.1, rna-XM_034650587.1, rna-XM_034651639.1, rna-XM_034653217.1, rna-XM_034653242.1, rna-XM_034653330.1, rna-XM_034653334.1, rna-XM_034653335.1, rna-XM_034653336.1, rna-XM_034653337.1, rna-XM_034653341.1, rna-XM_034653345.1, rna-XM_034653346.1, rna-XM_034653353.1, rna-XM_034653354.1, rna-XM_034653355.1, rna-XM_034653356.1, rna-XM_034653358.1, rna-XM_034653359.1, rna-XM_034653362.1, rna-XM_034653380.1, rna-XM_034653382.1, rna-XM_034653383.1, rna-XM_034653384.1, rna-XM_034653386.1, rna-XM_034653387.1, rna-XM_034653389.1, rna-XM_034653390.1, rna-XM_034657169.1, rna-XM_034657170.1, rna-XM_034657171.1, rna-XM_034657172.1, rna-XM_034657173.1, rna-XM_034657174.1, rna-XM_034657175.1, rna-XM_034657176.1, rna-XM_034657177.1, rna-XM_034657178.1, rna-XM_034657180.1, rna-XM_034657181.1, rna-XM_034657183.1, rna-XM_034657184.1, rna-XM_034657185.1, rna-XM_034657188.1, rna-XM_034657189.1, rna-XM_034657190.1, rna-XM_034657227.1, rna-XM_034657228.1, rna-XM_034657229.1, rna-XM_034657232.1, rna-XM_034657234.1, rna-XM_034657235.1, rna-XM_034657927.1				
OG0000003				rna50545	rna10368, rna29099, rna29100, rna29101, rna29102, rna34221, rna34222, rna34223, rna34224, rna34225, rna34226, rna34227, rna34228, rna34229, rna34231, rna34232, rna34233, rna34234, rna34235, rna34236, rna34237, rna34238, rna34239, rna34240, rna34241, rna34242, rna34243, rna34244, rna34245, rna34246, rna34247, rna34569, rna34570, rna34801, rna34802, rna34803, rna34804, rna34805, rna34806, rna34807, rna34808, rna34809, rna34810, rna34811, rna34813, rna34814, rna35150, rna35152, rna35153, rna35154, rna35155, rna35156, rna35157, rna35158, rna36287, rna36288, rna36289, rna36290, rna36291, rna36292, rna36293, rna36294, rna36295, rna36296, rna36297, rna36298, rna36299, rna36300, rna36301, rna36302, rna36303, rna36304, rna36305
OG0000004	rna-XM_002930678.2, rna-XM_002930680.3, rna-XM_002930681.2, rna-XM_002930683.2, rna-XM_002930684.4, rna-XM_002930906.1, rna-XM_002930991.2, rna-XM_002931108.3, rna-XM_011217111.2, rna-XM_011218059.3, rna-XM_019793986.2, rna-XM_034643050.1, rna-XM_034646201.1, rna-XM_034646480.1, rna-XM_034653006.1	ENST00000322678.1, ENST00000327335.4, ENST00000328314.3, ENST00000343399.3, ENST00000343870.4, ENST00000358433.2, ENST00000379665.2, ENST00000379667.1, ENST00000379668.3, ENST00000548615.1	transcript_ENSUAMT00000005444, transcript_ENSUAMT00000031540	rna15688, rna15697, rna17037, rna17038, rna17039, rna17047, rna53427, rna53428, rna53429, rna53430, rna53431, rna53432, rna53433, rna53434, rna53555, rna53556, rna53557, rna53558, rna54159	rna11496, rna11497, rna11498, rna31209, rna31214, rna32367, rna33062, rna33063, rna33118, rna33550, rna33551, rna34707, rna34708, rna34709, rna34710, rna34711, rna34712, rna34713, rna34721, rna35068, rna3572, rna36031, rna36033, rna36034, rna36035, rna36036
OG0000005	rna-XM_002923243.4, rna-XM_002923244.4, rna-XM_002923246.4, rna-XM_011229901.3, rna-XM_011229902.3, rna-XM_011229956.3, rna-XM_034651777.1	ENST00000252242.8, ENST00000252244.3, ENST00000252245.5, ENST00000252250.6, ENST00000252252.3, ENST00000267119.5, ENST00000305748.7, ENST00000309680.3, ENST00000330553.5, ENST00000330722.6, ENST00000332411.2, ENST00000341809.7, ENST00000417996.2, ENST00000537672.6, ENST00000549343.5, ENST00000551956.1	transcript_ENSUAMT00000023405, transcript_ENSUAMT00000023408, transcript_ENSUAMT00000023409, transcript_ENSUAMT00000033409, transcript_ENSUAMT00000033412, transcript_ENSUAMT00000033416, transcript_ENSUAMT00000033418, transcript_ENSUAMT00000033423, transcript_ENSUAMT00000033430, transcript_ENSUAMT00000033436, transcript_ENSUAMT00000033443, transcript_ENSUAMT00000033458, transcript_ENSUAMT00000033482, transcript_ENSUAMT00000033486, transcript_ENSUAMT00000033490	rna17218, rna17219, rna17220, rna17221, rna17223, rna17224, rna17225, rna17226, rna17229, rna17230, rna17232, rna17233, rna17234, rna17235, rna17236, rna17237, rna17238	rna27070, rna27071, rna27072, rna27074, rna27075, rna27076, rna27078, rna27079, rna27080, rna27081, rna27082, rna27083, rna27084, rna27086, rna27087, rna27088, rna27089
OG0000006				rna43377, rna50546, rna50547, rna50548, rna50549, rna50551, rna52938, rna53193, rna53194, rna53195, rna53196, rna53197, rna53198, rna53199, rna53201, rna53202, rna53204, rna53205, rna53206, rna53207, rna53208, rna53209, rna53210, rna53211, rna53212, rna53213, rna53214, rna53395, rna53396, rna53398, rna53399, rna53401, rna53403, rna53444, rna53446, rna53447, rna53448, rna53449, rna53450, rna53496, rna53497, rna53498, rna53499, rna53500, rna53501, rna53533, rna53534, rna53535, rna53536, rna53547, rna53548, rna53619, rna53621, rna53622, rna53623, rna53679, rna53689, rna53690, rna53691, rna53716, rna53820, rna53829, rna53845, rna53846, rna54151, rna54211, rna54258, rna54273, rna54387, rna54389, rna54395, rna54447	
OG0000007	id-LOC100482805, id-LOC105235222, id-LOC105235261, id-LOC109488764, id-LOC117798506, id-LOC117798740, id-LOC117798806, id-LOC117798827, id-LOC117799039, id-LOC117800014	ENST00000338912.5, ENST00000354689.6, ENST00000390594.3, ENST00000390595.3, ENST00000390598.2, ENST00000390601.3, ENST00000390602.3, ENST00000390603.2, ENST00000390604.2, ENST00000390605.2, ENST00000390606.3, ENST00000390607.2, ENST00000390609.3, ENST00000390610.2, ENST00000390615.2, ENST00000390617.2, ENST00000390618.2, ENST00000390621.3, ENST00000390622.2, ENST00000390624.3, ENST00000390625.3, ENST00000390626.2, ENST00000390627.3, ENST00000390628.3, ENST00000390632.2, ENST00000390633.2, ENST00000390636.2, ENST00000390639.2, ENST00000424969.2, ENST00000425181.3, ENST00000433072.2, ENST00000434710.1, ENST00000454421.2, ENST00000558565.2, ENST00000562905.2, ENST00000565407.2, ENST00000569103.2, ENST00000570121.2, ENST00000603660.1, ENST00000604066.1, ENST00000622028.1, ENST00000624687.1, ENST00000630556.1, ENST00000631943.1, ENST00000632099.1, ENST00000632209.1, ENST00000632950.2	transcript_ENSUAMT00000000768, transcript_ENSUAMT00000001809, transcript_ENSUAMT00000007520, transcript_ENSUAMT00000036507	id586421, id586842	
OG0000008	rna-XM_002919851.4, rna-XM_002926695.4, rna-XM_002928529.4, rna-XM_002930205.2, rna-XM_019793752.2, rna-XM_019807840.2, rna-XM_019809264.2, rna-XM_034651202.1, rna-XM_034651932.1, rna-XM_034651961.1, rna-XM_034660113.1, rna-XM_034660119.1, rna-XM_034660120.1, rna-XM_034660139.1, rna-XM_034667222.1	ENST00000331491.1, ENST00000340398.4, ENST00000356476.2, ENST00000359303.3, ENST00000366696.1, ENST00000366816.5, ENST00000369158.1, ENST00000369163.3, ENST00000392948.3, ENST00000403683.1, ENST00000612966.1, ENST00000613854.1, ENST00000614378.1, ENST00000616365.1, ENST00000618052.1, ENST00000621411.1, ENST00000634733.1	transcript_ENSUAMT00000004284, transcript_ENSUAMT00000006934, transcript_ENSUAMT00000007148, transcript_ENSUAMT00000016004, transcript_ENSUAMT00000023305, transcript_ENSUAMT00000028299, transcript_ENSUAMT00000032588	rna26023, rna28001, rna28156, rna28180, rna46274, rna49034, rna49038, rna50995, rna53627, rna54409, rna54410	rna13969, rna13976, rna14961, rna1689, rna17075, rna17079, rna31146
OG0000009	rna-XM_002912549.4, rna-XM_002912550.4, rna-XM_002912551.4, rna-XM_002912553.4, rna-XM_002912555.4, rna-XM_002912603.4, rna-XM_019795555.2, rna-XM_019795563.2, rna-XM_034651165.1, rna-XM_034656138.1, rna-XM_034656139.1, rna-XM_034656140.1, rna-XM_034656141.1, rna-XM_034656142.1, rna-XM_034656143.1, rna-XM_034656144.1	ENST00000194152.3, ENST00000194155.6, ENST00000231130.3, ENST00000231134.7, ENST00000231136.3, ENST00000231137.5, ENST00000231173.5, ENST00000239444.3, ENST00000239446.5, ENST00000239449.6, ENST00000239450.4, ENST00000316105.6, ENST00000341948.6, ENST00000354757.4, ENST00000609684.2	transcript_ENSUAMT00000000091, transcript_ENSUAMT00000000106, transcript_ENSUAMT00000000212, transcript_ENSUAMT00000000236, transcript_ENSUAMT00000000252, transcript_ENSUAMT00000000258, transcript_ENSUAMT00000000264, transcript_ENSUAMT00000038691, transcript_ENSUAMT00000038694		rna12276, rna12284, rna12285, rna12286, rna12287, rna12288, rna12290, rna12291, rna12292, rna12293, rna12294, rna12295, rna12296, rna12297, rna12298
